"* Required Fields","* Meysydd Gofynnol"
"Add","Ychwanegu"
"Add Gift Message","Ychwanegu Neges Anrheg"
"Allow Gift Messages for Order Items","Caniatáu Negeseuon Anrheg am Eitemau Archeb"
"Allow Gift Messages on Order Level","Caniatáu Negeseuon Anrheg ar Lefel Archeb"
"Are you sure?","Ydych yn siwr?"
"Cancel","Canslo"
"Check this checkbox if you want to add gift messages to your items.","Check this checkbox if you want to add gift messages to your items."
"Check this checkbox if you want to add gift messages.","Check this checkbox if you want to add gift messages."
"Close","Cau"
"Do you have any gift items in your order?","Oes gennych unrhyw eitemau anrheg yn eich archeb?"
"Edit","Golygu"
"Edit Gift Message","Golygu Neges Anrheg"
"Enter a gift message for each item in your order.","Rhowch neges anrheg am bob eitem yn eich archeb."
"Enter a gift message for entire order.","Rhowch neges anrheg am yr holl archeb."
"Enter a gift message for this address.","Rhowch neges anrheg tros y cyfeiriad yma."
"Error while saving gift message","Gwall tra arbed neges anrheg"
"From","Oddi wrth"
"Gift Message","Neges Anrheg"
"Gift Messages","Negeseuon Anrheg"
"Gift message has been successfully saved","Neges anrheg wedi ei gadw yn llwyddiannus"
"Item %d of %d","Eitem %d o %d"
"Message","Neges"
"No","Na"
"Remove","Diddymu"
"Save","Arbed"
"Save Gift Message","Arbed Neges Anrheg"
"To","I"
"Unknown entity type","Unknown entity type"
"Use config","Defnyddio cyfluniad"
"Yes","Ia"
"You can leave a box blank if you don't wish to add a gift message for the item.","You can leave a box blank if you don't wish to add a gift message for the item."
"You can leave a box blank if you don't wish to add a gift message for this address.","You can leave a box blank if you don't wish to add a gift message for this address."
"You can leave a box blank if you don't wish to add a gift message for whole order.","You can leave a box blank if you don't wish to add a gift message for whole order."
"Your gift message has been successfully removed","Eich neges anrheg wedi ei diddymu yn llwyddiannus"
"Your gift message has been successfully saved","Eich neges anrheg wedi ei arbed yn llwyddiannus"
"Your gift message successfully removed","Eich neges anrheg wedi diddymu yn llwyddiannus"
"Your gift message successfully saved","Eich neges anrheg wedi arbed yn llwyddiannus"
