" for more information or email us at ","detalizētākai informācijai rakstiet mums"
"# of Items (and above)","# no precēm (un augstāk)"
"# of Items vs. Destination","# no precēm pret galamērķi"
"Allow Shipping to multiple addresses","Atļaut piegādi uz vairākām adresēm"
"Calculate Handling Fee","Rēķināt apstrādes maksu"
"Carrier:","Piegādātājs:"
"City","Pilsēta/pagasts"
"Close Window","Aizvērt logu"
"Condition","Stāvoklis"
"Country","Valsts"
"Date","Datums"
"Delivered on:","Piegādāts:"
"Delivered to:","Piegādāts uz:"
"Description","Apraksts"
"Displayed Error Message","Parādītais kļūdas ziņojums"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Dublēt rindu #%s (valsts ""%s"", reģions/štats ""%s"", pasta zonu plāns ""%s"" un vērtība ""%s"")"
"Enabled","Atļauts"
"Error:","Kļūda:"
"Export","Eksports"
"Fixed","Fiksēts"
"Flat Rate","Pamatlikme"
"Free Shipping","Bezmaksas piegāde"
"Handling Fee","Maksa par kravas apstrādi"
"Import","Imports"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s","Nederīgs %s ""%s"" iekš rindas #%s"
"Invalid Country ""%s"" in the Row #%s","Nederīga valsts ""%s"" iekš rindas #%s"
"Invalid Region/State ""%s"" in the Row #%s","Nederīgs Reģions/Štats ""%s"" iekš rindas #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Nederīga nosūtīšanas cena ""%s"" iekš rindas #%s"
"Invalid Table Rate code for type %s: %s","Nederīgs tarifu tabulas kods tipam %s: %s"
"Invalid Table Rate code type: %s","Nederīgs tarifu tabulas koda tips: %s"
"Invalid Table Rates File Format","Nederīgs likmju tabulas faila formāts"
"Local Time","Vietējais laiks"
"Location","Atrašanās vieta"
"Maximum qty allowed for Shipping to multiple addresses","Maksimālais pieļaujamais daudzums piegādei uz vairākām adresēm"
"Method name","Metodes nosaukums"
"Minimum order amount","Minimālais pasūtījumu daudzums"
"N/A","N/A"
"None","Nekāds"
"Options","Opcijas"
"Order Subtotal (and above)","Pasūtījuma atsevišķa summa (un virs)"
"Origin","Izcelsme"
"Per Order","Uz pasūtījumu"
"Per Package","Uz iesaiņojumu"
"Percent","Procents"
"Price","Cena"
"Price vs. Destination","Cena attiecībā pret galamērķi"
"Region/State","Reģions/Štats"
"Service Type:","Servisa tips:"
"Ship to Specific countries","Nosūtīt uz noteiktām valstīm"
"Ship to applicable countries","Sūtīt uz lietojamām valstīm"
"Shipment #","Sūtījums #"
"Shipped or billed on:","Piegādāts vai apmaksāts:"
"Shipping Methods","Piegādes metodes"
"Shipping Methods Section","Shipping Methods Section"
"Shipping Settings","Piegādes uzstādījumi"
"Shipping Settings Section","Shipping Settings Section"
"Show method if not applicable","Parādīt metodi, ja nav piemērojams"
"Signed by:","Parakstīja:"
"Sort order","Šķirošanas kārtība"
"Status:","Statuss:"
"Store Pickup","Saņemšana mūsu birojā"
"Table rates","Tabulas tarifi"
"The shipping module is not available for selected delivery country","Nosūtīšanas modulis nav pieejams izvēlētajai piegādes valstij"
"There is no tracking available for this shipment.","Šim sūtījumam izsekošana nav pieejama."
"There is no tracking available.","Izsekošana nav pieejama."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Šī piegādes metode šobrīd nav pieejama. Ja Jūs vēlētos izmantot šo piegādes metodi, lūdzu sazinieties ar mums."
"Title","Virsraksts"
"Track:","Izsekot:"
"Tracking Number:","Izsekošanas numurs:"
"Tracking information is currently not available. Please ","Izsekošanas informācija šobrīd nav pieejama. Lūdzu"
"Tracking information is currently unavailable.","Izsekošanas informācija šobrīd nav pieejama."
"Type","Tips"
"Weight (and above)","Svars (un iepriekšminētais)"
"Weight vs. Destination","Svars / galamērķis"
"Weight:","Svars:"
"ZIP/Postal Code","Pasta indekss"
"contact us","kontakti"
