"-- Please Select --","-- Lūdzu izvēlieties --"
"Add New Class","Jauna nodokļu grupa"
"Add New Tax Rate","Jauna nodokļu likme"
"Add New Tax Rule","Jauns nodokļa nosacījums"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Vai esat pārliecināts, ka vēlaties to darīt?"
"Back","Atpakaļ"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Grupas nosaukums"
"Code","Code"
"Country","Valsts"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Apgabals"
"Custom price if available","Custom price if available"
"Customer Tax Class","Klienta nodokļu grupa"
"Customer Tax Class Information","Klienta nodokļu grupas informācija"
"Customer Tax Classes","Klientu nodokļu grupas"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Dzēst grupu"
"Delete Rate","Dzēst likmi"
"Delete Rule","Izdzēst nosacījumu"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","Labot grupu"
"Edit Class '%s'","Labot grupu '%s'"
"Edit Rule","Mainīt nosacījumu"
"Edit Tax Rate","Labot nodokļa likmi"
"Error while deleting this class. Please try again later.","Kļūda dzēšot šo grupu. Lūdzu mēģiniet vēlreiz."
"Error while deleting this rate. Incorrect rate ID","Kļūda dzēšot šo likmi. Kļūdaina likmes ID"
"Error while deleting this rate. Please try again later.","Kļūda dzēšot šo likmi. Lūdzu mēģiniet vēlreiz."
"Error while deleting this tax rule. Please try again later.","Kļūda dzēšot šo nodokļa nosacījumu. Lūdzu vēlāk mēģiniet vēlreiz."
"Error while saving this rate. Please try again later.","Kļūda saglabājot šo likmi. Lūdzu mēģiniet vēlreiz."
"Error while saving this tax class. Class with the same name ","Kļūda saglabājot šī nodokļa klasi. Klase ar vienādu nosaukumu"
"Error while saving this tax class. Please try again later.","Kļūda saglabājot šo nodokļu grupu. Lūdzu mēģiniet vēlreiz."
