"* Required Fields","* Задолжителни полиња"
"Comment","Коментар"
"Contact Form","Форма за контакт"
"Contact Information","Информации за контактот"
"Contact Us","Контактирајте не"
"Contacts","Контакти"
"Contacts Section","Contacts Section"
"Email","епошта"
"Email Options","Опции за епоштата"
"Email Sender","Испраќач на епошта"
"Email Template","Урнек на епоштата"
"Enable Contact Us","Овозможи Контактирајте не"
"Name","Име"
"Send Emails To","Испраќај ја епоштата до"
"Submit","Submit"
"Telephone","Телефон"
"Unable to submit your request. Please, try again later","Unable to submit your request. Please, try again later"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
"Contact Us","Contact Us"
"Contact Information","Contact Information"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","Comment"
"* Required Fields","* Required Fields"
