"-- Please Select --","-- Изберете --"
"Add New Class","Додади нова класа"
"Add New Tax Rate","Додади нова даночна стапка"
"Add New Tax Rule","Додади ново даночно правило"
"Apply Discount On Prices Including Tax","Apply Discount On Prices Including Tax"
"Apply Tax After Discount","Apply Tax After Discount"
"Apply Tax On","Apply Tax On"
"Are you sure you want to do this?","Дали сте сигурни дека сакате да го направите ова?"
"Back","Назад"
"CSV","CSV"
"Calculation","Calculation"
"Catalog prices include tax","Catalog prices include tax"
"Class Name","Име на класата"
"Code","Code"
"Country","Држава"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"County","Област"
"Custom price if available","Custom price if available"
"Customer Tax Class","Customer Tax Class"
"Customer Tax Class Information","Customer Tax Class Information"
"Customer Tax Classes","Customer Tax Classes"
"Default Country","Default Country"
"Default Post Code","Default Post Code"
"Default State","Default State"
"Default Tax Origin Calculation","Default Tax Origin Calculation"
"Delete Class","Избриши ја класата"
"Delete Rate","Избриши ја стапката"
"Delete Rule","Избриши го прваилото"
"Display","Display"
"Display Cart/Order Prices","Display Cart/Order Prices"
"Display Product Prices","Display Product Prices"
"Display Shipping Prices","Display Shipping Prices"
"Display Zero Tax Subtotal","Display Zero Tax Subtotal"
"Display full tax summary","Display full tax summary"
"Edit Class","Измени класа"
"Edit Class '%s'","Измени ја класата '%s'"
"Edit Rule","Измени правило"
"Edit Tax Rate","Измени даночна стапка"
"Error while deleting this class. Please try again later.","Грешка при бришењето на класата. Пробајте повторно подоцна."
"Error while deleting this rate. Incorrect rate ID","Грешка при бришењето на оваа стапка. Неточен ID на стапката"
"Error while deleting this rate. Please try again later.","Грешка при бришењето на оваа стапка. Пробајте повторно подоцна."
"Error while deleting this tax rule. Please try again later.","Грешка при бришењето на ова даночно правило. Пробајте повторно подоцна."
"Error while saving this rate. Please try again later.","Грешка при снимањето на оваа стапка. Пробајте повторно подоцна."
"Error while saving this tax class. Class with the same name ","Грешка при снимањето на оваа даночна класа. Постои класа со исто име "
"Error while saving this tax class. Please try again later.","Грешка при снимањето на оваа даночна класа. Пробајте повторно подоцна."
"Error while saving this tax rule. Please try again later.","Грешка при снимањето на оваа даночно правило. Пробајте повторно подоцна."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","Искл. данок"
"Excl. Tax:","Excl. Tax:"
"Excluding tax","Excluding tax"
"Export Tax Rates","Извези даночни стапки"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","Увези / Извези даночни стапки"
"Import Tax Rates","Увези даночни стапки"
"Inc. Tax","Вкл. данок"
"Incl. Tax","Вклучен данок"
"Incl. Tax:","Incl. Tax:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Incorrect rate Data"
"Invalid data for tax rate calculation","Невалидни податоци за пресметка на даночната стапка"
"Invalid file format upload attempt","Невалиден формат на датотеката за качување"
"Invalid file upload attempt","Невалиден обид за качување на датотека"
"Manage Customer Tax Classes","Менаџирај ги даночните класи на купувачите"
"Manage Product Tax Classes","Менаџирај ги даночните класи на производите"
"Manage Tax Rates","Менаџирај ги даночните стапки"
"Manage Tax Rules","Менаџирај ги даночните правила"
"Manage Tax Zones & Rates","Manage Tax Zones & Rates"
"Name","Name"
"New Class","Нова класа"
"New Rule","Ново правило"
"New Tax Rate","Нова даночна стапка"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Original price only","Original price only"
"Please select Country","Изберете земја"
"Please select County","Изберете област"
"Please select State","Изберете држава"
"Priority","Priority"
"Product Tax Class","Даночна класа на производот"
"Product Tax Class Information","Информации за даночната класа на производот"
"Product Tax Classes","Даночни класи на производите"
"Rate","Rate"
"Reset","Ресетирај"
"Sales","Продажби"
"Save Class","Зачувај класа"
"Save Rate","Зачувај стапка"
"Save Rule","Зачувај правило"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","Sort Order"
"State","Држава"
"State/Region","Држава/Регион"
"Tax","Данок"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","Tax Class for Shipping"
"Tax Classes","Tax Classes"
"Tax Identifier","Tax Identifier"
"Tax Rate","Даночна стапка"
"Tax Rate Information","Информации за даночната стапка"
"Tax Rule Information","Информации за даночното правило"
"Tax Rules","Даночни правила"
"Tax Section","Tax Section"
"Tax Titles","Tax Titles"
"Tax class was successfully deleted","Даночната класа е успешно избришана"
"Tax class was successfully saved","Даночната класа е успешно зачувана"
"Tax rate was successfully deleted","Даночната стапка е успешно избришана"
"Tax rate was successfully imported","Даночната стапака е успешно увезена"
"Tax rate was successfully saved","Даночната стапка е успешно зачувана"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","Даночното правило  е успешно избришано"
"Tax rule was successfully saved","Даночното правило е успешно зачувано"
"This class no longer exists","Оваа класа повеќе не постои"
"This rule no longer exists","Оваа правило повеќе не постои"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","You cannot delete this tax class as it is used for %d customer groups."
"You cannot delete this tax class as it is used for %d products.","You cannot delete this tax class as it is used for %d products."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first."
"Zip/Post Code","Зип/Поштенски код"
