"Add New Row","Legg til ny fil"
"An error occurred while saving the file(s).","Feil ved lagring av fil(ene)."
"Availability: In stock.","Tilgjengelighet: På lager."
"Availability: Out of stock.","Tilgjengelighet: Ikke på lager."
"Back","Tilbake"
"Can't connect to remote host, error: %s","Kan ikke koble til server. Feil: %s"
"Canceled","Avbrutt"
"Date","Dato"
"Default Link Title","Standard tittel på link"
"Default Maximum Number of Downloads","Standardverdi for maksimalt antall tillatte nedlastinger"
"Default Sample Title","Standard tittel på prøve"
"Disable Guest Checkout if cart contains downloadable items","Deaktiver Gjesteutsjekk dersom handlekurven inneholder nedlastbare produkter"
"Downloadable Information","Informasjon om nedlasting"
"Downloadable Product","Nedlastbar produkt"
"Downloadable Product Options","Valg for nedlastbart produkt"
"Downloadable product Section","Seksjon for nedlastbart produkt"
"Excl. Tax","Eks mva"
"File","Fil"
"File does not exists","Filen eksisterer ikke"
"From:","Fra:"
"Gift Message","Gavemelding"
"Go to <a href=""%s"">My Downloadable Products</a>","Gå til <a href=""%s"">Mine nedlastbare produkter</a>"
"Guest checkout will only work with shareable","Gjesteutsjekk vil bare fungere med delbare"
"Incl. Tax","Inkl mva"
"Invalid download URL host","Ugyldig adresse"
"Invalid download URL scheme","Ugyldig URL"
"Invalid download link type","Ugyldig linktype"
"Invoiced","Fakturert"
"Link has expired.","Linken er utgått."
"Link is not available.","Linken er ikke tilgjengelig."
"Links can be purchased separately","Linker kan kjøpes separat"
"Max. Downloads","Maks antall nedlastinger"
"Message:","Melding:"
"My Downloadable Products","Mine nedlastbare produkter"
"Open Links in New Window","Åpne linker i nytt vindu"
"Order #","Ordre #"
"Order Item Status to enable Downloads","Status for å aktivere nedlastinger"
"Ordered","Bestilt"
"Pending","Venter"
"Please log in to download your product.","Vennligst logg inn for å laste ned dine produkter."
"Please set resource file and link type","Vennligst sett fil- og linktype"
"Please specify product link(s).","Vennligst spesifiser produktlink(er)."
"Price","Pris"
"Refunded","Refundert"
"Remaining Downloads"," Nedlastinger igjen"
"Remove item","Fjern"
"Requested link doesn't exist.","Linken eksisterer ikke."
"Sample","Demovare"
"Shareable","Delbar"
"Shipped","sendt"
"Sorry, the was an error getting requested content. Please contact store owner.","Beklager, en feil oppsto. Kontakt oss."
"Sorry, there was an error getting requested content","Beklager, en feil oppsto. Kontakt oss."
"Sorry, there was an error getting requested content. Please contact store owner.","Beklager, en feil oppsto. Kontakt oss."
"Sort Order","Sorteringsrekkefølge"
"Start Download","Start nedlasting"
"Status","Status"
"Title","Tittel"
"To:","Til:"
"U","U"
"Unlimited","Uendelig"
"View Order","Vis ordre"
"You have not purchased any downloadable products yet.","Du har ikke kjøpt noen nedlastbare produkter enda."
"attachment","vedlegg"
"download","nedlasting"
"inline","in-line"
"sample","demovare"
"My Downloadable Products","My Downloadable Products"
"You have not purchased any downloadable products yet.","You have not purchased any downloadable products yet."
