"* Select shipping method","* Velg leveringsmetode"
"AVS Status: %s","AVS Status (adresseverifisering): %s"
"Add","Legg til"
"Add Shipping Method","Legg til forsendelsesmetode"
"Allowed Methods","Tillatte metoder"
"Amount: %s","Beløp: %s"
"Auto-generated from GoogleCheckout Charge","Automatisk generert fra Google Checkout-debitering"
"Buyer account age: %s days","Kjøperens konto har eksistert i: %s dager"
"CC Partial: xxxx-%s","Kredittkortnummer: xxxx-%s"
"CID Status: %s","CID (kunde-ID) Status: %s"
"Carrier Calculated Methods","Fraktleverandør kalkulasjonsmetoder"
"Cart Discount","Rabatt"
"Checkout Image Style","Bildestil i kassen"
"Continue Shopping URL","URL til 'Fortsett å handle'"
"Debug","Feilsøking"
"Default Package Height (in)","Standard høyde"
"Default Package Length (in)","Standard lengde"
"Default Package Width (in)","Standard bredde"
"Default price for methods","Standardpris"
"Default price:","Standardpris:"
"Delivery Address Category","Kategori for Leveringsadresse"
"Delivery schedule","Planlegg levering"
"Disable Default Tax Tables","Deaktiver standard momstabeller"
"Eligible for protection: %s","Berettiget til beskyttelse: %s"
"Enable","Aktiver"
"Enable Carrier Calculated","Aktiver fraktleverandør-kalkulasjon"
"Enable Digital Delivery","Aktiver digital levering"
"Enable Flat Rate","Aktiver flat sats"
"Enable Merchant Calculated","Aktiver merchant kalkulering"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off"
"Expiration: %s","Utløper: %s"
"Financial: %s -> %s","Finans: %s -> %s"
"Free Shipping","Gratis frakt"
"Fulfillment: %s -> %s","Innfrielse: %s -> %s"
"Google API","Google API:"
"Google Authorization:","Google autorisering:"
"Google Buyer Id: %s","Google kjøper-ID: %s"
"Google Charge:","Google debitering:"
"Google Checkout","Google Checkout:"
"Google Checkout Shipping - Carrier Calculated","Google Checkout forsendelse - kalkulert av transportør"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital levering"
"Google Checkout Shipping - Flat Rate","Google Checkout forsendelse - fast takst"
"Google Checkout Shipping - Merchant Calculated","Google Checkout forsendelse - kalkulert av butikken"
"Google Checkout: %s","Google Checkout %s"
"Google Order Number: %s","Ordrenummer hos Google: %s"
"Google Refund:","Google tilbakebetaling:"
"Google Risk Information:","Informasjon om risiko fra Google:"
"Google order status change:","Endring av ordrestatus fra Google:"
"Hide Cart Contents During Checkout","Skjul innhold i handlekurv under betaling"
"IP Address: %s","IP-adresse: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout-button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","Faktura autumatisk generert: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing emails: %s"
"Large - %s","Stor: %s"
"Latest Charge: %s","Sist belastet: %s"
"Latest Refund: %s","Sist tilbakebetalt: %s"
"Location","Sted"
"Medium - %s","Medium: %s"
"Merchant ID","Merchant-ID"
"Merchant Key","Merchant-nøkkel"
"Method","Metode"
"New order status","Ny ordrestatus"
"No","Ingen"
"Optional, leave empty for home page.","Valgfri, la stå tom for hovedsiden."
"Rate 1 Amount","Rate 1 beløp"
"Rate 1 Ship To Applicable Countries","Rate 1 ship To Applicable Country"
"Rate 1 Ship to Specific Countries","Rate 1 ship to Specific Country"
"Rate 1 Title","Rate 1 tittel"
"Rate 2 Amount","Rate 2 beløp"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Country"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Country"
"Rate 2 Title","Rate 2 tittel"
"Rate 3 Amount","Rate 3 beløp"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Country"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Country"
"Rate 3 Title","Rate 3 beløp"
"Remove","Fjern"
"Required for live Google Checkout transactions.","Required for Google Checkout transactions."
"Sandbox","Testmiljø"
"Secure Callback URL","Sikker Callback URL"
"Small - %s","Liten: %s"
"Total Charged: %s","Totalt belastet: %s"
"Total Refunded: %s","Totalt tilbakebetalt: %s"
"Transparent","Transparent"
"United Kingdom","UK"
"United States","US"
"Virtual item to reflect discount total","Virtuell vare som tilsvarer total rabatt"
"White Background","Hvit bakgrunn"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to Google Checkout in a few seconds."
