"--Please Select--","--Vennligst velg--"
"<label>Make Check payable to:</label> %s","<label>Betal til:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Betal til</label>: %s"
"Automatically invoice all items","Automatisk fakturèr alle artikler"
"Can not configuration for payment method with code: %s","Feil i konfigurasjon for betalingsmetode med kode: %s"
"Can not retrieve payment info model object.","Fant ikke betalingsinfo-modell objekt."
"Can not retrieve payment method instance","Fant ikke betalingsmetode-instans"
"Can not retrieve payment method model object.","Fant ikke betalingsmetode-modellobjekt."
"Card Verification Number","Kortverifiseringsnummer"
"Check / Money order","Forhåndsbetaling"
"Credit Card Number","Kredittkortnummer"
"Credit Card Number: %s","Kredittkortnummer: %s"
"Credit Card Number: xxxx-%s","Kredittkortnummer: xxxx-%s"
"Credit Card Type","Kredittkorttype"
"Credit Card Type: %s","Kredittkorttype: %s"
"Credit Card Types","Kredittkorttyper"
"Credit Card Verification","Kredittkortverifikasjon"
"Enabled","Aktivert"
"Expiration Date","Utløpsdato"
"Expiration Date: %s/%s","Utløpsdato: %s/%s"
"Make Check payable to","Vennligst betal til"
"Make Check payable to: %s","Vennligst betal til: %s"
"Maximum Order Total","Maks ordretotal"
"Minimum Order Total","Minimum ordretotal"
"Month","Måned"
"Name on Card","Navn på kort"
"Name on the Card: %s","Navn på kort: %s"
"New order status","Ny ordrestatus"
"Payment Methods","Betalingsmetoder"
"Payment Methods Section","Seksjon for Betalingsmetoder"
"Payment from Specific countries","Betaling fra spesifikke land"
"Payment from applicable countries","Betaling fra tillatte land"
"Purchase Order Number","Bestillingsnummer"
"Purchase Order Number: %s","Bestillingsnummer: %s"
"Purchase order","Bestilling"
"Saved CC","Lagret kredittkort"
"Send Check to","Betal til"
"Send Check to:","Betal til:"
"Sort order","Sorteringsrekkefølge"
"Title","Tittel"
"What is this?","Hva er dette?"
"Year","År"
"Zero Subtotal Checkout","Ingen delsum ved kassen"
