"Add Recipient","Legg til mottaker"
"Allow for Guests","Tillat for gjester"
"Email Address","Epost-adresse"
"Email Address:","Epost-adresse:"
"Email templates","Epost-maler"
"Email to a Friend","Send til en bekjent"
"Email:","Epost:"
"Enabled","Aktivert"
"Limit Sending By","Begrens sending med"
"Link to a friend was sent.","Linken ble sendt!"
"Max Products Sent in 1 Hour","Maksimalt antall produkter som kan sendes pr time"
"Max Recipients","Maks antall mottakere"
"Maximum %d email addresses allowed.","Maksimalt antall epost-adresser tillatt: %d."
"Message:","Melding:"
"Name","Navn"
"Name:","Navn:"
"Recipient:","Mottaker:"
"Remove Email","Fjern epost"
"Select email template","Velg epost-mal"
"Send email","Send epost"
"Send product to a friend","Send produkt til en bekjent"
"Sender:","Sender"
"Some emails was not sent","Noen eposter ble dessverre ikke sendt"
"Some problems with data.","Det oppsto et delvis ukjent problem."
"You cannot email this product to a friend","Du kan dessverre ikke sende dette produktet til noen"
"You cannot send more than %d times in an hour","Du kan dessverre ikke sende flere enn %d ganger pr time"
