"Action","Handling"
"Add Sitemap","Legg til sidekart"
"Always","Alltid"
"CMS Pages Options","Alternativer for innholdssider (CMS)"
"Categories Options","Kategorialternativer"
"Daily","Daglig"
"Edit Sitemap","Rediger sidekart"
"Enabled","Aktivert"
"Error Email Recipient","Epostm-ottaker for feil"
"Error Email Sender","Epost-avsender for feil"
"Error Email Template","Epost-mal for feil"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Filen ""%s"" kunne ikke lagres. Sjekk at katalogen ""%s"" er skrivbar for webserveren."
"Filename","Filnavn"
"Frequency","Hyppighet"
"Generate","Generer"
"Generation Settings","Innstillinger for opprettelse av sidekart"
"Google Sitemap","Google sidekart"
"Google Sitemap Section","Google Sidekart seksjon"
"Hourly","Hver time"
"ID","ID."
"Last Time Generated","Sist generert"
"Link for Google","Link til Google"
"Monthly","Månedlig"
"Never","Aldri"
"New Sitemap","Nytt sidekart"
"Path","Sti"
"Please create the specified folder ""%s"" before saving the sitemap.","Opprett katalogen ""%s"" før du lagrer sidekartet."
"Please define correct path","Vennligst definer korrekt sti"
"Please make sure that ""%s"" is writable by web-server.","Sjekk at ""%s"" er skrivbar for webserveren."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Bare bruk A-Z, a-z, 0-9 eller andre normale tegn."
"Priority","Prioritet"
"Priority must be between 0 and 1","Prioritet må være mellom 0 og 1"
"Products Options","Produktalternativer"
"Sitemap","Sidekart"
"Sitemap ""%s"" has been successfully generated","Sidekartet ""%s"" er generert"
"Sitemap generate Warnings","Advarsler under generering av sidekart"
"Sitemap was successfully deleted","Sidekart ble slettet"
"Sitemap was successfully saved","Sidekart ble lagret"
"Start Time","Starttidspunkt"
"Store View","Butikkvisning"
"This sitemap no longer exists","Dette sidekartet eksisterer ikke lenger"
"Unable to find a sitemap to delete","Fant ikke sidekartet"
"Unable to find a sitemap to generate","Finner ingen sidekart som kan genereres"
"Unable to generate a sitemap","Klarer ikke å generere sidekart"
"Valid values range from 0.0 to 1.0","Gyldige verfier er fra 0.0 til 1.0"
"Weekly","Ukentlig"
"Yearly","Årlig"
