"All Websites","Alle Websites"
"Apply Percent Discounts To FPT","Legg til prosent rabatter på FTP"
"Apply Tax To FPT","Legg på moms på FPT"
"Display Prices In Emails","Vis priser i epost"
"Display Prices In Product Lists","Vis priser i produktlister"
"Display Prices In Sales Modules","Vis priser i salgsmoduler"
"Display Prices On Product View Page","Vis priser på produktsidene"
"Enable FPT","Aktiver FPT"
"Excluding FPT","Ekskluder FPT"
"Excluding FPT, FPT description, final price","Ekskluder FPT, FPT beskrivelse, endelig pris"
"Fixed Product Tax","Fast moms på produkt"
"Fixed Product Taxes","Fast momssatser på produkt"
"Include FPT In Subtotal","Inkluder FPT i subtotal"
"Including FPT and FPT description [excl. FPT VAT]","Inkludert FPT og FPT beskrivelse [eksl. FPT moms]"
"Including FPT and FPT description [incl. FPT VAT]","Inkludert FPT og FPT beskrivelse [eksl. FPT moms]"
"Including FPT only","Kun inkludert FTP"
"Total","Totalt"
"Total incl. tax","Totalt inkl. moms"
