" The customer doesn't exist in the system anymore","ไม่มีลูกค้าอยู่ในระบบอีกต่อไป"
" and ","และ"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolute Path หรือเกี่ยวข้องกับ Root ที่ติดตั้ง Magento เช่น var/export)"
"(For US 2-letter state names)","(สำหรับชื่อรัฐ 2 ตัวของสหรัฐอเมริกา)"
"(If left empty will be auto-generated)","(หากเว้นว่างไว้จะถูกสร้างโดยอัตโนมัติ)"
"(Leave empty for first spreadsheet)","(ปล่อยชีทแรกให้ว่างไว้)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(สินค้าจะถูก เพิ่ม/ปรับปรุง ไปยังร้านค้า ถ้า คอลัมม์ร้านค้าว่างหรือหายไปในการนำเข้าไฟล์.)"
"(Shift-)Click or drag to change value","(กด Shift-) คลิกและลากเพื่อเปลี่ยนค่า"
"(Starting with)","(เริ่มต้นด้วย)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(เมื่อไหรไม่มีพื้นที่ที่จะนำเข้าข้อมูล. เมื่อใช้พื้นที่ คอลัม1', คอลัม 2',และอื่่นๆ.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\t for tab)","(\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - If indexing is in progress, it will be killed and new indexing process will start"
"- Click on any of the time parts to increase it","- คลิกที่ช่วงเวลาที่ต้องการเพิ่มเวลาขึ้น"
"- Hold mouse button on any of the above buttons for faster selection.","- กดเมาส์ค้างไว้ที่ปุ่มกดใดก็ได้ด้านบนเพื่อทำการเลือกได้อย่างรวดเร็วขึ้น"
"- Use the %s buttons to select month","- ใช้ปุ่มกด %s เพื่อเลือกเดือน"
"- Use the %s, %s buttons to select year","- ใช้ปุ่มกด %s เพื่อเลือกปี"
"- or Shift-click to decrease it","หรือกด Shift-แล้วคลิกค้างเพื่อลดจำนวนลง"
"- or click and drag for faster selection.","- หรือคลิกแล้วลากเพื่อทำการเลือกอย่างรวดเร็ว"
"-- Please Select --","-- กรุณาเลือก --"
"-- Please select --","-- กรุณาเลือกรายการ --"
"-- Please select a category --","-- กรุณาเลือกประเภท --"
"--Please Select--","--กรุณาเลือก--"
"1 Hour","1 ชั่วโมง"
"12 Hours","12 ชั่วโมง"
"12h AM/PM","12 ชม. AM/PM"
"2 Hours","2 ชั่วโมง"
"24 Hours","24 ชั่วโมง"
"24h","24ชม."
"2YTD","2YTD"
"6 Hours","6 ชั่วโมง"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>ไม่มีหน้านี้</p>"
