"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","ทุกวัน"
"Failure history lifetime","ระยะเวลาของการเก็บ History ความผิดพลาด"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"History cleanup every","History cleanup every"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","จะมีความผิดพลาดหากไม่ได้รันภายใน"
"Monthly","ทุกเดือน"
"No callbacks found","No callbacks found"
"Schedule ahead for","ตารางล่วงหน้าสำหรับ"
"Success history lifetime","ระยะเวลาของการเก็บ History ความสำเร็จ"
"Too late for the schedule","Too late for the schedule"
"Unable to save Cron expression","ไม่สามารถบันทึก Cron Expression"
"Unknown error","เกิดข้อผิดพลาดที่ไม่ทราบสาเหตุ"
"Weekly","ทุกสัปดาห์"
