" The customer doesn't exist in the system anymore"," The customer doesn't exist in the system anymore"
"""%s"" coupon code is not valid.","""%s""รหัสคูปองไม่ถูกต้อง"
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","%s รายการ(s) หยุดทำงานแล้ว"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","เกี่ยวกับออเดอร์นี้:"
"About Your Order","เกี่ยวกับคำสั้งซื้อของคุณ"
"Account Information","ข้อมูลบัญชีผู้ใช้"
"Action","การกระทำ"
"Actions","การกระทำ"
"Add","เพิ่ม"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","เพิ่มที่อยู่ใหม่"
"Add Order Comments","เพิ่มข้อคิดเห็นคำสั่งซื้อ"
"Add Products","Add Products"
"Add Selected Product(s) to Option","Add Selected Product(s) to Option"
"Add Selected Product(s) to Order","เพิ่มสินค้าที่เลือกไปยังคำสั่งซื้อ"
"Add To Order","เพิ่มไปยังคำสั่งซื้อ"
"Add Tracking Number","เพิ่ม Tracking Number"
"Add a gift message for <strong>each gift item</strong>","เพิ่ม gift message สำหรับ <strong>แต่ละรายการของขวัญ</strong>"
"Add a gift message for the <strong>entire order</strong>","เพิ่ม gift message สำหรับ <strong>ทั้งออเดอร์</strong>"
"Add comment to order","Add comment to order"
"Add new comment to shipment","Add new comment to shipment"
"Add new tracking number","Add new tracking number"
"Add to Cart","เพิ่มไปยังรถเข็น"
"Address","ที่อยู่"
"Adjustment Fee","ค่าธรรมเนียมการปรับปรุง"
"Adjustment Fee:","ค่าธรรมเนียบการปรับ:"
"Adjustment Refund","ปรับยอดคืนเงิน"
"Adjustment Refund:","ปรับยอดคืนเงิน:"
"Allow Reorder","อนุญาตให้มีการสั่งใหม่อีกครั้ง"
"Amount","จำนวน"
"Append Comments","ให้ข้อมูลข้อคิดเห็นเพิ่ม"
"Apply","นำไปใช้"
"Apply Coupon Code","นำโค้ดคูปองไปใช้"
"Are you sure you want to cancel this order?","คุณแน่ใจว่าต้องการยกเลิกออเดอร์นี้"
"Are you sure?","คุณแน่ใจ?"
"Are you sure? This order will be cancelled and a new one will be created instead","คุณแน่ใจ? ออเดอร์นี้จะถูกยกเลิกและออเดอร์ใหม่จะถูกสร้างขึ้นแทนที่"
"Back to My Orders","กลับไปยังคำสั่งซื้อของฉัน"
"Backordered","กลับไปคำสั่งซื้อ"
