"# of Uses","# ของการใช้"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","การกระทำ"
"Actions","การกระทำ"
"Add New Tag","เพิ่ม Tag ใหม่"
"Add Tags","เพิ่ม Tags "
"Add Your Tags:","เพิ่ม Tags ของคุณ:"
"Add to Cart","เพิ่มไปยังรถเข็น"
"Add to Wishlist","เพิ่มไปยัง Wishlist"
"All Tags","ป้ายสินค้าทั้งหมด"
"Approved","อนุมัติแล้ว"
"Are you sure that you want to delete this tag?","คุณแน่ใจว่าต้องการลบ tag นี้?"
"Are you sure you want to delete this tag?","คุณแน่ใจว่าต้องการลบ tag นี้?"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำเช่นนี้?"
"Are you sure?","คุณแน่ใจ?"
"Back","กลับ"
"Back to Tags List","กลับไปรายการ Tags"
"Back to view Tag","กลับไปมุมมอง Tags"
"Block Information","ข้อมูล Block"
"CSV","CSV"
"Change status","เปลี่ยนแปลงสถานะ"
"Click on a tag to view your corresponding products.","คลิ๊กบน tag เพื่อดูสินค้าที่เกี่ยวข้อง"
"Country","ประเทศ"
"Customer Since","เป็นลูกค้าตั้งแต่"
"Customers","ลูกค้า"
"Customers Tagged '%s'","tag ลูกค้า '%s'"
"Delete","ลบ"
"Delete Tag","ลบ Tag"
"Disabled","ปิดการใช้งาน"
"Edit Tag","แก้ไข Tag"
"Edit Tag '%s'","แก้ไข Tag'%s'"
"Email","อีเมลล์"
"First Name","ชื่อ"
"General Information","ข้อมูลทั่วไป"
"Grid","แนวตั้ง"
"ID","รหัส"
"Last Name","นามสกุล"
"List","รายการ"
"My Recent Tags","Tags ของฉันล่าสุด"
"My Tags","Tags ของฉัน"
"Name","ชื่อ"
"New Tag","Tags ใหม่"
"No matches found.","ไม่พบที่ตรงกัน"
"Other people marked this product with these tags:","คนอื่นทำเครื่องหมายสินค้านี้ด้วย Tags เหล่านี้:"
"Pending","รอการตรวจสอบ"
"Pending Tags","Tags ที่รอการตรวจสอบ"
"Popular","ยอดนิยม"
"Popular Tags","Tags ยอดนิยม"
"Popularity","ความนิยม"
"Price","ราคา"
"Product Name","ชื่อสินค้า"
"Product SKU","SKU สินค้า"
"Product Tags","Tags สินค้า"
"Products","สินค้า"
"Products Tagged with '%s'","Products Tagged with '%s'"
"Products tagged with '%s'","Products tagged with '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Products tagged with '%s' (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","บันทึก Tag"
"Search Results for '%s' (<a href='%s'>RSS</a>)","ผลการค้นหาสำหรับ '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","สถานะ"
"Tag","Tag"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","ข้อมูล Tag"
"Tag Name","ชื่อ Tag"
"Tag Name: %s","ชื่อ Tag: %s"
"Tag can't be empty.","Tag จำเป็นต้องมีคำ"
"Tagged in","Tagged ใน"
"Tags","Tags"
"Tags Aren't Available","Tags Aren't Available"
"Tags:","Tag:"
"Telephone","โทรศัพท์"
"Thank you. Your tag has been accepted for moderation.","ขอบคุณ. tag ของคุณถูกรับไว้เพื่อการตรวจสอบแล้ว"
"Unable to find any products tagged with '%s' in the current store","ไม่สามารถค้นหาสินค้าใดๆที่เกียวกับ tag สินค้า '%s' ในร้านในขณะนี้"
"Unable to remove tag. Please, try again later.","ไม่สามารถลบ tag ออก กรุณาลองใหม่อีกครั้ง"
"Unable to save tag(s)","ไม่สามารถบันทึก tag(s)"
"Unable to save your tag. Please, try again later.","ไม่สามารถบันทึก tag ของคุณ กรุณาลองใหม่อีกครั้ง"
"Use spaces to separate tags. Use single quotes (') for phrases.","ใช่ช่องว่างแบ่ง tag. ใช้ single quotes (') สำหรับคำพูด."
"Uses","การใช้"
"View All","View All"
"View All Tags","ดู tag ทั้งหมด"
"View Customers","ดูลูกค้า"
"View Products","ดูสินค้า"
"Visible In","สามารถมองเห็นได้ใน"
"XML","XML"
"You have not tagged any products yet.","คุณยังไม่ได้ tag สินค้าใด ๆ"
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","รหัสไปรษณีย์"
"You have not tagged any products yet.","You have not tagged any products yet."
