"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Bağlantı</a>"
"Access denied to destination folder ""%s""","Hedef dizine erişim engellendi ""%s"""
"Could not load file: ""%s""","Dosya yükelenemedi : ""%s"""
"Could not save file: %s","Dosya kaydedilemedi : %s"
"Declared adapter %s not found","Belirtilen çevirici %s bulunamadı"
"Destination folder ""%s"" does not exist or not access to create","Hedef dizin ""%s"" yok veya oluşturulamıyor"
"Destination folder ""%s"" is not a directory","Hedef dizin ""%s"" dizin değil"
"Destination folder ""%s"" is not a writeable","Hedef dizin ""%s"" için yazma hakkı yok"
"Done","Tamamlandı"
"Dry run set, stopping execution","Temiz çalıştırma ayarlandı, normal çalıştırma durduruluyor"
"ETA: %s","Tahmini Süre: %s"
"Error field mapping! Fields list for mapping is not defined","Alan eşleştirmede hata ! Alan eşleşmesi icin alan adları verilmedi"
"Error occured during file opening: ""%s""","Dosya açılırken hata oluştu : ""%s"""
"File ""%s"" don't exist"," ""%s"" dosyası bulunamıyor"
"Found %d rows","%d satır bulundu"
"Less than a minute","1 dakikadan az"
"Loaded successfully: ""%s""","Yüklendi : ""%s"""
"Memory Used: %s","Kullanılan Hafıza : %s"
"Method ""%s"" not defined in adapter %s","""%s"" yöntem %s adlı çeviricide belirtilmedi"
"Please declare ""adapter"" and ""method"" node first","Lütfen ""çevirici"" ve ""yöntem"" kısımlarını belirleyiniz"
"Processed records: %s","İşlenen kayıt sayısı : %s"
"Saved successfully: ""%s"" [%d byte(s)]","Kaydedildi : ""%s"" [%d bayt]"
"Sheet 1","Sayfa 1"
"Skip undefined row","Ayarlanmamış satırı atla"
"Starting %s :: %s","%s :: %s Başlatılıyor"
"Total records: %s","Toplam kayıt sayısı : %s"
"hour","saat"
"hours","saat"
"minute","dakika"
"minutes","dakika"
