"# of Uses","# Kullanım Sayısı"
"%s tag(s) have been accepted for moderation","%s etiketler onaylanmak üzere kaydedildi"
"Action","İşlem"
"Actions","İşlemler"
"Add New Tag","Etiket Ekle"
"Add Tags","Etiket Ekle"
"Add Your Tags:","Etiketlerinizi Ekleyin :"
"Add to Cart","Sepete Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"All Tags","Tüm Etiketler"
"Approved","Onaylandı"
"Are you sure that you want to delete this tag?","Bu etiketi silmek istediğinizden emin misiniz ?"
"Are you sure you want to delete this tag?","Bu etiketi silmek istediğinizden emin misiniz ?"
"Are you sure you want to do this?","Bunu yapmak istediğinizden emin misiniz ?"
"Are you sure?","Emin misiniz ?"
"Back","Geri"
"Back to Tags List","Etiket Listesine Dön"
"Back to view Tag","Etiket Görünümüne Dön"
"Block Information","Blok Bilgisi"
"CSV","CSV"
"Change status","Durumu değiştir"
"Click on a tag to view your corresponding products.","Uygun ürünleri görmek için etikete tıklayın."
"Country","Ülke"
"Customer Since","Müşteri Geçmişi"
"Customers","Müşteriler"
"Customers Tagged '%s'","'%s' Müşteriler Etiketledi"
"Delete","Sil"
"Delete Tag","Etiketi Sil"
"Disabled","Kapalı"
"Edit Tag","Etiketi Sil"
"Edit Tag '%s'","Etiketi Düzenle '%s'"
"Email","Email"
"First Name","Adı"
"General Information","Genel Bilgi"
"Grid","Izgara"
"ID","No"
"Last Name","Soyadı"
"List","Liste"
"My Recent Tags","Önceki Etiketlerim"
"My Tags","Etiketlerim"
"Name","Adı"
"New Tag","Yeni Etiket"
"No matches found.","Eşleşme bulunamadı."
"Other people marked this product with these tags:","Diğer müşterilerimiz bu ürüne şu etiketleri koydular :"
"Pending","Beklemede"
"Pending Tags","Bekleyen Etiketler"
"Popular","Popüler"
"Popular Tags","Popüler Etiketler"
"Popularity","Popülerite"
"Price","Fiyat"
"Product Name","Ürün Adı"
"Product SKU","Ürün Kodu"
"Product Tags","Ürün Etiketleri"
"Products","Ürünler"
"Products Tagged with '%s'","'%s' ile etiketlenen ürünler"
"Products tagged with '%s'","'%s' ile etiketlenen ürünler"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","'%s' ile etiketlenen ürünler (<a href='%s'>RSS</a>)"
"SKU","Ürün Kodu"
"Save Tag","Etiketi Kaydet"
"Search Results for '%s' (<a href='%s'>RSS</a>)","'%s' için Arama Sonuçları (<a href='%s'>RSS</a>)"
"Search Terms","Aranan"
"Status","Durum"
"Tag","Etiket"
"Tag ""%s"" has already been added to the product","""%s"" adlı etiket ürüne eklendi"
"Tag Information","Etiket Bilgisi"
"Tag Name","Etiket Adı"
"Tag Name: %s","Etiket Adı : %s"
"Tag can't be empty.","Etiket boş bırakılamaz."
"Tagged in","Etiketlendiği Yer"
"Tags","Etiketler"
"Tags Aren't Available","Etiketler açık değil"
"Tags:","Etiketler :"
"Telephone","Telefon"
"Thank you. Your tag has been accepted for moderation.","Teşekkürler. Etiketiniz onaydan geçmek üzere kabul edildi."
"Unable to find any products tagged with '%s' in the current store","Bu mağazada '%s' ile etiketlenmiş ürün bulunamadı"
"Unable to remove tag. Please, try again later.","Etiket silinemiyor. Lütfen daha sonra tekrar deneyiniz."
"Unable to save tag(s)","Etiket(ler) kaydedilemiyor"
"Unable to save your tag. Please, try again later.","Etiketiniz kaydedilemiyor. Lütfen daha sonra tekrar deneyiniz."
"Use spaces to separate tags. Use single quotes (') for phrases.","Etiketleri ayırmak için boşluk kullanınız. Deyim tipindeki etiketler için tekli tırnak (') kullanınız."
"Uses","Kullanır"
"View All","Hepsini Göster"
"View All Tags","Tüm Etiketleri Göster"
"View Customers","Müşterileri Göster"
"View Products","Ürünleri Göster"
"Visible In","Görüneceği Yer"
"XML","XML"
"You have not tagged any products yet.","Hiç bir ürünü etiketlemediniz."
"Your tag was successfully deleted","Etiket silindi"
"Your tag was successfully saved","Etiket kaydedildi"
"ZIP/Post Code","Posta Kodu"
"You have not tagged any products yet.","You have not tagged any products yet."
