"ALL","ВСІ"
"ANY","БУДЬ-ЯКІ"
"Add","Add"
"Apply","Застосувати"
"Description: %s","Опис: %s"
"Expire at: %s","Дата завершення: %s"
"FALSE","НЕ СПРАВДЖУЮТЬСя"
"If %s of these conditions are %s:","Якщо %s з цих умов %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Назва: %s"
"Open Chooser","Вибрати"
"Perform following actions","Виконати наступні дії"
"Please choose a condition to add...","Будь-ласка, виберіть умову для додавання..."
"Please choose an action to add...","Будь-ласка, виберіть дію для додавання..."
"Remove","Видалити"
"Start at: %s","Дата початку: %s"
"TRUE","СПРАВДЖУЮТЬСя"
"by","до"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","присутній"
"is not","відсутній"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","до"
