"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Дія"
"Actions","Дії"
"Add New Tag","Додати новий тег"
"Add Tags","Додати теги"
"Add Your Tags:","Додати Ваші теги:"
"Add to Cart","Додати в кошик"
"Add to Wishlist","Додати до списку бажань"
"All Tags","Всі теги"
"Approved","Підтверджено"
"Are you sure that you want to delete this tag?","Ви впевнені, що бажаєте видалити цей тег?"
"Are you sure you want to delete this tag?","Ви впевнені, що бажаєте видалити цей тег?"
"Are you sure you want to do this?","Ви впевнені?"
"Are you sure?","Ви впевнені?"
"Back","Повернутись"
"Back to Tags List","Повернутись до списку тегів"
"Back to view Tag","Повернутись до перегляду тегів"
"Block Information","Інформація про блок"
"CSV","CSV"
"Change status","Змінити статус"
"Click on a tag to view your corresponding products.","Клікніть на тегу, щоб побачити Ваші пов'язані товари."
"Country","Кріїна"
"Customer Since","Клієнт починаючи з"
"Customers","Клієнти"
"Customers Tagged '%s'","Відзначено клієнтами як '%s'"
"Delete","Видалити"
"Delete Tag","Видалити тег"
"Disabled","Не показувати"
"Edit Tag","Редагувати тег"
"Edit Tag '%s'","Редагувати тег '%s'"
"Email","Email"
"First Name","Ім'я"
"General Information","Загальна інформація"
"Grid","Таблиця"
"ID","ID"
"Last Name","Прізвище"
"List","Список"
"My Recent Tags","Мої нещодавні теги"
"My Tags","Мої теги"
"Name","Назва"
"New Tag","Новий тег"
"No matches found.","Нічого не знайдено."
"Other people marked this product with these tags:","Інші користувачі позначили цей товар такими тегами:"
"Pending","В очікуванні"
"Pending Tags","Теги в очікуванні"
"Popular","Популярні"
"Popular Tags","Популярні теги"
"Popularity","Популярність"
"Price","Ціна"
"Product Name","Назва товару"
"Product SKU","Обліковий номер товару"
"Product Tags","Теги товарів"
"Products","Товари"
"Products Tagged with '%s'","Товари позначені як '%s'"
"Products tagged with '%s'","Товари позначені як '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Товари позначені як '%s' (<a href='%s'>RSS</a>)"
"SKU","Обліковий номер"
"Save Tag","Зберегти тег"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Результати пошуку для '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Статус"
"Tag","Тег"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Інформація про тег"
"Tag Name","Назва тегу"
"Tag Name: %s","Назва тегу: %s"
"Tag can't be empty.","Тег не може бути пустим."
"Tagged in","Позначено в"
"Tags","Теги"
"Tags Aren't Available","Теги недоступні"
"Tags:","Теги:"
"Telephone","Телефон"
"Thank you. Your tag has been accepted for moderation.","Дякуємо Вам. Ваш тег був надісланей на модерацію."
"Unable to find any products tagged with '%s' in the current store","В цій групі магазинів неможливо знайти товарів, позначених тегом '%s' "
"Unable to remove tag. Please, try again later.","Неможливо видалити тег. Будь-ласка, спробуйте ще раз пізніше."
"Unable to save tag(s)","Неможливо зберегти тег(и)"
"Unable to save your tag. Please, try again later.","Неможливо зберегти Ваш тег. Будь-ласка, спробуйте ще раз пізніше."
"Use spaces to separate tags. Use single quotes (') for phrases.","Використовуйте пробіли для розділення тегів. Для фраз використовуйте одиничні лапки (') ."
"Uses","Використання"
"View All","View All"
"View All Tags","Переглянути всі теги"
"View Customers","Всі клієнти"
"View Products","Переглянути товари"
"Visible In","Видимий у"
"XML","XML"
"You have not tagged any products yet.","Ви не відзначенили тегом жодного продукту."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Поштовий код"
"You have not tagged any products yet.","You have not tagged any products yet."
