"* Required Fields","* حقول مطلوبة"
"Comment","تعليق"
"Contact Form","نموذج الاتصال"
"Contact Information","بيانات الاتصال"
"Contact Us","اتصل بنا"
"Contacts","المتصلين"
"Contacts Section","Contacts Section"
"Email","البريد الالكترونى"
"Email Options","خيارات البريد الالكترونى"
"Email Sender","مرسل الرسالة"
"Email Template","قوالب الرسالة"
"Enable Contact Us","تفعيل اتصل بنا"
"Name","الأسم"
"Send Emails To","ارسل رسائل الى"
"Submit","أرسل"
"Telephone","الهاتف"
"Unable to submit your request. Please, try again later","لا يمكن تنفيذ طلبك الان , من فضلك حاول لاحقا"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
"Contact Us","Contact Us"
"Contact Information","Contact Information"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","Comment"
"* Required Fields","* Required Fields"
