"%s already exist","%s موجود بالفعل"
"%s already exists","%s موجود بالفعل"
"-- Please Select --","-- من فضلك اختر --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","متقدم"
"Allow countries","السماح للدول"
"Allowed IPs (comma separated)","Allowed IPs (comma separated)"
"Are you sure?","هل أنت متأكد؟"
"Back","للخلف"
"Backup options","Backup options"
"Base JavaScript URL","Base JavaScript URL"
"Base Link URL","Base Link URL"
"Base Media URL","Base Media URL"
"Base Skin URL","Base Skin URL"
"Base URL","Base URL"
"Before modifying the store view code please make sure that it is not used in index.php","Before modifying the store view code please make sure that it is not used in index.php"
"Before modifying the website code please make sure that it is not used in index.php","Before modifying the website code please make sure that it is not used in index.php"
"Block with name ""%s"" already exists","Block with name ""%s"" already exists"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Can't retrieve request object"
"Can't retrieve entity config: %s","Can't retrieve entity config: %s"
"Cancel","إلغاء"
"Cannot Delete Email Template","لا يمكن حذف قالب البريد الإلكتروني"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","كود"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Controller file was loaded but class does not exist"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Copyright","Copyright"
"Countries options","خيارات الدول"
"Create Store","إنشاء متجر"
"Create Store View","إنشاء عرض متجر"
"Create Website","إنشاء موقع"
"Current package name","Current package name"
"Custom Design","تصميم مخصص"
"Custom admin URL","Custom admin URL"
"Custom email 1","بريد إلكتروني مخصص 1"
"Custom email 2","بريد إلكتروني مخصص 2"
"Customer support","دعم العملاء"
"Date From","التاريخ من"
"Date To","التاريخ إلى"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Debug"
"Default","الافتراضي"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","الصفحات الافتراضية"
"Default Robots","Default Robots"
"Default Store","المتجر الافتراضي"
"Default Store View","عرض المتجر الافتراضي"
"Default Title","Default Title"
"Default country","الدولة الافتراضية"
"Default no-route url","Default no-route url"
"Default web url","Default web url"
"Delete","حذف"
"Delete Store","حذف متجر"
"Delete Store View","حذف عرض متجر"
"Delete Website","حذف موقع"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","تصميم"
"Design Change","تغيير التصميم"
"Developer","مطور"
"Developer Client Restrictions","Developer Client Restrictions"
"Disable email communications","إلغاء تفعيل التواصل عن طريق البريد الإلكتروني"
"Disable modules output","Disable modules output"
"Duplicate Of Template Code","Duplicate Of Template Code"
"Edit Design Change","تحرير تغيير التصميم"
"Edit Store","تحرير متجر"
"Edit Store View","تحرير عرض المتجر"
"Edit Website","تحرير موقع"
"Empty identifier field name","إفراغ اسم حقل المعرف"
"Empty main table name","إفراغ اسم الجدول الرئيسي"
"Enabled","مفعل"
"Enabled for Admin","مفعل للمدير"
"Enabled for Frontend","Enabled for Frontend"
"Error in file: ""%s"" - %s","خطأ في الملف: ""%s"" - %s"
"Error while saving. Please try again later.","Error while saving. Please try again later."
