"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Линк</a>"
"Access denied to destination folder ""%s""","Отказан достъп към желаната папка ""%s"""
"Could not load file: ""%s""","Не може да се зареди файл: ""%s"""
"Could not save file: %s","не може да се запише файл: %s"
"Declared adapter %s not found","Declared adapter %s not found"
"Destination folder ""%s"" does not exist or not access to create","Желаната папка ""%s"" не съществува или нямате достъп за създаването и&#768;"
"Destination folder ""%s"" is not a directory","Желаната папка ""%s"" не е директория"
"Destination folder ""%s"" is not a writeable","желаната папка ""%s"" е забранена за презаписване"
"Done","Готово"
"Dry run set, stopping execution","Dry run set, stopping execution"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","Error field mapping! Fields list for mapping is not defined"
"Error occured during file opening: ""%s""","Грешка при отваряне на: ""%s"""
"File ""%s"" don't exist","Файлът ""%s"" несъществува"
"Found %d rows","Намерени са %d ред(а)"
"Less than a minute","По-малко от минута"
"Loaded successfully: ""%s""","Успешно зареден: ""%s"""
"Memory Used: %s","Използвана памет: %s"
"Method ""%s"" not defined in adapter %s","Method ""%s"" not defined in adapter %s"
"Please declare ""adapter"" and ""method"" node first","Please declare ""adapter"" and ""method"" node first"
"Processed records: %s","Обработени записа: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Успешно записване: ""%s"" [%d байт(а)]"
"Sheet 1","Страница 1"
"Skip undefined row","Пропусни недефиниран ред"
"Starting %s :: %s","Стартиране %s :: %s"
"Total records: %s","Общо записи: %s"
"hour","час"
"hours","часа"
"minute","минута"
"minutes","минути"
