" Copy"," Копие"
"Action","Действие"
"Add New Template","Добави нов шаблон"
"Add to Queue","Добави в списък със задачи"
"Are you sure that you want to delete this template?","Сигурен ли сте, че искате да изтриете този шаблон?"
"Are you sure that you want to strip all tags?","Сигурен ли сте, че искате да премахнете всички тагове?"
"Back","Обратно"
"Cancel","Откажи"
"Cancelled","Отказано"
"Cannot delete subscriber","Не може да се изтрие абонат"
"Cannot delete template","Не може да се изтрие шаблон"
"Cannot mark as received subscriber","Не може да се маркира като получил абоната"
"Cannot save your subscription: %s","Не може да се запази вашият абонамент: %s"
"Confirmation Email Sender","Подател за имейл за потвърждение"
"Confirmation Email Template","Шаблон за имейл за потвърждение"
"Confirmation request has been sent","Изпратено е запитването за потвърждение"
"Convert to Plain Text","Конвертирай в чист текст"
"Create Newsletter Template","Създай шаблон за бюлетин"
"Customer","Клиент"
"Customer Firstname","Собствено име на клиент"
"Customer Lastname","Фамилия на клиент"
"Date Added","Дата на добавяне"
"Date Updated","Дата на обновяване"
"Delete Selected Problems","Изтрий избраните проблеми"
"Delete Template","Изтрий шаблон"
"Do you really want to cancel the queue?","Наистина ли искате да откажете задачата?"
"Duplicate of template code","Дубликат на кода от шаблона"
"Edit Newsletter","Редактирай бюлетин"
"Edit Newsletter Template","Редактирай шаблон на бюлетин"
"Edit Queue","Редактирай задачи"
"Edit Template","Редактирай шаблон"
"Email","Имейл"
"Enter your email address","Въведете Вашия имейл адрес"
"Error Code","Код на грешка"
"Error Text","Текст на грешка"
"Form was filled incorrectly","Неправилно попълване на полето"
"Guest","Гост"
"ID","ID"
"Invalid queue selected","Избрана е невалидна Опашка"
"Invalid subscriber ID","Невалидно ID на абонат"
"Invalid subscription ID","Невалидно абонаментно ID"
"Invalid subscription confirmation code","Невалиден абонаментен код за потвърждаване"
"Message","Съобщение"
"Need to Confirm","Необходимо е потвърждение"
"New Newsletter Template","Нов шаблон за бюлетин"
"New Template","Нов шаблон"
"Newsletter","Бюлетин"
"Newsletter Message Preview","Преглед на съобщения за бюлетини"
"Newsletter Problem Reports","Справки за проблеми с бюлетини"
"Newsletter Queue","Задачи за бюлетини"
"Newsletter Section","Секция бюлетин"
"Newsletter Sign-up","Абонирай се за известия"
"Newsletter Subscribers","Абонати за бюлетин"
"Newsletter Subscription","Абонамент за бюлетин"
"Newsletter Subscriptions","Абонаменти за бюлетин"
"Newsletter Templates","Шаблони за бюлетин"
"Newsletter subscription confirmation","Потвърждение на абонамент за бюлетин"
"Newsletter subscription success","Успешно абониране за бюлетин"
"Newsletter unsubscription success","Успешно анулиране на абонамент за бюлетин"
"No Templates Found","Не са намерени шаблони"
"No problems found","Няма намерени проблеми"
"No subscribers selected","Не са избрани абонати"
"Not Sent","Неизпратено"
"Not activated","Не е активирано"
"Pause","Пауза"
"Paused","На пауза"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Моля въведете ново име на шаблон"
"Please select subscriber(s)","Моля изберете абонати"
"Preview","Преглед"
"Preview Template","Преглед на шаблон"
"Processed","Обработено"
"Queue Date Start","Начална дата на на задача"
"Queue Finish","Край на задача"
"Queue Information","Информация за задача"
"Queue Newsletter","Опашка на бюлетина"
"Queue Start","Стартиране на задача"
"Queue Subject","Заглавие на задача"
"Recipients","Получатели"
"Reset","Нулирай"
"Resume","Поднови"
"Return Html Version","Върни Html версия"
"Save And Resume","Запази и възстанови"
"Save As","Запиши като"
"Save Newsletter","Запиши бюлетин"
"Save Template","Запиши шаблон"
"Selected problem subscribers successfully unsubscribed","Избраните проблемни абонати успешно са премахнати от абонамента"
"Selected problems successfully deleted","Избраните проблеми са изтрити успешно"
"Sender","Подател"
"Sender Email","Имейл на подател"
"Sender Name","Име на подател"
"Sending","Изпращане"
"Sending Options","Sending Options"
"Sent","Изпратено"
"Set Return-Path","Set Return-Path"
"Sign me up","Sign me up"
"Sign up for our newsletter:","Абонирайте се за информационният ни бюлетин:"
"Start","Стартирай"
"Status","Статус"
"Store","Магазин"
"Store View","Изглед на магазин"
"Subject","Заглавие"
"Subscribe","Абониране"
"Subscribed","Абониран"
"Subscriber","Клиент"
"Subscribers","Клиенти"
"Subscribers From","Абонати от"
"Subscription Options","Опции за абонаменти"
"Success Email Sender","Подател на имейл за успешно абониране"
"Success Email Template","Шаблон на имейл за успешно абониране"
"Template Content","Съдържание на шаблон"
"Template Information","Информация за шаблон"
"Template Name","Име на шаблон"
"Template Subject","Заглавие на шаблон"
"Template Type","Шаблон тип"
"Thank you for your subscription","Благодарим ви за абонамента"
"The subscription was successfully saved","Успешно запазване на абонамента"
"There was a problem with the subscription","Възникна проблем с абонамента"
"There was a problem with the subscription: %s","Намерен е проблем с абонамента: %s"
"There was a problem with the un-subscription.","Намерен е проблем с анулирането на абонамента."
"There was an error while saving your subscription","Възникна грешка при запазване на абонамента"
"Toggle Editor","Смени редактора"
"Type","Тип"
"Unsubscribe","Анулирай абонамент"
"Unsubscribe Selected","Анулирай избраните"
"Unsubscribed","Анулирани абонаменти"
"Unsubscription Email Sender","Подател за анулиране на абонамент"
"Unsubscription Email Template","Шаблон за анулиране на абонамент"
"View Newsletter","Преглед на бюлетин"
"Website","Уебсайт"
"You have been successfully unsubscribed.","Успешно прекратяване на абонамента."
"Your subscription was successfully confirmed","Вашият абонамент успешно е потвърден"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Абонирайте се за нашия бюлетин"
"Newsletter Subscriptions","Newsletter Subscriptions"
