"* Required Fields","* Povinná pole"
"A new password was sent","Nové heslo bylo odesláno"
"Account Dashboard","Nástěnka účtu"
"Account Information","Informace o účtu"
"Account Sharing Options","Možnosti sdílení účtů"
"Account information was successfully saved","Informace o účtu byly úspěšně uloženy"
"Action","Událost"
"Add New Address","Přidat novou adresu"
"Add New Customer","Přidat nového zákazníka"
"Add New Customer Group","Přidat novou skupinu zákazníků"
"Added From","Přidáno od"
"Additional Address Entries","Další adresní záznamy"
"Address","Adresa"
"Address Book","Adresář"
"Address Information","Informace o adrese"
"Addresses","Adresy"
"Admin","Admin"
"All","Vše"
"All Store Views","Pohled na všechny obchody"
"All countries","Všechny země"
"Always optional","Vždy volitelné"
"Amount","Množství"
"Approved","Schválený"
"Are you sure that you want to remove this item?","Jste si jisti, že chcete odebrat tuto položku?"
"Are you sure you want to cancel adding of this address?","Určitě chcete zrušit přidávání této adresy?"
"Are you sure you want to delete this address?","Určitě chcete tuto adresu smazat?"
"Are you sure?","Jste si jisti?"
"Array of Entity collections is expected","Je očekáváno pole vlastností"
"Assign a customer group","Přiřadit zákaznickou skupinu"
"Average Sale","Průměrné prodeje"
"Back","Zpět"
"Back to Login","Zpět k přihlášení"
"Bad request.","Chybný požadavek."
"Bill to Name","Účet na jméno"
"Billing Information","Platební údaje"
"Bought From","Koupený od"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Díky zákaznickému účtů můžete rychleji zaplatit, uložit více dodacích adres, sledovat Vaše objednávky a mnoho dalšího."
"CSV","CSV"
"Can't save address","Nelze uložit adresu"
"Can't save customer","Nelze uložit zákazníka"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Nesdílet zákaznické účty globálně. Pokud existují zákaznické účty se stejnými emailovými adresami v různých obchodech nemohou být sloučeny."
"Cancel","Zrušit"
"Change Account Password","Změnit heslo účtu"
"Change Billing Address","Změnit"
"Change Password","Změnit heslo"
"Change Shipping Address","Změnit dodací adresu"
"City","Město"
"Company","Společnost"
"Config","Nastavení"
"Confirm New Password","Potvrdit nové heslo"
"Confirm Password","Potvrdit heslo"
"Confirmation Link Email","Email s potvrzujícím odkazem"
"Confirmed","Podtvrzený"
"Contact Information","Kontaktní informace"
"Continue Shopping","Pokračovat v nákupu"
"Country","Země"
"Create","Vytvořit"
"Create New Account Options","Vytvořit nový účet s volbami"
"Create New Customer Account","Vytvořit nový zákaznický účet"
"Create Order","Vytvořit objednávku"
"Create an Account","Vytvořit účet"
"Create customer","Vytvořit zákazníka"
