"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text."
"API Password","Heslo"
"API Signature","Podpis"
"API User Name","Uživatel Jméno"
"Amex","Amex"
"Authorization","Autorizace"
"Authorize and Capture","Autorizovat a přijmout"
"Billing Information","Platební údaje"
"Business Account","Obchodní účet"
"Business Name","Obchodní jméno"
"Card Verification Number","Ověřovací číslo karty (CCV)"
"Change Payment Method","Změnit způsob platby"
"Change Shipping Address","Změnit dodací adresu"
"Credit Card Number","Číslo platební karty"
"Credit Card Number: xxxx-%s","Číslo platební karty: xxxx-%s"
"Credit Card Type","Typ platební karty"
"Credit Card Type: %s","Typ platební karty: %s"
"Credit Card Types","Typ platební karty"
"Customer returned from PayPal site.","Zákazník po návratu ze stránek PayPal."
"Debug Flag","Ladící znaky"
"Discover","Zjistit"
"Edit Shopping Cart","Upravit košík"
"Enabled","Aktivní"
"Error in creating an invoice","Chyba při vytváření faktury"
"Error in refunding the payment","Chyba při placení"
"Expiration Date","Datum platnosti"
"Expiration Date: %s/%s","Datum expirace: %s/%s"
"Incl. Tax","S daní"
"Invalid transaction id","Chybné id transakce"
"Invoice #%s created","Faktura #%s vytvořena"
"Issue Number","Problém číslo"
"Items in Your Shopping Cart","Položky v nákupním košíku"
"MasterCard","MasterCard"
"Maximum image size is 750x90 px.","Maximální velikost obrázku je 750x90 px."
"N/A","nedefinováno"
"Name on Card","Jméno na kartě"
"Name on the Card: %s","Jméno na kartě: %s"
"New order status","Nový stav objednávky"
"No shipping method required.","Způsob doručení není vyžadován."
"Order","Objednávka"
"Order total amount does not match paypal gross total amount","Celková částka objednávky není stejná jako celková částka PayPal"
"Page Style","Styl stránky"
"PayPal Accounts","Účet PayPal"
"PayPal Email","PayPal Email"
"PayPal Express Checkout","Zaplatit PayPal Express"
"PayPal Uk Account","Účet PayPal Uk"
"PayPal Website Payments Pro - Direct Payments","Stránky PayPal Payments Pro - Přímé platby"
"PayPal Website Payments Standard","Stránky PayPal Payments Standard"
"Payment Action","Platební akce"
"Payment Method","Platební metoda"
"Payment from Specific countries","Platby z vybraných zemí"
"Payment from applicable countries","Platby z použitelných zemí"
"Paypal Checkout","Zaplatit PayPalem"
"Paypal IPN Invalid %s.","Chybný IPN Paypal (%s)."
"Paypal Logo Image URL","Paypal Logo Image URL"
"Paypal URL","Paypal URL"
"Place an Order","Odeslat objednávku"
"Please select a shipping method...","Vyberte prosím způsob dodání..."
"Please select a valid shipping method","Vyberte prosím platný způsob dopravy"
"Price","Cena"
"Problem during communication with PayPal","Při komunikaci s PayPalem došlo k chybě"
"Product Name","Název produktu"
"Proxy Host","Server"
"Proxy Port","Port Proxy"
"Qty","Množství"
"Received IPN verification","Přijaté ověřovací IPN"
"Review Order","Přehled objednávky"
"Sale","Prodej"
"Sandbox Flag","Pískoviště"
"Selected currency code (","Vybrat kód měny ("
"Shipping Address","Dodací adresa"
"Shipping Information","Dodací údaje"
"Shipping Method","Způsob dodání"
"Sorry, no quotes are available for this order at this time.","Litujeme, pro tuto objednávku nyní nejsou k dispozici žádné nabídky."
"Sort order","Pořadí objednávek"
"Start Date","Start Datum"
"Submitting order information...","Dodací údaje"
"Subtotal","Součet"
"Switch/Solo Only","Přepínač/pouze samostatný"
"Switch/Solo card issue number: %s","Switch/Solor card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solor card start Date: %s/%s"
"There has been an error processing your payment. Please try later or contact us for help.","Nastala chyba při placení. Prosím zkuste to později a nebo nás kontaktujte."
"There was an error connecting to the Paypal server: %s","Při připojování k serveru PayPalu došlo k chybě: %s"
"There was an error during communication with Paypal: %s - %s","Při komunikaci s PayPalem došlo k chybě: %s - %s"
"Title","Nadpis"
"Transaction Type","Typ transakce"
"Type","Typ"
"Unknown PayPal API error: %s","Neznámá chyba PayPal rozhraní: %s"
"Update Shipping Method","Upravit způsob doručení"
"Use Proxy","Použít Proxy"
"Visa","Visa"
"Website Payments Pro and Express Checkout (API Signature)","Stránky Payments Pro a Expresní platby (API podpis)"
"Website Payments Standard","Webstránky Payments Standard"
"What is this?","Co to je?"
"You will be redirected to Paypal in a few seconds.","Během několika sekund budete přesměrováni na Paypal."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Vaše fakturační adresa bude ignorována a budete přesměrováni na PayPal UK stránky"
