"All Websites","Všechny stránky"
"Apply Percent Discounts To FPT","Použít procentní slevy na FPT"
"Apply Tax To FPT","Použít daň na FPT"
"Display Prices In Emails","Zobrazovat ceny v emailech"
"Display Prices In Product Lists","Zobrazovat ceny v seznamu produktů"
"Display Prices In Sales Modules","Zobrazovat ceny v prodejních modulech"
"Display Prices On Product View Page","Zobrazit ceny na stránkách zobrazení produktů"
"Enable FPT","Povolit FPT"
"Excluding FPT","Bez FPT"
"Excluding FPT, FPT description, final price","Bez FPT, FPT popis, konečná cena"
"Fixed Product Tax","Příplatky"
"Fixed Product Taxes","Pevné daně produktů"
"Include FPT In Subtotal","S FPT v celkovém součtu"
"Including FPT and FPT description [excl. FPT VAT]","Obsahuje FPT a FPT popis [neobsahuje FPT daň]"
"Including FPT and FPT description [incl. FPT VAT]","Obsahuje FPT a FPT popis [s FPT daní]"
"Including FPT only","Pouze s FPT"
"Total","Celkem"
"Total incl. tax","Celkem s daní"
