"Actions","Actions"
"Add Answer","Ychwanegu Ateb"
"Add New Answer","Ychwanegu Ateb Newydd"
"Add New Poll","Ychwanegu Pôl Newydd"
"Answer Title","Teitl Ateb"
"Answer Title:","Teitl Ateb:"
"Answer was successfully saved","Answer was successfully saved"
"Answer with the same title in this poll","Answer with the same title in this poll"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"Assigned Answers","Assigned Answers"
"Closed","Ar gau"
"Community Poll","Community Poll"
"Date Closed","Dyddiad Cau"
"Date Posted","Date Posted"
"Delete","Dileu"
"Delete Answer","Dileu y Ateb"
"Delete Poll","Dileu y Pôl"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Golygu Ateb '%s'"
"Edit Poll '%s'","Golygu Pôl '%s'"
"Edit Poll Answer","Golygu Ateb y Pôl"
"ID","ID"
"Invalid Answer","Invalid Answer"
"New Poll","Pôl Newydd"
"Number of Responses","Number of Responses"
"Open","Ar agor"
"Poll Answers","Atebion y Pôl"
"Poll Information","Gwybodaeth Pôl"
"Poll Manager","Poll Manager"
"Poll Question","Cwestiwn Pôl"
"Poll information","Gwybodaeth Pôl"
"Poll not exists","Poll not exists"
"Poll with the same question","Poll with the same question"
"Save Answer","Archeb y Ateb"
"Save Poll","Archeb y Pôl"
"Status","Statws"
"Unable to find answer to delete.","Unable to find answer to delete."
"Visible In","Visible In"
"Vote","Pleidlais"
"Votes Count","Votes Count"
"Votes Count:","Cyfrif Pleidleisiau:"
