"%s and greater","%s og større"
"Advanced Search","Avanceret søgning"
"All","Alle"
"Applies for ""Like"" Search type only","Gælder kun for søgetypen ""Like"""
"Apply Layered Navigation if search results are less than","Brug lagdelt navigation hvis søgeresultaterne er færre end"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","En egenskabsindstilling relateret til søgeindekset er ændret. Kør venligst <a href=""%s"">Genopbyg søgeindeks</a>-processen"
"Autogenerated site map","Automatisk genereret sitemap"
"Catalog Advanced Search","Avanceret søgning"
"Catalog Search","Katalogsøgning"
"Don't see what you're looking for?","Kan du ikke finde hvad du søger?"
"Go","Kør"
"Go to Home Page","Gå til forside"
"Grid","Tabel"
"Home","Forside"
"List","Liste"
"Maximum Query Length","Makslængde af søgning"
"Maximum Query Words Count","Maks. antal ord i søgning"
"Maximum Search query  length is %s. Your query was cut.","Makslængde af søgning er %s. Din søgning blev forkortet."
"Minimal Query Length","Mindstelængde af søgning"
"Modify your search","Modificer din søgning"
"No","Nej"
"No items were found using the following search criteria.","Der blev ikke fundet nogen varer med følgende søgekriterier."
"Please enter ""0"" to enable layered navigation for any number of results","Skriv ""0"" for at aktivere filtreret navigation uanset antallet af resultater"
"Popular Search Terms","Populære søgeudtryk"
"Popular search terms","Populære søgeudtryk"
"Relevance","Relevans"
"Required Fields","Skal udfyldes"
"Results","Resultater"
"Search","Søg"
"Search Settings","Indstillinger"
"Search Site","Søg i hele sitet"
"Search Terms","Søgeord"
"Search Type","Søgningstype"
"Search entire store here...","Søg efter varer her..."
"Search results for '%s'","Søgeresultat for '%s'"
"Search results for: '%s'","Søgeresultat for: '%s'"
"Subscribe to Feed","Tilmeld feed"
"There are no search terms available.","Der er ingen søgninger"
"Yes","Ja"
"You have to specify at least one search term","Du skal mindst angive et søgeord"
"Your search returns no results.","Vi fandt desværre ingen varer, som passer til dine søgekriterier."
"up to %s","op til %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
