"Cron (Scheduled Tasks) - all the times are in minutes","Cron (planlagte opgaver) - alle tider er minutter"
"Daily","Hver dag"
"Failure history lifetime","Levetid for fejlhistorik"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Sørg for at Web > Sikker og Usikker rod-URL's er eksplicit sat, for at der genereres korrekte URL's i cron-kørsler."
"Generate schedules every","Generer planlægning hver"
"History cleanup every","Rens historik hver"
"Invalid callback: %s::%s does not exist","Ugyldigt callback: %s::%s eksisterer ikke"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","For sent hvis ikke kørt inden for"
"Monthly","Hver måned"
"No callbacks found","Ingen callbacks fundet"
"Schedule ahead for","Planlæg fremad"
"Success history lifetime","Levetid for succeshistorik"
"Too late for the schedule","For sent for planen"
"Unable to save Cron expression","Kunne ikke gemme Cron-udtryk"
"Unknown error","Ukendt fejl"
"Weekly","Hver uge"
