"-- Please Select --","-- Vælg venligst --"
"Account Registration","Kontoregistrering"
"All fields of script types have to be filled.","Alle felter med script-typer skal udfyldes."
"Attributes","Egenskaber"
"Category View Optimization","Optimering af kategorivisning"
"Control Script","Kontrol-script"
"Conversion Page","Konverteringsside"
"Conversion Page URL","Konverteringsside-URL"
"Conversion Script","Konverterings-script"
"Enable","Aktiver"
"Google Optimizer Scripts","Google Optimizer scripts"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Installer scripts"
"Limit is 8 attributes only.","Grænsen er 8 egenskaber."
"Multi Address Checkout","Bestilling med flere adresser"
"One Page Checkout","Énsidesbestilling"
"Order Success (Multi Address Checkout)","Ordresucces (bestilling med flere adresser)"
"Order Success (One Page Checkout)","Ordresucces (énsidesbestilling)"
"Original Page","Originalside"
"Other","Andet"
"Page Type","Sidetype"
"Page View Optimization","Optimering af sidevisning"
"Please copy and paste this value to experiment edit form","Kopier denne tekst og indsæt i eksperimentformularen"
"Please select store view to see the URL","Vælg forretningsvisning for at se URL'en"
"Product View Optimization","Optimering af produktvisning"
"Scripts Install URL","Installerings-URL for scripts"
"Shopping Cart","Indkøbskurv"
"Tracking Script","Trackingscript"
"Use Default","Brug standard"
"Use Default Values","Brug standardværdier"
"Variant Page","Variantside"
