"Billing Information","Betalingsoplysninger"
"Change Payment Method","Skift betalingsform"
"Change Shipping Address","Skift leveringsadresse"
"Edit Shopping Cart","Rediger indkøbskurv"
"Email","Email"
"Incl. Tax","Inkl. moms"
"Items in Your Shopping Cart","Varer i kurven"
"No shipping method required.","Ingen leveringsmetode nødvendig."
"PayPal Account","PayPal-konto"
"PayPal Email","PayPal Email"
"Payment Method","Betalingsform"
"Place an Order","Opret en ordre"
"Please select a shipping method...","Vælg venligst leveringsform..."
"Price","Pris"
"Product Name","Produktnavn"
"Qty","Antal"
"Review Order","Godkend ordre"
"Shipping Address","Leveringsadresse"
"Shipping Information","Levering - detaljer"
"Shipping Method","Forsendelsesmetode"
"Sorry, no quotes are available for this order at this time.","Vi undskylder. Der kan ikke gives et prisoverslag for denne ordre på nuværende tidspunkt."
"Submitting order information...","Sender ordreinformation..."
"Subtotal","Subtotal"
"Update Shipping Method","Opdater leveringsform"
"You will be redirected to PayPal website when you place an order.","Du vi blive vidersendt til PayPal's website hvor du kan gennemføre din ordre."
"You will be redirected to Paypal in a few seconds.","Du bliver videresendt til Paypal om et par sekunder."
"Your billing address will be ignored and you will be redirected to PayPal website","Din betalingsadresse ignoreres og du omdirigeres til PayPals betalingsside."
