"Abandoned carts","Efterladte kurve"
"Action","Handling"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign med andre produkter"
"Add to Wishlist","Sæt på ønskeseddel"
"Applied Coupon","Anvendt kupon"
"Avg. approved rating","Gns. godkendt karakter"
"Avg. rating","Gns. karakter"
"Bestsellers","Bestsellere"
"Bought from wishlists","Købt fra ønskesedler"
"CSV","CSV"
"Carrier/Method","Fragtselskab/metode"
"Carts","Indkøbskurve"
"Coupons","Kuponer"
"Created at","Oprettet den"
"Customer","Kunde"
"Customer Name","Kundenavn"
"Customer Tags","Kundetags"
"Customers","Kunder"
"Customers Report","Kunderapport"
"Customers Reviews","Kunders bedømmelser"
"Customers Tags","Kunders tags"
"Customers by number of orders","Kunder efter antal af ordre"
"Customers by orders total","Kunder efter total ordre"
"Customers that have wishlist: %s%","Kunder med ønskeseddel: %s%"
"Day","Dag"
"Default Recently Compared Products count","Standardantal senest sammenlignede produkter"
"Default Recently Viewed Products count","Standardantal senest viste produkter"
"Detail","Beskrivelse"
"Discounts","Rabatter"
"Downloads","Downloads"
"Email","E-mail"
"Excel","Excel"
"First Name","Fornavn"
"Guest","Gæst"
"Hits","Hits"
"ID","ID"
"Invalid date specified","Ugyldig dato"
"Invoiced","Faktureret"
"Items Ordered","Bestilte varer (antal)"
"Items in Cart","Varer i kurv"
"Last Name","Efternavn"
"Last Review","Sidste bedømmelse"
"Link","Link"
"Low stock","Lav beholdning"
"Month","Måned"
"Most Viewed","Mest viste"
"Most viewed","Mest viste"
"Name","Navn"
"New Accounts","Nye konti"
"Number Added","Antal tilføjet"
"Number Fulfilled","Antal gennemført"
"Number Of Historical Uses","Antal gange brugt (historisk)"
"Number Of Reviews","Antal bedømmelser"
"Number Of Uses","Antal gange brugt"
"Number Purchased","Antal varer købt"
"Number Viewed","Antal visninger"
"Number of Items","Antal varer"
"Number of Ivoiced Orders","Antal fakturerede ordrer"
"Number of New Accounts","Antal nye konti"
"Number of Orders","Antal ordrer"
"Number of Refunded Orders","Antal refunderede ordrer"
"Number of Reviews","Antal bedømmelser"
"Number of Total Tags","Antal tags i alt"
"Number of Unique Tags","Antal unikke tags"
"Number of Views","Antal visninger"
"Number of items bought from a wishlist: %s","Antal varer købt fra en ønskeseddel: %s"
"Number of times deleted","Slettet (antal gange)"
"Number of times wishlists have been shared (emailed): %s","Antal gange ønskesedler er blevet delt (pr. e-mail): %s"
"Number of wishlist conversions: %s","Antal ønskeseddelskonverteringer: %s"
"Number of wishlist referrals: %s","Antal ønskesedler produktet står på: %s"
"Number of wishlists: %s","Antal ønskesedler: %s"
"Offline Refunded","Offline tilbagebetalt"
"Online Refunded","Online tilbagebetalt"
"Orders","Ordrer"
"Out of stock","Ikke på lager"
"Poducts Report","Produkter"
"Popular Tags","Populære tags"
"Popularity","Popularitet"
"Price","Pris"
"Product Name","Produktnavn"
"Product Reviews","Produktbedømmelser"
"Product Sku","Produktets varenummer"
"Product Tags","Produkt-tags"
"Products","Produkter"
"Products Report","Produkter"
"Products Reviews","Produkters bedømmelser"
"Products Sold","Products Sold"
"Products Tags","Produkters tags"
"Products in carts","Varer i indkøbskurve"
"Purchases","Køb"
"Quantity Ordered","Antal bestilt"
"Quantity of Items","Antal varer"
"Rate","Rate"
"Recently Compared Products","Senest sammenlignede varer"
"Recently Viewed Products","Senest viste varer"
"Recently Viewed/Compared Products","Seneste viste/sammenlignede produkter"
"Refunded","Tilbagebetalt"
"Reports","Rapporter"
"Results","Resultater"
"Revenue","Overskud"
"Review","Bedømmelse"
"Reviews","Bedømmelser"
"Reviews for %s","Anmeldelser af %s"
"Sales","Salg"
"Sales Report","Salg"
"Search Terms","Søgeudtryk"
"Shipping","Levering"
"Shopping Cart","Indkøbskurv"
"Show for Current","Vis for nuværende"
"Stock Qty","Lagerbeholdning"
"Submitted In","Indsendt fra"
"Submitted On","Indsendt d."
"Subtotal","Subtotal"
"Tag","Tag"
"Tag ""%s"" details","Detaljer for tag ""%s"""
"Tag Detail","Tag - detaljer"
"Tag Name","Navn"
"Tag use","Tag-anvendelse"
"Tags submited by %s","Tags oprettet af %s"
"Tags submitted to %s","Tags oprettet for %s"
"Tax","Moms"
"Tax Amount","Momsbeløb"
"Title","Titel"
"Total","Total"
"Total Invoiced","Totalt faktureret"
"Total Invoiced Captured","Total faktureret og hævet"
"Total Invoiced not Captured","Total faktureret, ikke hævet"
"Total Refunded","Total tilbagebetalt"
"Total Shipping","Total levering"
"Total Tags","Antal tags (total)"
"Total invoiced","Total faktureret"
"Total refunded","Total tilbagebetalt"
"Updated at","Opdateret"
"Visible In","Synlig i"
"Wishlist Report","Ønskesedler"
"Wishlist vs. Regular Order","Ønskeseddel vs. alm. ordre"
"Wishlists","Ønskesedler"
"Year","År"
"Your Recently Compared","Varer du senest har sammelignet"
"Your Recently Viewed","Varer du senest har set på"
