"ALL","ALLE"
"ANY","EN"
"Add","Tilføj"
"Apply","Giv"
"Description: %s","Beskrivelse: %s"
"Expire at: %s","Udløber ved: %s"
"FALSE","FALSK"
"If %s of these conditions are %s:","Hvis %s af nedenstående betingelser er %s:"
"Invalid discount amount.","Ugyldigt rabatbeløb."
"MATCHING ALL","MATCHER ALLE"
"MATCHING ANY","MATCHER ENHVER"
"NOT MATCHING ALL","MATCHER IKKE ALLE"
"NOT MATCHING ANY","MATCHER IKKE EN"
"Name: %s","Navn: %s"
"Open Chooser","Åben vælger"
"Perform following actions","Udfør da følgende handlinger:"
"Please choose a condition to add...","Vælg betingelse.."
"Please choose an action to add...","Vælg handling..."
"Remove","Fjern"
"Start at: %s","Starter ved: %s"
"TRUE","SAND"
"by","med"
"contains","indeholder"
"does not contain","indeholder ikke"
"equals or greater than","er lig med eller større end"
"equals or less than","er lig med eller mindre end"
"greater than","større end"
"is","er"
"is not","er ikke"
"is not one of","er ikke blandt"
"is one of","er blandt"
"less than","mindre end"
"to","til"
