"-- Please Select --","-- Vælg venligst --"
"Add New Class","Tilføj ny gruppe"
"Add New Tax Rate","Tilføj ny momssats"
"Add New Tax Rule","Tilføj ny momsregel"
"Apply Discount On Prices Including Tax","Beregn rabat på priser inkl. moms"
"Apply Tax After Discount","Beregn moms efter rabat"
"Apply Tax On","Beregn moms på"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Back","Tilbage"
"CSV","CSV"
"Calculation","Beregning"
"Catalog prices include tax","Katalogpriser inkluderer moms"
"Class Name","Navn"
"Code","Kode"
"Country","Land"
"Country/Region/Postal code combination","Kombination af land/region/postnummer"
"County","Region"
"Custom price if available","Tilpasset pris hvis tilgængelig"
"Customer Tax Class","Momsgruppe (kunder)"
"Customer Tax Class Information","Gruppe - detaljer"
"Customer Tax Classes","Momsgrupper (kunder)"
"Default Country","Standardland"
"Default Post Code","Standard-postnummer"
"Default State","Standardstat"
"Default Tax Origin Calculation","Standardberegning af momsoprindelse"
"Delete Class","Slet gruppe"
"Delete Rate","Slet momssats"
"Delete Rule","Slet regel"
"Display","Vis"
"Display Cart/Order Prices","Vis kurv/ordrepriser"
"Display Product Prices","Vis produktpriser"
"Display Shipping Prices","Vis leveringspriser"
"Display Zero Tax Subtotal","Vis moms-subtotal på nul"
"Display full tax summary","Vis komplet opsummering af moms"
"Edit Class","Rediger gruppe"
"Edit Class '%s'","Rediger gruppe '%s'"
"Edit Rule","Rediger regel"
"Edit Tax Rate","Rediger momssats"
"Error while deleting this class. Please try again later.","Fejl ved sletning af denne gruppe. Prøv igen senere."
"Error while deleting this rate. Incorrect rate ID","Fejl ved sletning af denne sats. Forkert sats-ID"
"Error while deleting this rate. Please try again later.","Fejl under sletning af valutakurs. Prøv venligst senere."
"Error while deleting this tax rule. Please try again later.","Fejl under sletning af momsregel. Prøv venligst igen senere."
"Error while saving this rate. Please try again later.","Kunne ikke gemme kursen. Prøv venligst senere."
"Error while saving this tax class. Class with the same name ","Fejl ved sletning af denne momsgruppe. Gruppe med det samme navn"
"Error while saving this tax class. Please try again later.","Fejl - kunne ikke gemme momsgruppe. Prøv venligst igen senere."
"Error while saving this tax rule. Please try again later.","Fejl - kunne ikke gemme momsreglen. Prøv venligst igen senere."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Fejl - kunne ikke gemme momsreglen. Denne kombination af produktmomsgruppe, kundemomsgruppe og momssats"
"Excl. Tax","Ekskl. moms"
"Excl. Tax:","Ekskl. moms:"
"Excluding tax","Eksklusiv moms"
"Export Tax Rates","Eksporter momssatser"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignoreret når 'Beregn moms efter rabat' er aktiveret"
"Import / Export Tax Rates","Importer/eksporter momssatser"
"Import Tax Rates","Importer momssatser"
"Inc. Tax","Inkl. moms"
"Incl. Tax","Inkl. moms"
"Incl. Tax:","Inkl. moms:"
"Including and excluding tax","Inklusiv og eksklusiv moms"
"Including tax","Inklusiv moms"
"Incorrect rate Data","Ugyldig data for sats"
"Invalid data for tax rate calculation","Momsberegning kunne ikke gennemføres"
"Invalid file format upload attempt","Ugyldigt filformat"
"Invalid file upload attempt","Filformatet understøttes ikke"
"Manage Customer Tax Classes","Kunde-momsgruppe"
"Manage Product Tax Classes","Produkt-momsgruppe"
"Manage Tax Rates","Momssatser"
"Manage Tax Rules","Momsregler"
"Manage Tax Zones & Rates","Momszoner og -satser"
"Name","Navn"
"New Class","Ny gruppe"
"New Rule","Ny regel"
"New Tax Rate","Ny momssats"
"None","Ingen"
"One of the country has invalid code.","En af landene har en ugyldig kode."
"Original price only","Kun originalpris"
"Please select Country","Vælg venligst et land"
"Please select County","Vælg venligst et amt."
"Please select State","Vælg en stat"
"Priority","Prioritet"
"Product Tax Class","Momsgruppe (produkter)"
"Product Tax Class Information","Gruppe - detaljer"
"Product Tax Classes","Momsgrupper (produkter)"
"Rate","Sats"
"Reset","Nulstil"
"Sales","Salg"
"Save Class","Gem gruppe"
"Save Rate","Gem momssats"
"Save Rule","Gem regel"
"Shipping prices include tax","Leveringspriser inkluderer moms"
"Sort Order","Sorteringsrækkefølge"
"State","Stat"
"State/Region","Stat/region"
"Tax","Moms"
"Tax Based On","Moms baseret på"
"Tax Class for Shipping","Momsklasse for levering"
"Tax Classes","Momsklasser"
"Tax Identifier","Moms-ID"
"Tax Rate","Momssats"
"Tax Rate Information","Momssats - detaljer"
"Tax Rule Information","Momsregel - detaljer"
"Tax Rules","Momsregler"
"Tax Section","Momssektion"
"Tax Titles","Momstitler"
"Tax class was successfully deleted","Momsgruppe er slettet"
"Tax class was successfully saved","Momsgruppe er gemt"
"Tax rate was successfully deleted","Momssats er slettet"
"Tax rate was successfully imported","Momssats blev importeret"
"Tax rate was successfully saved","Momssats er gemt"
"Tax rates at the same priority are added, others are compounded.","Momssatser med samme prioritet adderes, andre sammensættes."
"Tax rule was successfully deleted","Momsregel er slettet"
"Tax rule was successfully saved","Momsregel er gemt."
"This class no longer exists","Denne klasse findes ikke længere"
"This rule no longer exists","Denne regel eksisterer ikke længere"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Momsgruppe kunne ikke slettes. Den bruges i %d kundegrupper."
"You cannot delete this tax class as it is used for %d products.","Momsgruppe kunne ikke slettes. Den er i brug på %d produkter."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Momsgruppe kunne ikke slettes. Den bruges i momsreglerne. Slet venligst først de regler som anvender denne gruppe først og prøv så igen."
"Zip/Post Code","Postnummer"
