" was not delivered nor scanned","Blev ikke leveret eller skannet"
"1 Day Freight","1 dags fragt"
"2 Day Freight","2 dages fragt"
"2Day","2 dage"
"2nd Day Air","2. dag fly"
"2nd Day Air AM","2. dag fly AM"
"2nd Day Air AM Letter","2. dag fly AM brev"
"2nd Day Air Letter","2. dag fly brev"
"3 Day Freight","3 dages fragt"
"3 Day Select","3 dages valg"
"Access ID","Adgangs-ID"
"Access license number","Adgangslicensnummer"
"Account ID","Konto-ID"
"Account number","Kontonummer"
"Additional Protection Configuration Value","Ekstra beskyttelse konfigurationsværdi"
"Additional Protection Enabled","Ekstra beskyttelse aktiveret"
"Additional Protection Min Subtotal","Ekstra beskyttelse - min. subtotal"
"Additional Protection Value","Ekstra beskyttelse - værdi"
"Additional Protection Value Rounding Method","Ekstra beskyttelse - afrunding"
"All Services","Alle ydelser"
"Allowed methods","Tilladte metoder"
"Bound Printed Matter","Bundet tryksager"
"Business Service Center","Forretningsservicecenter"
"Calculate Handling Fee","Beregn håndteringsgebyr"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Kan ikke hente fragtpriser"
"Commercial","Kommerciel"
"Configuration","Konfiguration"
"Container","Beholder"
"Customer Packaging","Tilpasset pakning"
"DHL","DHL"
"Default Package Height","Standardpakkehøjde"
"Default Package Length","Standardpakkelængde"
"Default Package Width","Standardpakkebredde"
"Delivered","Leveret"
"Destination type","Destinationstype"
"Displayed Error Message","Vist fejlmeddelse"
"Domestic Shipment Days","Indenrigs leveringstid"
"Drop Box","Postbox"
"Dropoff","Aflevering"
"Empty response","Tomt svar"
"Enable Negotiated Rates","Enable Negotiated Rates"
"Enabled","Aktiv"
"Error #%s : %s (%s)","Fejl #%s : %s (%s)"
"Error #%s: %s","Fejl #%s: %s"
"Europe First Priority","Europa First Priority"
"Express","Express"
"Express 10:30 AM","Express 10:30"
"Express Mail","Express Mail"
"Express Saturday","Express Lørdag"
"Express Saver","Express Saver"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg kasse"
"FedEx 25kg Box","FedEx 25kg kasse"
"FedEx Box","FedEx kasse"
"FedEx Envelope","FedEx konvolut"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx rør"
"First Overnight","First Overnight"
"First-Class","First-Class"
"Flat","Fast"
"Flat-Rate Box","Flat-rate kasse"
"Flat-Rate Envelope","Flat-rate konvolut"
"Free method","Gratis metode"
"Free shipping with minimum order amount","Fri levering ved min. ordre beløb"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Ground","Landjord"
"Ground Commercial","Landjord erhverv"
"Ground Residential","Landjord privat"
"Handling Applied","Håndtering anvendt"
"Handling fee","Håndteringsgebyr"
"Home Delivery","Omdeling"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Priority","International Priority"
"International Shipment Days","International leveringstid"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid DHL XML code for type %s: %s","Ugyldig DHL XML kode for type %s: %s"
"Invalid DHL XML code type: %s","Ugyldig DHL XML kodetype: %s"
"Invalid FedEx XML code for type %s: %s","Ugyldig FedEx XML kode for type %s: %s"
"Invalid FedEx XML code type: %s","Ugyldig FedEx XML kodetype: %s"
"Invalid UPS CGI code for type %s: %s","Ugyldig UPS CGI kode for type %s: %s"
"Invalid UPS CGI code type: %s","Ugyldig UPS CGI kodetype: %s"
"Invalid USPS XML code for type %s: %s","Ugyldig USPS XML kode for type %s: %s"
"Invalid USPS XML code type: %s","Ugyldig USPS XML kodetype: %s"
"Kilograms","Kilogram"
"Large","Stor"
"Letter","Brev"
"Library","Bibliotek"
"Machinable","Maskinarbejdelig"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maks pakke vægt (Kontakt venligst dit fragtselskab for maksimal vægt tilladt)"
"Media Mail","Medie mail"
"Minimum order amount for free shipping","Min. ordrebeløb for fri levering"
"Next Afternoon","Næste eftermiddag"
"Next Day Air","Næste dag fly"
"Next Day Air Early AM","Næste dag fly tidlig AM"
"Next Day Air Early AM Letter","Næste dag fly tidlig AM brev"
"Next Day Air Intra (Puerto Rico)","Næste dag fly intra (Puerto Rico)"
"Next Day Air Letter","Næste dag fly brev"
"Next Day Air Saver","Næste dag fly økonomi"
"Next Day Air Saver Letter","Næste dag fly økonomibrev"
"No","Nej"
"Non-rectangular","Ikke-rektangulære"
"Order","Ordre"
"Origin of the shipment","Oprindelse af forsendelse"
"Oversize","Oversize"
"Package","Pakke"
"Package Description","Pakkebeskrivelse"
"Packaging","Pakning"
"Parcel","Pakke"
"Parcel Post","Pakkepost"
"Password","Kodeord"
"Pickup method","Afhentningsmetode"
"Please enter the package weight","Indtast venligst vægten på pakken"
"Please make sure to use only digits here. No dashes are allowed.","Brug kun tal her. Ingen bindestreger."
"Pounds","Pund"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Receiver","Modtager"
"Rectangular","Rektangulære"
"Regular","Almindelig"
"Regular Pickup","Almindelig afhentning"
"Request Courier","Efterspørg fragtselskab"
"Residential","Privat"
"Residential Delivery","Privatlevering"
"Response is in the wrong format","Forkert format på svar"
"Round","Rund"
"Second Day Service","2. dag service"
"Sender","Afsender"
"Ship to Specific countries","Send til specifikke lande"
"Ship to applicable countries","Forsendelse til gældende lande"
"Shipment Contains Hazardous Materials","Leveringen indeholder farlige materialer"
"Shipment Dutiable","Toldpligtig levering"
"Shipment Duty Payment Type","Betalingsmetode for leveringstold"
"Shipment is not available.","Forsendelse er ikke tilgængelig."
"Shipment picked up","Forsendelse afhentet"
"Shipment type","Forsendelsestype"
"Shipper Number","Shipper Number"
"Shipping key","Forsendelsesnøgle"
"Shipping key (International)","Forsendelsesnøgle (international)"
"Show method if not applicable","Hvis ikke gældende vis metode"
"Size","Størrelse"
"Sort order","Sorteringsrækkefølge"
"Standard Overnight","Standard Overnight"
"Station","Station"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal med rabat"
"There is no available method for selected shipping address.","Der er ingen tilgængelig metode for den valgte modtageradresse."
"Third Party","Tredjepart"
"Title","Titel"
"To lower","Til små bogstaver"
"To upper","Til store bogstaver"
"Tracking XML URL","Tracking XML URL"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS type","UPS type"
"USPS","USPS"
"Unable to retrieve tracking","Kan ikke hente tracking"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Ukendt fejl"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Bruges kun når 'Ekstra beskyttelse - værdi' er sat til 'Konfiguration'. Må kun indeholde et numerisk beløb."
