"* Required Fields","* Υποχρεωτικά Πεδία"
"A new password was sent","Ένας νέος κωδικός απαστάλη"
"Account Dashboard","Πίνακας Λογαριασμού"
"Account Information","Πληροφοριες Λογαριασμου"
"Account Sharing Options","Επιλογές Διαμοιρασμού Λογαριασμού"
"Account information was successfully saved","Οι πληροφορίες του λογαριασμού αποθηκεύθηκαν επιτυχώς"
"Action","Ενέργεια"
"Add New Address","Προσθήκη Νέας Διεύθυνσης"
"Add New Customer","Προσθήκη Νέου Πελάτη"
"Add New Customer Group","Προσθήκη Νέας Ομάδας Πελατών"
"Added From","Προστέθηκε Από"
"Additional Address Entries","Επιπλέον Στοιχεία Διεύθυνσης"
"Address","Διεύθυνση"
"Address Book","Κατάλογος Διευθύνσεων"
"Address Information","Πληροφορίες Διεύθυνσης"
"Addresses","Διευθύνσεις"
"Admin","Διαχειρ."
"All","Όλα"
"All Store Views","Όλες οι Όψεις Καταστήματος"
"All countries","Όλες οι χώρες"
"Always optional","Always optional"
"Amount","Ποσό"
"Approved","Εγκρίθηκε"
"Are you sure that you want to remove this item?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε αυτό το είδος;"
"Are you sure you want to cancel adding of this address?","Είστε βέβαιοι πως θέλετε να ακυρώσετε τη προσθήκη αυτής της διεύθυνσης;"
"Are you sure you want to delete this address?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτή τη διεύθυνση;"
"Are you sure?","Είστε σίγουροι;"
"Array of Entity collections is expected","Αναμένεται Πίνακας συλλογής Οντοτήτων"
"Assign a customer group","Ανάθεση ομάδας πελατών"
"Average Sale","Μέσος όρος Πωλήσεων"
"Back","Πίσω"
"Back to Login","Πίσω στη Σύνδεση"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Πληροφορίες Χρέωσης"
"Bought From","Αγοράστηκε Από"
