"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Σύνδεσμος</a>"
"Access denied to destination folder ""%s""","Δεν επιτρέπεται η πρόσβαση στο φάκελο προορισμού ""%s"""
"Could not load file: ""%s""","Το αρχείο: ""%s"" δε μπόρεσε να φορτωθεί"
"Could not save file: %s","Το αρχείο: %s δε μπόρεσε να αποθηκευτεί"
"Declared adapter %s not found","Ο δηλωμένος προσαρμογέας %s δε βρέθηκε"
"Destination folder ""%s"" does not exist or not access to create","Ο φάκελος προορισμού ""%s"" δεν υπάρχει ή δεν επιτρέπεται η πρόσβαση για δημιουργία"
"Destination folder ""%s"" is not a directory","Ο φάκελος προορισμού ""%s"" δεν είναι κατάλογος"
"Destination folder ""%s"" is not a writeable","Ο φάκελος προορισμού ""%s"" δεν είναι εγγράψιμος"
"Done","Ολοκληρώθηκε"
"Dry run set, stopping execution","Dry run set, stopping execution"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","Error field mapping! Fields list for mapping is not defined"
"Error occured during file opening: ""%s""","Προκλήθηκε σφάλμα κατα το άνοιγμα του αρχείου: ""%s"""
"File ""%s"" don't exist","Το αρχείο ""%s"" δεν υπάρχει"
"Found %d rows","Βρέθηκαν %d γραμμές"
"Less than a minute","Λιγότερο από λεπτό"
"Loaded successfully: ""%s""","Φορτώθηκε επιτυχώς: ""%s"""
"Memory Used: %s","Μνημη που χρησιμοποιείται: %s"
"Method ""%s"" not defined in adapter %s","Η Μέθοδος ""%s"" δεν έχει οριστεί στον προσαρμογέα %s"
"Please declare ""adapter"" and ""method"" node first","Παρακαλούμε δηλώστε πρώτα το ""προσαρμογέα"" και τη ""μέθοδο"" του κόμβου"
"Processed records: %s","Επεξεργασμένες εγγραφές: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Αποθηκεύτηκε επιτυχώς: ""%s"" [%d byte(s)]"
"Sheet 1","Φύλλο Εργασίας 1"
"Skip undefined row","Προσπέραση μη ορισμένης γραμμής"
"Starting %s :: %s","Εκκίνηση %s :: %s"
"Total records: %s","Σύνολο εγγραφών: %s"
"hour","ώρα"
"hours","ώρες"
"minute","λεπτό"
"minutes","λεπτά"
