"%s was successfully added to your shopping cart.","%s se agreg&oacute; a tu Carrito de compras."
"&laquo; Back to Billing Information","&laquo; Volver a tu Informaci&oacute;n de Facturaci&oacute;n"
"&laquo; Back to Select Addresses","&laquo; Volver a seleccionar las Direcciones"
"&laquo; Back to Shopping Cart","&laquo; Volver a tu Carrito"
"* Required Fields","* Campos requeridos"
"Add New Address","Agregar nueva direcci&oacute;n"
"Add New Condition","Agregar nueva condici&oacute;n"
"Add to Cart","Agregar a Mi Carrito"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Address","Direcci&oacute;n"
"Address %s of %s","Direcci&oacute;n %s de %s"
"After adding a product redirect to shopping cart","Luego de agregar un producto redirigir al Carrito de Compras"
"Allow Guest Checkout","Permitir a los visitantes Finalizar su pedido (Checkout)"
"Already registered?","Se encuentra registrado?"
"An error occurred in the process of payment","Ocurri&oacute; un error al procesar el pago"
"Apply Coupon","Aplicar Cup&oacute;n"
"Are you sure you would like to remove this item from the shopping cart?","Se eliminar&a el producto del Carrito de compras, desea continuar?"
"Back","Volver"
"Back to Shipping Information","Volver a los Datos de Env&iacute;o"
"Based on your selection, you may be interested in the following items:","De acuerdo a los productos seleccionados, tal vez te interesen los siguientes:"
"Billing Address","Direcci&oacute;n de Facturaci&oacute;n"
"Billing Information","Informaci&oacute;n de Facturaci&oacute;n"
"Billing Information - %s","Informaci&oacute;n de Facturaci&oacute;n - %s"
"Can not add item to shopping cart","No es posible agregar el producto al Carrito"
"Can not apply coupon code.","No es posible aplicar el c&oacute;digo del cup&oacute;n"
"Can't open overview page","No es posible abrir la p&aacute;gina de vista general"
"Cancel Coupon","Cancelar Cup&oacute;n"
"Cannot remove item","No es posible eliminar el item"
"Cannot update shopping cart","No es posible actualizar el Carrito"
"Card Verification Number Visual Reference","Referencia visual de verificaci&oacute;n del N&uacute;mero de tarjeta de Cr&eacute;dito"
"Cart Subtotal:","Subtotal del Carrito:"
"Change","Cambiar"
"Change Billing Address","Cambiar direcci&oacute;n de Facturaci&oacute;n"
"Checkbox text","Texto del Checkbox"
"Checkout","Finalizar pedido"
"Checkout Conditions","Condiciones para Finalizar Pedido"
"Checkout Options","Opciones para Finalizar Pedido"
"Checkout Section","Secci&oacute; para Finalizar Pedido"
"Checkout Terms and Conditions","T&eacute;rminos y Condiciones para Finalizar Pedido"
"Checkout as Guest","Finalizar Pedido como Visitante"
"Checkout as a Guest or Register","Finalizar Pedido como Visitante o Usuario Registrado"
"Checkout method","M&eacute;todo para Finalizar Pedido"
"Checkout with Multiple Addresses","Finalizar Pedido con m&uacute;ltiples direcciones"
"City","Ciudad"
