"%s Item(s)","%s Item(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy;2009 The NetBoutique. Todos los derechos reservados."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","Acerca del calendario"
"Click <a href=""%s"">here</a> if nothing has happened","Haga clic <a href=""%s"">aqu&iacute;</a> si no sucedi&oacute; nada"
"Close","Cerrar"
"Close Window","Cerrar ventana"
"DHTML Date/Time Selector","Selector DHTML de Fecha/Hora"
"Date selection:","Date selection:"
"Default Description","Default Description"
"Default welcome msg!","Default welcome msg!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","Para la &uacute;ltima versi&oacute;n visite: %s"
"Go Today","Ir al d&iacute;a de hoy"
"Help Us to Keep Magento Healthy","Ayudanos a mantener Magento actualizado"
"Interface Language","Interface Language"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Next Page","P&aacute;gina siguiente"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","P&aacute;gina:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","P&aacute;gina anterior"
"Redirecting...","Redireccionando..."
"Report All Bugs","Reporte todos los errores"
"Select Store","Select Store"
"Select date","Select date"
"Show","Mostrar"
"Skip to Footer","Ir al pie de p&aacute;gina"
"Skip to Left Column","Ir a la columna izquierda"
"Skip to Main Content","Ir al contenido principal"
"Skip to Right Column","Ir a la columna derecha"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"Time selection:","Time selection:"
"Time:","Hora:"
"Welcome, %s!","Bienvenido/a, %s!"
"You're currently on:","You're currently on:"
"Your Language","Your Language"
"Your Language:","Your Language:"
"per page","por p&aacute;gina"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
