"Alert Email Sender","Emisor de la Alerta"
"Alert subscription was deleted successfully","La suscripci&oacute;n al aviso ha sido eliminada exitosamente."
"Alert subscription was saved successfully","La suscripci&oacute;n al aviso ha sido guardada exitosamente."
"Allow alert when product comes back in stock","Permitir avisos cuando el producto vuelva a estar en stock"
"Allow alert when product price changes","Permitir avisos cuando los precios de productos cambien"
"Click here not to receive alerts for this product","Haga clic aqu&iacute; para no recibir avisos para este producto."
"Error Email Recipient","Destinatario del e-mail de error"
"Error Email Sender","Emisor del e-mail de error"
"Error Email Template","Plantilla de E-mail de Error"
"Frequency","Frecuencia"
"Not enough parameters","No posee los par&aacute;metros suficientes"
"Please try again later","Por favor intente nuevamente en unos minutos"
"Price alert Email Template","Price alert Email Template"
"Price:","Precio:"
"Product Alerts","Aviso de Productos"
"Product Alerts Run Settings","Configuraci&oacute;n de Aviso de Productos"
"Product alerts Cron error","Error en tarea Cron para aviso de Productos"
"Product not found","Producto no encontrado"
"Product price alert","Aviso de Precio de Producto"
"Product stock alert","Aviso de Stock de Producto"
"Sign up for price alert","Inscr&iacute;base para recibir avisos de precios"
"Sign up to get notified when this product is back in stock","Sign up to get notified when this product is back in stock"
"Special price:","Precio Especial:"
"Start Time","Hora inicio"
"Stock alert Email Template","Stock alert Email Template"
"Unsubscribe from all price alerts","Unsubscribe from all price alerts"
"Unsubscribe from all stock alerts","Unsubscribe from all stock alerts"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:"
"You will no longer receive price alerts for this product","You will no longer receive price alerts for this product"
"You will no longer receive stock alerts","You will no longer receive stock alerts"
"You will no longer receive stock alerts for this product","You will no longer receive stock alerts for this product"
