"--Select--","--Selección--"
"Add New Option","Añadir Nueva Opción"
"Add Selection","Añadir Selección"
"As low as","Tan bajo como"
"Bundle Items","Paquete de Artículos"
"Bundle Product","Paquete de Productos"
"Buy %1$s with %2$s discount each","Compre %1$s con el %2$s de descuento c/u"
"Checkbox","Casilla de Selección"
"Choose a selection...","Escoja una selección..."
"Close","Cerrar"
"Default","Defecto"
"Default Qty","Cant por Defecto"
"Default Title","Título por Defecto"
"Drop-down","Desplegable"
"Dynamic","Dinámico"
"Excl. Tax","Sin Impuesto"
"Fixed","Fijo"
"From","De"
"From:","De:"
"Gift Message","Mensaje del Regalo"
"Incl. Tax","Incluido Impuesto"
"Input Type","Tipo de ingreso"
"Is Required","Es Obligatorio"
"Message:","Mensaje:"
"Multiple Select","Selección Múltiple"
"N/A","N/A"
"No options of this product are available.","No hay opciones disponibles para este producto"
"None","Ninguno"
"Percent","Porcentaje"
"Percent Discount","Porcentaje de Descuento"
"Please enter search conditions to view products.","Por favor ingrese condiciones de búsqueda para ver productos."
"Please select options for product.","Por favor seleccione opciones para el producto."
"Please select products to add","Por favor seleccione productos para añadir"
"Please specify product option(s)","Por favor especifique opciones del producto"
"Position","Posición"
"Price Range","Rango de Precios"
"Price Type","Tipo de Precios"
"Price as configured","Precio configurado"
"Qty:","Cant:"
"Radio Buttons","Botones Radio"
"Required options not selected.","Opción requerida no seleccionada."
"Selected required options not available.","Opciones seleccionadas no disponibles."
"Separately","Separadamente"
"Ship Bundle Items","Comprar Paquete de Artículos"
"Shipment","Despacho"
"Store View Title","Título de Vista de Tienda"
"There is no defined renderer for ""%s"" option type","No se ha definido el renderizador para el tipo de opción ""%s"" "
"This product is also part of bundle(s)","Este producto es parte de un paquete"
"To","A"
"To:","A:"
"Together","Juntos"
"User Defined Qty","Cant. Definida por el Usuario"
