"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl impuesto."
"%s - %s","%s - %s"
"%s Item(s)","%s Artículo(s)"
"(Copy data from: %s)","(Copiar datos de: %s)"
"(Will make search for the query above return results for this search.)","(Hará búsqueda de la consulta anterior resultados de retorno para esta búsqueda.)"
"* Required Fields","* Campos Obligatorios"
"-- Please Select --","-- Por favor Seleccione --"
"A name is required","Se requiere un nombre"
"ALL GROUPS","TODOS LOS GRUPOS"
"AM","AM"
"Action","Acción"
"Add Attribute","Añadir Atributo"
"Add Design Change","Añadir Cambio de Diseño"
"Add Group","Añadir Grupo"
"Add Items to Cart","Añadir Artículos al Carro"
"Add New","Añadir Nuevo"
"Add New Attribute","Añadir Nuevo Atributo"
"Add New Attribute Set","Añadir Nuevo Conjunto de Atributos"
"Add New Group","Añadir Nuevo Grupo"
"Add New Images","Añadir Nueva Imagenes"
"Add New Option","Añadir Nueva Opción"
"Add New Row","Añadir Nueva Fila"
"Add New Search Term","Añadir Nuevo Termino de Busqueda"
"Add New Set","Añadir Nuevo Conjunto"
"Add Option","Añadir Opcion"
"Add Product","Añadir Producto"
"Add Product To Websites","Añadir Producto a Sitio Web"
"Add Root Category","Añadir Categoria Raiz"
"Add Subcategory","Añadir Subcategoria"
"Add Tax","Añadir Impuesto"
"Add Tier","Añadir Nivel"
"Add to Cart","Añadir al Carro"
"Add to Compare","Añadir a Comparar"
"Add to My Wishlist","Añadir a Mi Lista de deseos"
"Add to Wishlist","Añadir a Lista de deseos"
"Additional Information","Información Adicional"
"All","Todos"
"All Product Types","Todos los Tipos de Productos"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos los productos de este conjunto serán borrados! ¿Seguro que quieres borrar este conjunto de atributos?"
"Allow HTML-tags on Front-end","Permitir HTML-tags en Front-end"
"Allowed File Extensions","Permitir Extenciones de Archivo"
"Allowed file extensions to upload","Permitir extenciones de archivo a subir"
"Amount","Cantidad"
"Apply To","Aplica A"
"Apply To Configurable/Grouped Product","Aplica A Productos Configurable/Agrupados"
"Approved","Aprobado"
"Are you sure you want to delete this category?","¿Usted esta seguro que quieres eliminar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","¿Usted esta seguro de que quieres eliminar todos los productos de su comparación?"
"Are you sure you would like to remove this item from the compare products?","¿Usted esta seguro de que quieres eliminar este elemento de los productos comparar?"
"Are you sure?","¿Usted esta seguro?"
"As low as:","As low as:"
"Assign","Asignar"
"Assign product link","Asignar enlace del producto"
"Assign product to category","Asignar producto a la categoría"
"Assigned Products","Productos Asignados"
"Associated Products","Productos Asociados"
"Attrib. Set Name","Nombre del Atributo Establecido"
"Attribute Code","Atributo Código"
"Attribute Information","Atributo Información"
"Attribute Label","Atributo Etiqueta"
"Attribute Model","Atributo Modelo"
"Attribute Name:","Atributo Nombre:"
"Attribute Properties","Atributo Propiedades"
"Attribute Set","Attribute Conjunto"
"Attribute group with the ""/name/"" name already exists","Atributo grupo con el nombre ""/name/"" ya existe"
"Attribute model not defined","Atributo modelo no definido"
"Attribute with the same code already exists","Atributo con el mismo código ya existe"
"Attributes","Atributos"
"Attribute names can be specified per store.","Atributos nombres pueden ser especificados por tienda."
"Autogenerate","Autogenerar"
"Availability","Disponibilidad"
"Availability: In stock.","Disponibilidad: En existencia."
"Availability: Out of stock.","Disponibilidad: Sin existencia."
"Back","Atras"
"Backend Model","Backend Modelo"
"Backend Table","Backend Tabla"
"Backend Table Title","Backend Titulo de Tabla"
"Backorders","Pedidos Pendientes"
"Base directory to upload image file is not specified","Directorio base para cargar archivos de imagen no se especifica"
"Based On","Based On"
"Best Value","Mejor Valoración"
"Block after Info Column","Bloquear después columna de información"
"Bottom/Left","Boton/Izquierda"
"Bottom/Right","Boton/Derecha"
"Browse By","Buscar Por"
"Buy %1$s for %2$s","Compra %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compra %1$s por %2$s (%3$s incl. impuesto) c/u"
"Buy %1$s for %2$s each","Compra %1$s por %2$s c/u"
"Can be used only with catalog input type Dropdown","Sólo se puede utilizar con el tipo de entrada de catálogo desplegable"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Sólo se puede utilizar con el tipo de entrada de catálogo desplegable, Selección Múltiple y Precio"
"Can't create image.","No se puede crear la imagen."
"Cannot create writeable directory '%s'","No se puede crear directorio de escritura '%s'"
"Cart Item Attribute","Compras Articulo Atributo"
"Catalog","Catalogo"
"Catalog Input Type for Store Owner","Catálogo Tipo de Entrada para el Propietario de la Tienda"
"Catalog Price Scope","Catalogo Precio Alcance"
"Catalog Section","Catalogo Sección"
"Catalog, Search","Catalogo, Busqueda"
"Categories","Categorias"
