"%s and greater","%s y una mayor"
"Advanced Search","Búsqueda Avanzada"
"All","Todos"
"Applies for ""Like"" Search type only","Aplicar ""Me Gusta" para Tipo de búsqueda solamente"
"Apply Layered Navigation if search results are less than","Aplicar en capas de navegación si los resultados de búsqueda son menos"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Configuración de atributos relacionados con el cambio del Índice de Búsqueda. Por favor, ejecute <a href=""%s"">Reconstruir Índice de Búsqueda </a>"
"Autogenerated site map","Autogenerado mapa del sitio"
"Catalog Advanced Search","Catálogo Búsqueda Avanzada"
"Catalog Search","Catálogo de Búsqueda"
"Don't see what you're looking for?","¿No encuentra lo que está buscando?"
"Go","Ir"
"Go to Home Page","Ir a Inicio"
"Grid","Cuadricula"
"Home","Inicio"
"List","Lista"
"Maximum Query Length","Longitud Máxima de Consultas"
"Maximum Query Words Count","Conteo Máximo de Palabras en la Consultas"
"Maximum Search query  length is %s. Your query was cut.","Longitud máxima de consulta de búsqueda es de %s. Su petición fue cortada."
"Minimal Query Length","Longitud mínima de consultas"
"Modify your search","Modifique su búsqueda"
"No","No"
"No items were found using the following search criteria.","No se encontraron artículos utilizando los siguientes criterios de búsqueda."
"Please enter ""0"" to enable layered navigation for any number of results","Por favor, ingrese ""0"" para permitir la navegación por capas para cualquier número de resultados"
"Popular Search Terms","Lo Más Buscado"
"Popular search terms","Lo más buscado"
"Relevance","Relevante"
"Required Fields","Archivos Requeridos"
"Results","Resultados"
"Search","Búsqueda"
"Search Settings","Opciones de Búsqueda"
"Search Site","Buscar en el Sitio"
"Search Terms","Terminos de Busqueda"
"Search Type","Tipo de Busqueda"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for '%s'","Buscar resultados para'%s'"
"Search results for: '%s'","Buscar resultados para: '%s'"
"Subscribe to Feed","Suscribirse a los Feed"
"There are no search terms available.","No existen términos de búsqueda disponibles."
"Yes","Si"
"You have to specify at least one search term","Tiene que especificar al menos un término de búsqueda"
"Your search returns no results.","Su búsqueda no ha devuelto resultados."
"up to %s","up to %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d articulos(s)</strong> han sido encontrados usando el siguiente criterio de búsqueda"
"Is product available for purchase with Google Checkout","Producto disponible para pagar mediante Google Checkout"
"Advanced Search","Búsqueda Avanzada"
"Search Terms","Términos de Búsqueda"
"Popular Search Terms","Lo Más Buscado"
"There are no search terms available.","No existen términos de búsqueda disponibles."
