"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Enlace</a>"
"Access denied to destination folder ""%s""","Acceso denegado a la carpeta de destino ""%s"""
"Could not load file: ""%s""","No se puede cargar el archivo: ""%s"""
"Could not save file: %s","No se puede grabar el archivo: %s"
"Declared adapter %s not found","Adaptador declarado %s no se encuentra"
"Destination folder ""%s"" does not exist or not access to create","Carpeda de Destino ""%s"" no existe o no se permite crear"
"Destination folder ""%s"" is not a directory","Carpeta Destino ""%s"" no es un directorio"
"Destination folder ""%s"" is not a writeable","Carpeta Destino ""%s"" no tiene permisos de escritura"
"Done","Hecho"
"Dry run set, stopping execution","Configuración Simulada, detener la ejecución"
"ETA: %s","ETA: %s"
"Error field mapping! Fields list for mapping is not defined","¡Error mapeando los archivos! La lista de archivos a mapearse no está definida"
"Error occured during file opening: ""%s""","Error ocurrido al abrir el archivo: ""%s"""
"File ""%s"" don't exist","Archivo ""%s"" no existe"
"Found %d rows","Encontradas %d filas"
"Less than a minute","Menos de un minuto"
"Loaded successfully: ""%s""","Cargado correctamente: ""%s"""
"Memory Used: %s","Memoria Usada: %s"
"Method ""%s"" not defined in adapter %s","Método ""%s"" no está definido en el adaptador %s"
"Please declare ""adapter"" and ""method"" node first","Por favor declarar nodo ""adaptador"" y ""método"" primero"
"Processed records: %s","Procesando registros: %s"
"Saved successfully: ""%s"" [%d byte(s)]","Grabados correctamente: ""%s"" [%d byte(s)]"
"Sheet 1","Hoja 1"
"Skip undefined row","Saltar filas indefinidas"
"Starting %s :: %s","Iniciando %s :: %s"
"Total records: %s","Total de registros: %s"
"hour","hora"
"hours","horas"
"minute","minuto"
"minutes","minutos"
