"Attempt to add an invalid object","Intentando añadir un objeto incorrecto"
"Attribute '%s' used in configurable products.","Attribute '%s' used in configurable products."
"Attribute set with the ""%s"" name already exists","Attribute set with the ""%s"" name already exists"
"Attribute used in configurable products.","Atributo utilizado en productos configurables."
"Attribute with the same code","Atributo con el mismo código"
"Data integrity: No header row found for attribute","Integridad de datos: No se encontró cabecera para el atributo"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Default option value is not defined","La opción por defecto no está defedinida"
"EAV types and attributes","EAV tipos y atributos"
"Entity collection expected","Coleccion de entidad esperada"
"Entity collections expected","Colecciones de entidad esperada"
"Entity is not initialized","Entidad no inicializada"
"Failed to load node %s from config.","Error al cargar el nodo %s de config."
"Frontend label is not defined","La etiqueta de frontend no está definida"
"Invalid alias, already exists in joined attributes","Alias invalido, ya existe en atributos unidos"
"Invalid attribute name: %s","Nombre de atributo invalido: %s"
"Invalid attribute requested: %s","Petición de atributo invalido: %s"
"Invalid attribute type","Tipo de atributo invalido"
"Invalid character encountered in increment ID: %s","Caracter invalido encontrado en el incremento de ID: %s"
"Invalid data object key","Clave de datos de objeto inválida"
"Invalid entity specified","Entidad invalida especificada"
"Invalid entity supplied","Entidad invalida suministrada"
"Invalid entity supplied: %s","Entidad invalida suministrada: %s"
"Invalid entity type","Tipo de Entidad invalido"
"Invalid entity_id, skipping the record","entity_id invalido, omitiendo el registro"
"Invalid entity_type specified: %s","entity_type especificado invalido: %s"
"Invalid foreign key","Clave foranea invalida"
"Invalid joined fields","Campos combinados invalidos"
"Invalid store specified","Tienda especificada invalida"
"Joined field or attribute expression with this alias is already declared","La unión del campo o atributo de expresión con este alias ya está declarada"
"Joined field with this alias (%s) is already declared","La unión del campo con este alias (%s) ya está declarada"
"Joined field with this alias is already declared","La unión del campo con el alias ya está declarada"
"Loaded %d records","Cargado %d registros"
"No","No"
"No options found in config node %s","No se encuentran opciones en la configuración del nodo %s"
"Problem loading a record, aborting. Error: %s","Problema al cargar un registro, abortando. Error: %s"
"Problem loading the collection, aborting. Error: %s","Problema al cargar la colección, abortando. Error: %s"
"Problem saving a record, aborting. Error: ","Problema al guardar un registro, abortando. Error: "
"Problem saving the collection, aborting. Error: %s","Problema al guardar la colección, abortando. Error: %s"
"Saved ","Guardado "
"Scope must not be changed, because the attribute is used in configurable products.","Ámbito de aplicación no debe ser cambiado, porque el atributo se utiliza en productos configurables."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","El código atributo '%s' está reservado por el sistema. Por favor, intente otro código atributo."
"Unknown parameter","Parámetro desconocido"
"Valid store_id is expected!","¡Se espera un store_id válido!"
"Value of attribute ""%s"" must be unique","Valor de atributo ""%s"" debe ser único"
"Wrong attribute ID","ID de atributo incorrecto"
"Wrong attribute group ID","ID de grupo de atributos erróneo"
"Wrong attribute set ID","ID de conjunto de atributos erroneo"
"Wrong entity ID","ID de entidad erróneo"
"Yes","Si"
