"--Please Select--","--Por favor Seleccione--"
"<label>Make Check payable to:</label> %s","<label>Haga el Cheque a Nombre de:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Haga el Cheque a Nombre de</label>: %s"
"Automatically invoice all items","Facturar automáticamente todos los artículos"
"Can not configuration for payment method with code: %s","No se puede configuración para el método de pago con código: %s"
"Can not retrieve payment info model object.","No se puede recuperar el pago objeto info modelo."
"Can not retrieve payment method instance","No se puede recuperar instancia método de pago"
"Can not retrieve payment method model object.","No se puede recuperar el pago objeto modelo de método."
"Card Verification Number","Número de Verificación de la Tarjeta"
"Check / Money order","Check / Money order"
"Credit Card Number","Número Tarjeta de Crédito"
"Credit Card Number: %s","Número Tarjeta de Crédito: %s"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Tarjeta de Crédito"
"Credit Card Type: %s","Tipo de Tarjeta de Crédito: %s"
"Credit Card Types","Tipos de Tarjeta de Crédito"
"Credit Card Verification","Verificación Tarjeta de Crédito"
"Enabled","Enabled"
"Expiration Date","Fecha de Expiración"
"Expiration Date: %s/%s","Fecha de Expiración: %s/%s"
"Make Check payable to","Haga el cheque a nombre de"
"Make Check payable to: %s","Haga el cheque a nombre de: %s"
"Maximum Order Total","Maximo Total del pedido"
"Minimum Order Total","Mínimo Total del pedido"
"Month","Mes"
"Name on Card","Titular de Tarjeta"
"Name on the Card: %s","Titular de la Tarjeta: %s"
"New order status","Nuevo estado del pedido"
"Payment Methods","Formas de Pago"
"Payment Methods Section","Sección Formas de Pago"
"Payment from Specific countries","Pago de los países especificos"
"Payment from applicable countries","Pago de los países aplicables"
"Purchase Order Number","Orden de Compra Número"
"Purchase Order Number: %s","Orden de Compra Número: %s"
"Purchase order","Orden de compra"
"Saved CC","Guardar CC"
"Send Check to","Enviar Comprobante a"
"Send Check to:","Enviar Comprobante a:"
"Sort order","Ordenar pedido"
"Title","Titulo"
"What is this?","¿Qué es esto?"
"Year","Año"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
