"ALL","TODOS"
"ANY","CUALQUIERA"
"Add","Añadir"
"Apply","Aplicar"
"Description: %s","Descripción: %s"
"Expire at: %s","Expira el: %s"
"FALSE","FALSO"
"If %s of these conditions are %s:","Si %s de éstas condiciones son %s:"
"Invalid discount amount.","Importe del descuento no es válido."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Nombre: %s"
"Open Chooser","Abrir Selector"
"Perform following actions","Ejecute las siguientes acciones"
"Please choose a condition to add...","Por favor"
"Please choose an action to add...","Por favor escoja una acción a añadir..."
"Remove","Remover"
"Start at: %s","Comienza el: %s"
"TRUE","VERDADERO"
"by","por"
"contains","contiene"
"does not contain","no contiene"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"greater than","mayor que"
"is","es"
"is not","no es"
"is not one of","no es uno de"
"is one of","es uno de"
"less than","menor que"
"to","a"
