"Add Recipient","Añadir Destinatario"
"Allow for Guests","Permitir a Invitados"
"Email Address","Correo Electrónico"
"Email Address:","Correo Electrónico:"
"Email templates","Plantillas de Correo"
"Email to a Friend","Envíar a un Amigo"
"Email:","Correo Electrónico:"
"Enabled","Activado"
"Limit Sending By","Limitar Enviado por"
"Link to a friend was sent.","Enlace a un amigo fue enviado."
"Max Products Sent in 1 Hour","Max de Productos envíados en 1 hora"
"Max Recipients","Max Destiantarios"
"Maximum %d email addresses allowed.","Máximo %d correos electrónicos permitidos."
"Message:","Mensaje:"
"Name","Nombre"
"Name:","Nombre:"
"Recipient:","Destinatario:"
"Remove Email","Retirar Correo"
"Select email template","Elegir Plantilla de Correo"
"Send email","Envíar Correo"
"Send product to a friend","Envíar Producto a un amigo"
"Sender:","Remitente:"
"Some emails was not sent","Algunos correos no se enviaron"
"Some problems with data.","Algunos problemas con datos."
"You cannot email this product to a friend","No puede enviar este producto a un amigo"
"You cannot send more than %d times in an hour","Usted no puede enviar más %d veces en una hora"
