" for more information or email us at "," para más información o contactenos en "
"# of Items (and above)","# de Artículos (y sobre)"
"# of Items vs. Destination","# de Artículos vs. Destino"
"Allow Shipping to multiple addresses","Permitir Envío para Multiples Direcciones"
"Calculate Handling Fee","Calcular Tarifa por Transporte"
"Carrier:","Encargado de Despacho:"
"City","Ciudad"
"Close Window","Cerrar Ventana"
"Condition","Condición"
"Country","País"
"Date","Fecha"
"Delivered on:","Enviado en:"
"Delivered to:","Despachado a:"
"Description","Description"
"Displayed Error Message","Displayed Error Message"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")"
"Enabled","Activo"
"Error:","Error:"
"Export","Exportación"
"Fixed","Fixed"
"Flat Rate","Flat Rate"
"Free Shipping","Envío Gratis"
"Handling Fee","Handling Fee"
"Import","Importación"
"Info:","Info:"
"Invalid %s ""%s"" in the Row #%s","Incorrecto %s ""%s"" en el registro #%s"
"Invalid Country ""%s"" in the Row #%s","Pais Incorrecto ""%s"" en el registro #%s"
"Invalid Region/State ""%s"" in the Row #%s","Regios/Estado Incorrecto ""%s"" en el registro #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Precio de Envío Incorrecto""%s"" en el registro #%s"
"Invalid Table Rate code for type %s: %s","Código para el tipo de la tabla de tasas incorrecto %s: %s"
"Invalid Table Rate code type: %s","Código tipo de la tabla de tasas incorrecto: %s"
"Invalid Table Rates File Format","Incorrecta Tabla Tarifas Formato de Archivo"
"Local Time","Hora Local"
"Location","Ubicación"
"Maximum qty allowed for Shipping to multiple addresses","Cantidad máxima permitida para el envío a múltiples direcciones"
"Method name","Nombre del Metodo"
"Minimum order amount","Cantidad mínima de Pedido"
"N/A","N/A"
"None","Ninguno"
"Options","Opciones"
"Order Subtotal (and above)","Subtotal del Pedido (y arriba)"
"Origin","Origen"
"Per Order","Por Orden"
"Per Package","Por Paquete"
"Percent","Percentaje"
"Price","Precio"
"Price vs. Destination","Precio vs. Destino"
"Region/State","Region/State"
"Service Type:","Tipo de Servicio:"
"Ship to Specific countries","Envío a paises especificos"
"Ship to applicable countries","Envío a paises aplicables"
"Shipment #","Envío #"
"Shipped or billed on:","Enviado o facturado en:"
"Shipping Methods","Metodos de Envío"
"Shipping Methods Section","Sección Metodos de Envío"
"Shipping Settings","Configuración del Envío"
"Shipping Settings Section","Sección Configuración del Envío"
"Show method if not applicable","Mostrar metodo si no es aplicable"
"Signed by:","Firmado por:"
"Sort order","Ordenar pedidos"
"Status:","Estado:"
"Store Pickup","Recoger en tienda"
"Table rates","Tabla de tarifas"
"The shipping module is not available for selected delivery country","El módulo de envío no está disponible para el país de entrega seleccionado"
"There is no tracking available for this shipment.","No hay seguimiento disponible para este envío."
"There is no tracking available.","No hay seguimiento disponible."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método del envío está disponible. Si usted quisiera que enviáramos el uso de este método de envío, por favor póngase en contacto con nosotros."
"Title","Titulo"
"Track:","Seguir:"
"Tracking Number:","Numero de Seguimiento:"
"Tracking information is currently not available. Please ","Seguimiento de la información no está disponible actualmente. Por Favor "
"Tracking information is currently unavailable.","Seguimiento de la información no está disponible actualmente."
"Type","Tipo"
"Weight (and above)","Peso (y arriba)"
"Weight vs. Destination","Peso vs. Destino"
"Weight:","Peso:"
"ZIP/Postal Code","ZIP/Codigo Postal"
"contact us","contactenos"
