"%s already exist","%s ya existe"
"%s already exists","%s ya existe"
"-- Please Select --","-- Por favor seleccione --"
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Añadir el código de tienda a las URLs"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","Avanzado"
"Allow countries","Permitir países"
"Allowed IPs (comma separated)","IPs permitidas (separadas por coma)"
"Are you sure?","Est&aacute; seguro?"
"Back","Volver atrás"
"Backup options","Backup options"
"Base JavaScript URL","URL Base de JavaScript"
"Base Link URL","URL Base de Link"
"Base Media URL","URL Base de Media"
"Base Skin URL","URL Base de Skin"
"Base URL","URL Base"
"Before modifying the store view code please make sure that it is not used in index.php","Antes de modificar el código de la vista de tienda, asegúrese de que no está en uso en su index.php"
"Before modifying the website code please make sure that it is not used in index.php","Antes de modificar el código  del sitio web, asegúrese de que no está en uso en su index.php"
"Block with name ""%s"" already exists","El bloque con el nombre ""%s"" ya existe"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","No se puede recuperar el objeto solicitado"
"Can't retrieve entity config: %s","No se puede recuperar la config. de la entidad: %s"
"Cancel","Cancelar"
"Cannot Delete Email Template","No se puede borrar la plantilla de correo electrónico"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Código"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","El archivo controlador fue cargado pero la clase no existe"
"Cookie Domain","Dominio de la cookie"
"Cookie Lifetime","Ciclo de vida de la cookie"
"Cookie Path","Ruta de la cookie"
"Copyright","Copyright"
"Countries options","Opciones de países"
"Create Store","Crear una tienda"
"Create Store View","Crear una vista de tienda"
"Create Website","Crear un sitio web"
"Current package name","Nombre del paquete actual"
"Custom Design","Diseño personalizado"
"Custom admin URL","Custom admin URL"
"Custom email 1","Correo electrónico personalizado 1"
"Custom email 2","Correo electrónico personalizado 2"
"Customer support","Atención al cliente"
"Date From","Fecha desde"
"Date To","Fecha hasta"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","Depurar"
"Default","Por defecto"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","Páginas por defecto"
"Default Robots","Default Robots"
"Default Store","Tienda por defecto"
"Default Store View","Vista de tienda por defecto"
"Default Title","Default Title"
"Default country","País por defecto"
"Default no-route url","URL de no-ruta por defecto"
"Default web url","URL de web por defecto"
"Delete","Borrar"
"Delete Store","Borrar la tienda"
"Delete Store View","Borrar la vista de tienda"
"Delete Website","Borrar el sitio web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Diseño"
"Design Change","Cambio de diseño"
"Developer","Desarrollador"
"Developer Client Restrictions","Restricciones de cliente para desarrollador"
"Disable email communications","Deshabilitar comunicaciones por correo electrónico"
"Disable modules output","Deshabilitar salida de módulos"
"Duplicate Of Template Code","Duplicado de código de plantilla"
"Edit Design Change","Editar el cambio de diseño"
"Edit Store","Editar la tienda"
"Edit Store View","Editar la vista de tienda"
"Edit Website","Editar el sitio web"
"Empty identifier field name","Vaciar el nombre del campo identificador"
"Empty main table name","Vaciar el nombre de la tabla principal"
"Enabled","Habilitado"
"Enabled for Admin","Habilitado para administrador"
