"API Login ID","ID de acceso API"
"Authorize Only","Sólo autorizar"
"Authorize and Capture","Autorizar y capturar"
"Authorize.net","Authorize.net"
"Credit Card Types","Tipos de tarjeta de crédito"
"Credit Card Verification","Verificación de la tarjeta de crédito"
"Debug","Depurar"
"Email customer","Correo electrónico del cliente"
"Enabled","Habilitado"
"Error in authorizing the payment","Error en la autorización del pago"
"Error in capturing the payment","Error en la captura del pago"
"Error in payment gateway","Error en la pasarela de pago"
"Error in refunding the payment","Error en el reembolso del pago"
"Error in refunding the payment.","Error en el reembolso del pago."
"Error in retrieving the transaction","Error al recuperar la transacción"
"Fraud order status","Estado de Pedido fraudulento"
"Gateway request error: %s","Error en la petición de acceso: %s"
"Invalid amount for authorization","Importe inválido para la autorización"
"Invalid amount for authorization.","Importe inválido para la autorización."
"Invalid transaction id","ID de transacción inválido"
"Maximum Order Total","Maximum Order Total"
"Merchant Login","Acceso del comerciante"
"Merchant's email","Correo electrónico del comerciante"
"Minimum Order Total","Minimum Order Total"
"New order status","Nuevo estado del Pedido"
"Partner","Socio"
"Password","Contraseña"
"Payflow Pro","Payflow Pro"
"Payment Action","Acción de pago"
"Payment authorization error.","Error de autorización del pago."
"Payment authorization transaction has been declined.","La transacción de autorización del pago ha sido rechazada."
"Payment from Specific countries","Pago desde los países especificados"
"Payment from applicable countries","Pago desde los países aplicables"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Orden de clasificación"
"TENDER","OFERTA"
"Test mode","Modo de prueba"
"Title","Título"
"Transaction key","Clave de la transacción"
"URL","URL"
"Use Proxy","Use Proxy"
"User","Usuario"
"VERBOSITY","DETALLE EXTENSO"
"Voided transaction","Transacción nula"
