" for more information or email us at ","para mayor información o escríbanos a"
"# of Items (and above)","# de art&iacute;culos (and above)"
"# of Items vs. Destination","# de artículos vs. destino"
"Allow Shipping to multiple addresses","Permitir envío a múltiples direcciones"
"Calculate Handling Fee","Calcular costos de envío"
"Carrier:","Transporte:"
"City","Ciudad"
"Close Window","Cerrar la ventana"
"Condition","Condición"
"Country","País"
"Date","Fecha"
"Delivered on:","Entregado el:"
"Delivered to:","Entregado a:"
"Description","Descripción"
"Displayed Error Message","Mensaje de error mostrado"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Fila duplicada #%s (Pa&iacute;s ""%s"", Regi&oacute;n/Estado ""%s"", C&oacute;digo postal ""%s"" y Valor ""%s"")"
"Enabled","Habilitado"
"Error:","Error:"
"Export","Exportar"
"Fixed","Fijo"
"Flat Rate","Tarifa plana"
"Free Shipping","Envío gratuito"
"Handling Fee","Costos de envío"
"Import","Importe"
"Info:","Información:"
"Invalid %s ""%s"" in the Row #%s"," %s ""%s"" inválido en la fila #%s"
"Invalid Country ""%s"" in the Row #%s","País inválido ""%s"" en la fila #%s"
"Invalid Region/State ""%s"" in the Row #%s","Región/Estado inválido ""%s"" en la fila #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Precio de transporte inválido ""%s"" en la fila #%s"
"Invalid Table Rate code for type %s: %s","Código de tabla de tarifas inválido para el tipo %s: %s"
"Invalid Table Rate code type: %s","Tipo de código inválido para tabla de tarifas: %s"
"Invalid Table Rates File Format","Formato de archivo de la tabla de tarifas inválido"
"Local Time","Hora local"
"Location","Ubicación"
"Maximum qty allowed for Shipping to multiple addresses","Cantidad máxima permitida para el envío a múltiples direcciones"
"Method name","Nombre del método"
"Minimum order amount","Importe mínimo del Pedido"
"N/A","N/D"
"None","Ninguno"
"Options","Opciones"
"Order Subtotal (and above)","Subtotal del pedido (and above)"
"Origin","Origen"
"Per Order","Por Pedido"
"Per Package","Por paquete"
"Percent","Porcentaje"
"Price","Precio"
"Price vs. Destination","Precio vs. destino"
"Region/State","Región/Estado"
"Service Type:","Tipo de servicio:"
"Ship to Specific countries","Envío a países específicos"
"Ship to applicable countries","Envío a países aplicables"
"Shipment #","Envío #"
"Shipped or billed on:","Enviado o facturado el:"
"Shipping Methods","Métodos de envío"
"Shipping Methods Section","Shipping Methods Section"
"Shipping Settings","Configuraciones de envío"
"Shipping Settings Section","Shipping Settings Section"
"Show method if not applicable","Mostrar el método aunque no sea aplicable"
"Signed by:","Firmado por:"
"Sort order","Orden de clasificación"
"Status:","Estado:"
"Store Pickup","Se recoge en tienda"
"Table rates","Tabla de tarifas"
"The shipping module is not available for selected delivery country","El módulo de envío no está disponible para el país de entrega seleccionado"
"There is no tracking available for this shipment.","No hay ningún seguimiento disponible para este envío."
"There is no tracking available.","No hay ningún seguimiento disponible."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envío no está actualmente disponible. Si usted desea usar este método de envío, por favor contáctese con nosotros."
"Title","Título"
"Track:","Seguimiento:"
"Tracking Number:","Número de seguimiento:"
"Tracking information is currently not available. Please ","Actualmente la información del seguimiento no está disponible. Por favor, intente más tarde "
"Tracking information is currently unavailable.","Actualmente la información del seguimiento no está disponible."
"Type","Tipo"
"Weight (and above)","Peso (and above)"
"Weight vs. Destination","Peso vs. destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código postal"
"contact us","Contacte con nosotros"
