"%s already exist","%s ya existe"
"%s already exists","%s ya existe"
"-- Please Select --","-- Seleccione --"
"Add Block Names to Hints","Añadir Nombres de Bloques para Sugerencias"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Añadir Código de la tienda a las URLs"
"Admin","Administrador"
"Admin Base URL","Administrador Base URL"
"Admin User Emails","Emails de Usuarios Administrador"
"Advanced","Avanzado"
"Allow countries","Permitir países"
"Allowed IPs (comma separated)","direcciones IP permitidas (separados por comas)"
"Are you sure?","¿Estás seguro?"
"Back","Volver"
"Backup options","Opciones de Respaldo"
"Base JavaScript URL","URL Base JavaScript"
"Base Link URL","Enlace a URL Base"
"Base Media URL","URL Base Media"
"Base Skin URL","URL Base Skin"
"Base URL","URL Base"
"Before modifying the store view code please make sure that it is not used in index.php","Antes de modificar el código de comentarios de la tienda, asegúrate de que no se utiliza en index.php"
"Before modifying the website code please make sure that it is not used in index.php","Antes de modificar el código del sitio web, por favor asegúrese de que no se utiliza en index.php"
"Block with name ""%s"" already exists","Bloque con nombre ""%s"" ya existe"
"Blocks HTML output","Salida de Bloques HTML"
"Can't retrieve request object","No se puede recuperar el objeto solicitado"
"Can't retrieve entity config: %s","No se puede recuperar la entidad de configuración: %s"
"Cancel","Cancelar"
"Cannot Delete Email Template","No se puede eliminar Plantilla de correo electrónico"
"Cannot complete this operation from non-admin area.","No puede completar esta operación desde un área fuera de administrador."
"Category object is required for determining product request path","Objeto de categoría es requerido para determinar la ruta del producto solicitado"
"Code","Código"
"Collections Data","Colecciones de Datos"
"Configuration","Configuración"
"Controller file was loaded but class does not exist","Se cargó el archivo de controlador, pero la clase no existe"
"Cookie Domain","Cookie de Dominio"
"Cookie Lifetime","Tiempo de Vida de Cookie"
"Cookie Path","Ruta de Cookie"
"Copyright","Copyright"
"Countries options","Opciones de países"
"Create Store","Crear tienda"
"Create Store View","Crear Vista de la tienda"
"Create Website","Crear Sitios Web"
"Current package name","Nombre del paquete actual"
"Custom Design","Diseño Personalizado"
"Custom admin URL","URL de administrador personalizable"
"Custom email 1","email 1 personalizado"
"Custom email 2","email 2 personalizado"
"Customer support","Atención al cliente"
"Date From","Fecha Del"
"Date To","Fecha A"
"Date/time format ""%s"" is not supported.","Formato de fecha/hora ""%s"" no está soportado."
"Debug","Depuración"
"Default","Predeterminado"
"Default Description","Descripción predeterminada"
"Default Keywords","Keywords predeterminadas"
"Default Pages","Páginas predeterminadas"
"Default Robots","Robots predeterminados"
"Default Store","Tienda predeterminada"
"Default Store View","Vista de Tienda predeterminada"
"Default Title","Título Predeterminado"
