"-- Please Select --","-- Selecione Por Favor --"
"Account Registration","Registro de Cuenta"
"All fields of script types have to be filled.","Todos los campos de los tipos script deben ser llenados."
"Attributes","Atributos"
"Category View Optimization","Optimización de la Categoría de Vista"
"Control Script","Script de Control"
"Conversion Page","Conversión de Página"
"Conversion Page URL","Conversión de Página URL"
"Conversion Script","Conversión Script"
"Enable","Habilitar"
"Google Optimizer Scripts","Optimizador de Scripts de Google"
"Google Website Optimizer","Optimizador de Google de sitio web"
"Install Scripts","Instalar Scripts"
"Limit is 8 attributes only.","El límite es de 8 atibutos únicamente."
"Multi Address Checkout","Multi Direcciones de Pago"
"One Page Checkout","Una Página de Pago"
"Order Success (Multi Address Checkout)","Realización de pedido (Múlti Derecciones de Pago)"
"Order Success (One Page Checkout)","Realización de pedido (Una Página de Pago)"
"Original Page","Página Original"
"Other","Otro"
"Page Type","Tipo de Página"
"Page View Optimization","Optimización de Vista de Página"
"Please copy and paste this value to experiment edit form","Copiar y Pegar este valor para experimentar forma de modificar por favor"
"Please select store view to see the URL","Seleccione Vista de la Tienda para ver la URL"
"Product View Optimization","Optimización de Vista de Producto"
"Scripts Install URL","Instalar Scripts URL"
"Shopping Cart","Carrito de Compra"
"Tracking Script","Rastreo del Script"
"Use Default","Usar Predeterminado"
"Use Default Values","Utilizar Valores Predeterminado"
"Variant Page","Página Variant"
