"(Make sure you keep it in a safe place.)","(Asegúrese de mantenerlo en un lugar seguro.)"
"(Optional. Leave blank for no prefix)","(Opcional. Sin prefijo entonces dejar en blanco)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Ruta adicional añadida después de Base URL para acceder a tu panel de administrador (ej. administrador, backend, control etc.)."
"Admin Path","Ruta de Administrador"
"After successfull installation please click the button below.","Después de una instalación exitosa, por favor haga clic en el botón de abajo."
"All packages were installed successfully, click 'Ok' to continue with installation","Todos los paquetes se han instalado correctamente, haga clic en 'Aceptar' para continuar con la instalación"
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativamente puede probar el método 'Manual de Descargas y actualizaciones'."
"Base URL","Base URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de continuar con su tienda, por favor anote su clave cifrada (Magento la usa para cifrar contraseñas, tarjetas de crédito y más)."
"Check out our","Echa un vistazo a nuestro"
"Check this box only if it is not possible to automatically validate Base URL.","Marque esta casilla sólo si no es posible validar automáticamente Base URL."
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Marque esta casilla únicamente si no es posible validar automáticamente la URL segura, por ejemplo, si se requiere autenticación HTTP."
"Choose this if you would like to test frontend and backend functionality.","Elija esta si desea poner a prueba la funcionalidad del backend y el frontend."
"Configuration","Configuración"
"Confirm Password","Confirmar Contraseña"
"Connection","Conexión"
"Continue","Continuar"
"Continue After Manual Download","Continuar Después de la descarga del Manual"
"Continue Full Download / SVN Installation","Continuar la Descarga Completa / SVN de instalación"
"Create Admin Account","Crear Cuenta de Administrador"
"Currently this is the most stable state available for Magento packages.","Actualmente, esta es la version disponible más estable de paquetes de Magento."
"Database","Base de Datos"
"Database Connection","Conexión a la base de datos"
"Database Name","Nombre de base de datos"
"Database connection error","Error de conexión con la base de datos"
"Database host","Base de datos del Host"
"Database server does not support InnoDB storage engine","El servidor de Base de Datos no cuenta con motor de carga InnoDB"
"Database server version does not match system requirements (required: %s, actual: %s)","La versión del servidor de base de datos no cumple con los requerimientos del sistema (requerido: %s, actual: %s)"
"Database user name","Nombre del usuario de la Base de datos"
"Database user password","Contraseña del usuario de la Base de datos"
"Default Currency","Divisa Predeterminada"
"Download","Descargar"
"Download Magento Core Modules and Updates","Descargar los módulos del núcleo de Magento y las actualizaciones"
"Downloading and installing Magento, please wait...","Descargando e instalando Magento, por favor, espere..."
"Email","Correo electrónico"
"Email Address","Dirección de correo electrónico"
"Enable this option only if you have SSL available.","Activar esta opción sólo si tiene SSL disponible."
"Encryption Key","Clave Cifrada"
"File system","Archivo del sistema"
"First Name","Nombre"
"Full Download / SVN Installation","Descarga Completa / Instalación SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Prepárese para experimentar la evolución del comercio electrónico de código abierto."
"Go to Backend","Ir al frontend"
"Go to Frontend","Ir al backend"
"Having trouble installing Magento?","¿Hubo problemas para instalar Magento?"
"Help Us to Keep Magento Healthy","Mantengamos Próspero a Magento ¡Participa!"
"Host","Host"
"I agree to the above terms and conditions","Estoy de acuerdo con los términos y condiciones anteriores"
"If you are a developer and would like to have the latest public updates, choose this option.","Si usted es un desarrollador y desea disponer de las últimas actualizaciones públicas, elija esta opción."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Si está ejecutando PHP como CGI, su proceso PHP podría ejecutarse bajo el mismo usuario que el que usó cuando subió los archivos de Magento."
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Si está ejecutando el asistente de instalación sobre un Magento previamente instalado, proceda con este método."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Si no desea o no puede hacer que sus directorios de Magento tengan permisos de escritura para el proceso web, podría usar el ejecutable PEAR ubicado en la raíz de la instalación de Magento."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Si ha descargado el paquete completo o ha instalado Magento a través de SVN, debería omitir los paquetes de instalación y validación, presionando el botón de abajo."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Si desea gestionar los paquetes de Magento a través de la interfaz de administración web, deberá tener permisos de escritura web aplicados a todas las carpetas y archivos de magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Si el servidor se ejecuta en MS Windows, probablemente no será necesario cambiar nada."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","En otros casos necesitará asignar permisos de escritura a los archivos de Magento para el usuario bajo el cual está ejecutándose el proceso del servidor web."
"Installation","Instalación"
"Installation Guide","Guía de instalación"
"Last Name","Apellido"
"Locale","Local"
"Locale settings","Configuraciones locales"
"Localization","Localización"
"Login Information","Información de acceso"
"Magento","Magento"
"Magento Installation Wizard","Asistente de instalación de Magento"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento es una marca registrada de Irubin Consulting Inc. DBA Varien. Derechos reservados &copy; %s Irubin Consulting Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento utiliza esta clave para cifrar las contraseñas, tarjetas de crédito y mucho más. Si este campo se deja vacío el sistema generará una clave de cifrado para usted y le mostrará en la página siguiente."
"Manual Downloads and Upgrades","Manual de Descargas y Actualizaciones"
"One from PHP Extensions ""%s"" must be loaded","Una desde Extensiones PHP ""%s"" debe ser cargada"
"PHP Extension ""%s"" must be loaded","La Extensión PHP ""%s"" debe ser cargada"
"PHP Extension '%s' loaded","Extensión de PHP '%s' cargada"
"Package Management through the Web","Gestión de paquetes a través de la Web"
"Password","Contraseña"
"Password Confirmation","Confirmación de Contraseña"
"Path ""%s"" must be writable","La ruta ""%s"" debe ser de escritura"
"Personal Information","Información Personal"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor asegúrese de que <code>mod_rewrite</code> está habilitado en la configuración de Apache."
"Please note that it is much less stable than beta.","Por favor, tenga en cuenta que es mucho menos estable que beta."
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Por favor tome en cuenta que sólo terminales UNIX, Linux y OSX son soportadas actualmente. Para Windows use la opción '%s'."
"Please set all required settings before clicking Continue","Por favor, establezca todos los ajustes necesarios antes de hacer clic en Continuar"
"Preferred stability: %s","Estabilidad preferida: %s: %s"
"Proceed With Automatic Download (%s)","Proceder con la descarga automática (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Proporcionar una base completa de URL para conexión SSL. Por ejemplo: %s"
"Report All Bugs","Reporte Todas las Fallas"
"Required Fields","Campos obligatorios"
"Run admin interface with SSL","Ejecutar la interfaz de administración con SSL"
"Run this in your shell from Magento root folder:","Ejecutar esto en su línea de comandos desde la carpeta raíz de Magento: "
"Save session data in","Guardar los datos de la sesión en"
"Save session files in","Guardar los archivos de la sesión en"
"Secure Base URL","Base URL Segura"
"Session storage options","Opciones de almacenamiento de sesión"
"Setting preferred state to: %s","Establecer el estado preferido para: %s"
"Skip Base URL validation before next step","Saltar la validación Base URL antes del siguiente paso"
"Skip Secure URL validation before next step","Omitir la validación de URL seguro antes del siguiente paso"
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","El prefijo de la tabla debe contener sólo letras (a-z), números (0-9) o guión bajo (_), el primer carácter debe ser una letra"
"Tables Prefix","Prefijo de las Tablas"
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","Hubo un problema al instalar los paquetes de Magento. Por favor, lea el registro, corrija los errores e intente de nuevo."
"This Url is invalid","Esta URL es inválida"
"Time Zone","Husos Horarios"
"Url ""%s"" is invalid","Url ""%s"" es inválida"
"Url ""%s"" is not accessible","Url ""%s"" no es accesible"
"Use Secure URLs (SSL)","Usar URL segura (SSL)"
"Use Web Server (Apache) Rewrites","Usar Rewrites de Servidor Web (Apache)"
"User Name","Nombre de usuario"
"User Password","Contraseña de Usuario"
"Username","Nombre de usuario"
"Web access options","Opciones de acceso Web"
"Welcome to Magento's Installation Wizard","Bienvenido al Asistente de instalación de Magento"
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Puede especificar el puerto, ej.: localhost:3307<br />Si no esta usando el socket UNIX predeterminado, puede especificarlo aquí en lugar del host, ej.: /var/run/mysqld/mysqld.sock"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Puede habilitar esta opción para usar las funcionalidades de las reescrituras web para mejorar la optimización de los motores de búsqueda."
"You're All Set","Eso es todo"
