" The customer doesn't exist in the system anymore"," Asiakasta ei enää ole järjestelmässä."
" and ","ja"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absoluuttinen tai suhteellinen polku asennuskansioon, esim. Var/export)"
"(For US 2-letter state names)","(Yhdysvaltojen osavaltioiden kaksikirjaimiset nimet)"
"(If left empty will be auto-generated)","(Muodostetaan automaattisesti jos jätetään tyhjäksi)"
"(Leave empty for first spreadsheet)","(Jätä tyhjäksi ensimmäiselle taulukolle)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Tuotteet lisätään/päivitettään tähän kauppaan jos 'kauppa-sarake' on tyhjä tai puuttuu tiedostosta.)"
"(Shift-)Click or drag to change value","Klikkaa (vaihtonäppäin pohjassa) tai raahaa vaihtaaksesi arvoa"
"(Starting with)","(Alkaen)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Kun 'Ei', vain kartoitetut kentät tuodaan. Kartoitettaessa käytä 'sarake1', 'sarake2', jne.)"
"(You have to increase php memory_limit before changing this value)","(PHP:n memory_limit-arvoa täytyy kasvattaa ennen tämän arvon muuttamista)"
"(\t for tab)","(\t = sarkain)"
"* - If indexing is in progress, it will be killed and new indexing process will start","* - Jos indeksointi on käynnissä, se lopetetaan ja uusi indeksointi aloitetaan"
"- Click on any of the time parts to increase it","- Klikkaa ajan päällä kasvattaaksesi sitä"
"- Hold mouse button on any of the above buttons for faster selection.","- Pidä hiiren nappia pohjassa minkä tahansa yllä olevan painikkeen päällä valitaksesi nopeammin."
"- Use the %s buttons to select month","- Käytä %s -painikkeita valitaksesi kuukauden"
"- Use the %s, %s buttons to select year","- Käytä %s, %s -painikkeita valitaksesi vuoden"
"- or Shift-click to decrease it","- tai klikkaa vaihtonäppäin pohjassa vähentääksesi sitä"
"- or click and drag for faster selection.","- tai klikkaa ja raahaa valitaksesi nopeammin."
"-- Please Select --","-- Valitse --"
"-- Please select --","-- Valitse --"
"-- Please select a category --","-- Valitse kategoria --"
"--Please Select--","--Valitse--"
"1 Hour","1 tunti"
"12 Hours","12 tuntia"
"12h AM/PM","12h AM/PM"
"2 Hours","2 tuntia"
"24 Hours","24 tuntia"
"24h","24h"
"2YTD","Tämä ja viime vuosi"
"6 Hours","6 Hours"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 virhe</h1><p>Sivua ei löydetty.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Pääsy kielletty</h1><p>Pääsy kielletty.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Uusi salasana lähetettiin sähköpostiisi. Tarkista sähköpostisi ja klikkaa takaisin kirjautuaksesi."
"API Stability","API-vakaus"
"API Version","API-versio"
"API:","API:"
"About the calendar","Tietoja kalenterista"
"Access Denied.","Pääsy kielletty."
"Access Deny","Pääsyn kielto."
"Account Created in:","Asiakastili luotu (missä):"
"Account Created on (%s):","Tili luotu (%s):"
"Account Created on:","Asiakastili luotu (milloin):"
"Account Information","Asiakastilin tiedot"
"Account status","Asiakastilin tila"
"Account successfully saved","Asiakastili tallennettu"
"Action","Toiminto"
"Actions","Toiminnot"
"Actions XML","Toimintojen XML"
"Active","Aktiivinen"
"Add","Lisää"
"Add Contents Path","Lisää sisällön polku"
"Add Exception","Lisää poikkeus"
"Add Field Mapping","Lisää tietokenttien kartoitus"
"Add Field with URL:","Lisää kenttä URL:lla:"
"Add Maintainer","Lisää ylläpitäjä"
"Add New Image","Lisää uusi kuva"
"Add New Profile","Lisää uusi profiili"
"Add New Role","Lisää uusi rooli"
"Add New Template","Lisää uusi pohja"
"Add New Urlrewrite","Lisää uusi osoitteen uudelleenkirjoitus"
"Add New User","Lisää uusi käyttäjä"
"Add New osCommerce Profile","Lisää uusi osCommerce-profiili"
"Add PHP Extension dependency","Lisää PHP-laajennuksen riippuvuus"
"Add Package dependency","Lisää paketin riippuvuus"
"Add Subpackage dependency","Lisää alipaketin riippuvuus"
"Add Urlrewrite","Lisää osoitealias"
"Add Urlrewrite for a Category","Lisää osoitealias kategorialle"
"Add Urlrewrite for a Product","Lisää osoitealias tuotteelle"
"Add after","Lisää jälkeen"
"Add new Role","Lisää uusi rooli"
"Add new store view map","Lisää uusi kauppanäkymäkartta"
"Add new website map","Lisää uusi sivustokartta"
"Address Type:","Osoitteen tyyppi:"
"Admin","Ylläpito"
"Advanced Admin Section","Edistynyt Ylläpito -osio"
"Advanced Profiles","Edistyneet profiilit"
"Advanced Section","Edistynyt-osio"
"Aggregate Order","Kokonaistilaus"
"All","Kaikki"
"All Allowed Countries","Kaikki sallitut maat"
"All Cache","Kaikki välimuistit"
"All Files","Kaikki tiedosto"
"All Store Views","Kaikki kauppanäkymät"
"All Tags","Kaikki asiasanat"
"All Websites","Kaikki sivustot"
"All countries","Kaikki maat"
"All fields","Kaikki kentät"
"All possible rates were fetched, click on ""Save"" to apply","Kaikki mahdolliset valuuttakurssit noudettiin, klikkaa 'Tallenna' ottaaksesi käyttöön"
"All rates were fetched, click on ""Save"" to apply","Kaikki valuuttakurssit noudettiin, klikkaa 'Tallenna' ottaaksesi käyttöön"
"All valid rates successfully saved","Kaikki voimassaolevat valuuttakurssit tallennettu"
"Amounts","Summat"
"Any","Mikä tahansa"
"Any Attribute Set","Mikä tahansa ominaisuuksien kokoelma"
"Any Group","Mikä tahansa ryhmä"
"Any Status","Mikä tahansa tila"
"Any Store","Mikä tahansa kauppa"
"Any Type","Mikä tahansa tyyppi"
"Any Visibility","Mikä tahansa näkyvyys"
"Api Key","Api-avain"
"Api Key Confirmation","Api-avaimen vahvistus"
"Archive file name:","Arkiston tiedoston nimi:"
"Are you sure that you want to delete this template?","Haluatko varmasti poistaa tämän pohjan?"
"Are you sure that you want to strip tags?","Haluatko varmasti poistaa asiasanat?"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Are you sure you wish to INSTALL all selected packages?","Haluatko varmasti ASENTAA kaikki valitut paketit?"
"Are you sure you wish to UNINSTALL all selected packages?","Haluatko varmasti POISTAA kaikki valitut paketit?"
"Are you sure you wish to UPGRADE all selected packages?","Haluatko varmasti PÄIVITTÄÄ kaikki valitut paketit?"
"Area","Alue"
"Assigned","Asetettu"
"Attribute Set Name:","Ominaisuuksien joukon nimi:"
"Attribute set successfully saved.","Ominaisuuksien kokoelma tallennettu."
"Attribute set was successfully removed.","Ominaisuuksien kokoelma poistettu."
"Attributes","Ominaisuudet"
"Available Products","Saatavilla olevat tuotteet"
"Available Version","Saatavilla oleva versio"
"Average Order Amount","Tilausten keskihinta"
"Average Orders","Keskimääräinen tilaus"
"Back","Takaisin"
"Back to Login","Takaisin sisäänkirjautumiseen"
"Back to local packages","Takaisin paikallisiin paketteihin"
"Backup","Varmuuskopio"
"Backup record was deleted","Varmuuskopio poistettu"
"Backup successfully created","Varmuuskopio luotu"
"Backups","Varmuuskopiot"
"Base currency","Kantavaluutta"
"Bcc","Piilokopio"
"Bestsellers","Myydyimmät tuotteet"
"Big Image","Iso kuva"
"Billing Address","Laskutusosoite"
"Billing address","Laskutusosoite"
"Block Information","Sisältölohkon tiedot"
"Both (without and with tax)","Molemmat (veroton ja verollinen)"
"Browse Available Extensions","Selaa saatavilla olevia laajennuksia"
"Browse Available Remote Extensions","Selaa saatavilla olevia ulkopuolisia laajennuksia"
"Browse Files...","Selaa tiedostoja..."
"Bundle Items","Yhdistelmätuotteen osat"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Yhdistelmätuote ei voi sisältää muokattavia ominaisuuksia, jos käytössä on muuttuva hinta. Ominaisuuksia ei tallenneta."
"CRITICAL","KRIITTINEN"
"CSV","CSV"
"CSV / Tab separated","CSV / Eroteltu sarkaimin"
"Cache Control","Välimuistin toiminta"
"Cache Control (beta)","Välimuistin toiminta (beta)"
"Cache Management","Välimuistin hallinta"
"Can not add new comment.","Kommenttia ei voida lisätä."
"Can not add tracking number.","Seurantakoodia ei voida lisätä."
"Can not delete tracking number.","Seurantakoodia ei voida poistaa."
"Can not do credit memo for order","Tilaukselle ei voida tehdä hyvityslaskua"
"Can not do invoice for order","Tilausta ei voida laskuttaa"
"Can not do shipment for order.","Tilausta ei voida lähettää."
"Can not initialize shipment for adding tracking number.","Lähetystä ei voida alustaa seurantakoodin lisäämistä varten."
"Can not initialize shipment for delete tracking number.","Lähetystä ei voida alustaa seurantakoodin poistamista varten."
"Can not load track with retrieving identifier.","Seurantaa ei voida ladata vastaanotetulla tunnisteella."
"Can not retrieve tracking number detail.","Seurantakoodin tietoja ei voida hakea."
"Can not save credit memo","Hyvityslaskua ei voida tallentaa"
"Can not save invoice","Laskua ei voida tallentaa"
"Can not save shipment.","Lähetystä ei voida tallentaa."
"Can not send shipment information.","Lähetyksen tietoja ei voida lähettää."
"Can not update item qty","Tuotteen määrää ei voida päivittää"
"Can't delete design change","Ulkoasun muutosta ei pystytä poistamaan"
"Can't find email address.","Sähköpostiosoite ei löydy."
"Cancel","Peruuta"
"Card Verification Number","Kortin varmistusnumero"
"Catalog","Katalogi"
"Catalog Rewrites","Katalogin osoitealiakset"
"Catalog Rewrites was refreshed successfully","Katalogin osoitealiakset päivitetty"
"Catalog Rewrites were refreshed successfully","Katalogin osoitealiakset päivitetty."
"CatalogInventory Stock Status rebuild error. Please try again later","Virhe varastonhallinnan saatavuustietojen päivityksessä. Yritä myöhemmin uudelleen."
"CatalogInventory Stock Status was rebuilt successfully","Varastonhallinnan saatavuustiedot päivitetty."
"Category","Kategoria"
"Category:","Kategoria:"
"Changelog","Muutoslogi"
"Channel","Kanava"
"Channel:","Kanava:"
"Checkbox","Valintaruutu"
"Choose Store View","Valitse kauppanäkymä"
"Choose an attribute","Valitse ominaisuus"
"Clear","Tyhjennä"
"Close","Sulje"
"Comment text field can not be empty.","Kommenttikenttä ei voi olla tyhjä."
"Comments History","Kommenttien historia"
"Complete","Loppuun saatettu"
"Configuration","Asetukset"
"Configuration successfully saved","Asetukset tallennettu"
"Confirmed email:","Vahvistettu sähköposti:"
"Conflicts","Ongelmat"
"Connect with the Magento Community","Ole yhteydessä Magento Communityyn"
"Contents","Sisällys"
"Convert to Plain Text","Muunna pelkäksi tekstiksi"
"Cookie (Unsafe)","Eväste (turvaton)"
"Country","Maa"
"Country:","Maa:"
"Coupon Code","Alennuskoodi"
"Coupons","Alennuskoodit"
"Create","Luo"
"Create DB Backup","Luo tietokannan varmuuskopio"
"Create Extension Package","Luo laajennuspaketti"
"Create New Attribute","Luo uusi ominaisuus"
"Create New Staging Store View","Create New Staging Store View"
"Create Urlrewrite:","Luo osoitealias:"
"Create a backup","Luo varmuuskopio"
"Created <strong>%s</strong> items","Luotiin <strong>%s</strong> kohdetta"
"Created At","Luotu"
"Credit Card Number","Luottokortin numero"
"Credit Card Number: xxxx-%s","Luottokortin numero: xxxx-%s"
"Credit Card Type","Luottokortin tyyppi"
"Credit Card Type: %s","Luottokortin tyyppi: %s"
"Credit Memo #%s comment added","Hyvityslaskuun #%s lisätty kommentti"
"Credit Memo #%s created","Hyvityslasku #%s luotu"
"Credit Memo History","Hyvityslaskuhistoria"
"Credit Memo Totals","Hyvityslaskujen kokonaismäärä"
"Credit Memo cancel error.","Virhe hyvityslaskun peruuttamisessa."
"Credit Memo total must be positive.","Hyvityslaskun summan on oltava positiivinen."
"Credit Memo void error","Virhe hyvityslaskun mitätöinnissä"
"Credit Memo was successfully canceled.","Hyvityslasku on peruutettu"
"Credit Memo was successfully created","Hyvityslasku on muodostettu"
"Credit Memo was successfully voided","Hyvityslasku on mitätöity"
"Currency","Valuutta"
"Currency Information","Valuutan tiedot"
"Currency Setup Section","Valuutan asetukset -osio"
"Current Configuration Scope:","Nykyisen asennuksen laajuus."
"Current Release Information","Nykyisen julkaisun tiedot."
"Custom","Muokattu"
"Customer","Asiakas"
"Customer Group:","Asiakasryhmä:"
"Customer Name","Asiakkaan nimi"
"Customer Since:","Asiakas alkaen:"
"Customer was deleted","Asiakas poistettiin"
"Customer was successfully saved","Asiakas tallennettu"
"Customer with the same email already exists.","Samalla sähköpostiosoitteella on jo asiakas."
"Customers","Asiakkaat"
"DHTML Date/Time Selector","DHTML päivämäärän/ajan valitsin"
"Dashboard","Kojelauta"
"Data Format","Tiedon formaatti"
"Data transfer:","Tiedonsiirto:"
"Date","Päivämäärä"
"Date & Time","Päivämäärä ja aika"
"Date Added","Päivämäärä lisätty"
"Date Updated","Päivämäärä päivitetty"
"Date selection:","Päivämäärän valinta:"
"Date selector","Päivämäärän valitsin"
"Date:","Päivämäärä:"
"Day","Päivä"
"Decimal separator:","Desimaalin erotinmerkki:"
"Default (Admin) Values","Oletusarvot (ylläpito)"
"Default Config","Oletusasetukset"
"Default Template from Locale","Kieliversion oletuspohja"
"Default Values","Oletusarvot"
"Default display currency ""%s"" is not available in allowed currencies","Oletusvaluutta ""%s"" ei ole saatavilla sallituissa valuutoissa"
"Default scope","Oletuslaajuus"
"Delete","Poista"
"Delete %s","Poista %s"
"Delete %s '%s'","Poista %s '%s'"
"Delete Profile","Poista profiili"
"Delete Role","Poista rooli"
"Delete Store View","Poista kauppanäkymä"
"Delete Template","Poista pohja"
"Delete User","Poista käyttäjä"
"Delete Website","Poista sivusto"
"Dependencies","Riippuvuudet"
"Description","Kuvaus"
"Description:","Kuvaus:"
"Design","Ulkoasu"
"Design Section","Ulkoasu-osio"
"Design change deleted","Ulkomuodon muutos poistettu"
"Design change saved","Ulkoamuodon muutos tallennettu"
"Developer Section","Kehittäjä-osio"
"Direction:","Suunta:"
"Disable","Poista käytöstä"
"Disabled","Ei käytössä"
"Discount Amount","Alennuksen määrä"
"Display %s first","Näytä %s ensimmäisenä"
"Display default currency","Näytä oletusvaluutta"
"Distributed under GNU LGPL. See %s for details.","Julkaistu GNU LGPL -lisenssillä. Katso lisätietoja: %s"
"Do you really want to KILL parallel process and start new indexing process?","Haluatko varmasti KESKEYTTÄÄ rinnakkaisen prosessin ja aloittaa uuden indeksoinnin?"
"Done By:","Tehnyt:"
"Done by:","Tehnyt:"
"Download Remote File","Lataa ulkopuolinen tiedosto"
"Download and Install","Lataa ja asenna"
"Downloading and installing $pkg, please wait...","Ladataan ja asennetaan tiedostoa $pkg, ole hyvä ja odota..."
"Drag to move","Raahaa siirtääksesi"
"Drop-down","Alasveto"
"Edit","Muokkaa"
"Edit Email Template","Muokkaa sähköpostipohjaa"
"Edit Poll","Muokkaa kyselyä"
"Edit Role","Muokkaa roolia"
"Edit Store View","Muokkaa kauppanäkymää"
"Edit System Template","Muokkaa järjestelmäpohjaa"
"Edit Tag","Muokkaa asiasanaa"
"Edit Template","Muokkaa ulkoasua"
"Edit Urlrewrite","Muokkaa osoitealiasta"
"Edit User","Muokkaa käyttäjää"
"Edit User '%s'","Muokkaa käyttäjää '%s'"
"Edit Website","Muokkaa sivustoa"
"Email","Sähköposti"
"Email Address:","Sähköpostiosoite:"
"Email Preview","Sähköpostin esikatselu"
"Email address is empty.","Sähköpostiosoite on tyhjä."
"Email to a Friend","Lähetä kaverille"
"Email:","Sähköposti:"
"Enable","Käytössä"
"Enabled","Käytössä"
"Enclose Values In:","Sulje arvot (missä):"
"Entity Type","Kokonaisuuden tyyppi"
"Entity type:","Kokonaisuuden tyyppi:"
"Error uploading the file","Virhe lähetettäessä tiedostoa"
"Error while cleared Image cache. Please try again later","Virhe kuvien välimuistin tyhjentämisessä. Yritä myöhemmin uudelleen."
"Error while create backup. Please try again later","Virhe luodessa varmuuskopiota. Ole hyvä ja yritä myöhemmin uudelleen."
"Error while deleting this role. Please try again later.","Virhe poistettaessa tätä roolia. Ole hyvä ja yritä myöhemmin uudelleen.."
"Error while deleting this set.","Virhe poistettaessa tätä joukkoa."
"Error while finished process. Please refresh cache","Virhe valmistuneessa prosessissa. Päivitä välimuisti."
"Error while refreshed Catalog Rewrites. Please try again later","Virhe katalogin osoitealiasten päivityksessä. Yritä myöhemmin uudelleen."
"Error while refreshed Layered Navigation Indices. Please try again later","Virhe kerroksittaisen navigaation indeksoinnissa. Yritä myöhemmin uudelleen."
"Error while saving account. Please check all required fields","Virhe tilin tallennuksessa. Tarkista kaikki vaaditut tiedot."
"Error while saving account. Please try again later","Virhe tallennettaessa asiakastiliä. Ole hyvä ja yritä myöhemmin uudelleen."
"Error while saving this configuration: ","Virhe tallennettaessa tätä asetusta: "
"Error while saving this role. Please try again later.","Virhe tallennettaessa tätä roolia. Ole hyvä ja yritä myöhemmin uudelleen.."
"Error while updating selected review(s). Please try again later.","Virhe päivitettäessä valittuja arvosteluja. Ole hyvä ja yritä myöhemmin uudelleen.."
"Excl. Tax","Veroton"
"Exclude","Jätä pois"
"Exclude (comma separated)","Jätä pois (eroteltu pilkuin)"
"Expiration Date","Erääntymispäivä"
"Expiration Date: %s/%s","Erääntymispäivä: %s/%s"
"Export","Vie"
"Export CSV","Vie CSV"
"Export Filters","Vie suodattimet"
"Export to:","Vie:"
"Export:","Vie:"
"Extension","Laajennus"
"Extension Name","Laajennuksen nimi"
"Extensions","Laajennukset"
"FTP Host[:Port]","FTP Palvelin[:Portti]"
"Failed to add a product to cart by id ""%s""","Tuotteen lisääminen ostoskoriin tunnisteella ""%s"" epäonnistui"
"Failed to load %1$s.xml or %1$s.ser","%1$s.xml tai %1$s.ser lataaminen epäonnistui"
"Field","Kenttä"
"Field Mapping","Tietokenttien kartoitus"
"File","Tiedosto"
"File Information","Tiedoston tiedot"
"File name:","Tiedoston nimi:"
"File size should be more than 0 bytes","Tiedoston koon pitäisi olla enemmän kuin 0 tavua."
"Final Price","Viimeinen hinta"
"Finished items creation.","Kohteet on muodostettu."
"Finished profile execution.","Profiilin toimeenpano valmistui."
"First Name","Etunimi"
"First Name:","Etunimi:"
"Firstname","Etunimi"
"Fixed","Kiinteä"
"Flat Catalog Category rebuild error","Flat Catalog Category rebuild error"
"Flat Catalog Category was rebuilt successfully","Flat Catalog Category was rebuilt successfully"
"Flat Catalog Product rebuild error. Please try again later","Flat Catalog Product rebuild error. Please try again later"
"Flat Catalog Product was rebuilt successfully","Flat Catalog Product was rebuilt successfully"
"For category","Kategorialle"
"For latest version visit: %s","Katso viimeisin versio: %s"
"For product","Tuotteelle"
"Forgot your password?","Unohditko salasanasi?"
"Forgot your user name or password?","Unohditko käyttäjätunnuksesi tai salasanasi?"
"From","Mistä"
"Gb","Gb"
"General Information","Yleiset tiedot"
"General Section","Yleinen-osio"
"Get Image Base64","Hanki kuva Base64"
"Get help for this page","Hae apua tälle sivulle"
"Global Attribute","Globaali ominaisuus"
"Global Record Search","Tietueiden globaali haku"
"Global Search","Globaali haku"
"Go Today","Go Today"
"Google Base","Google Base"
"Google Base Items","Google Base -kohteet"
"Grand Total","Loppusumma"
"Grid (default) / List","Taulukko (oletus) / Lista"
"Grid only","Vain taulukko"
"Group:","Ryhmä:"
"Guest","Vieras"
"HTTP (unsecure)","HTTP (salaamaton)"
"HTTPS (SSL)","HTTPS (SSL)"
"Help Us Keep Magento Healthy - Report All Bugs","Auta meitä pitämään Magento kunnossa – Ilmoita kaikista vioista"
"Home","Etusivu"
"ID","Tunniste"
"ID Path","Tunnistepolku"
"IP Address","IP-osoite"
"Ignore","Jätä huomioimatta"
"Image cache was cleared successfully","Kuvien välimuisti tyhjennetty."
"Images","Kuvat"
"Images (.gif, .jpg, .png)","Kuvat (.gif, .jpg, .png)"
"Images Cache","Kuvien välimuisti"
"Import","Tuo"
"Import Service","Tuontipalvelu:"
"Import/Export","Tuo / vie"
"Import/Export Advanced","Edistynyt tuo / vie"
"Import/Export Profile","Tuo / vie profiili"
"Imported <strong>%s</strong> records","Tuotu <strong>%s</strong> tietuetta"
"In","Paikka"
"In Database:","Tietokannassa:"
"In File:","Tiedostossa:"
"Inactive","Ei aktiivinen"
"Incl. Tax","Verollinen"
"Include","Sisällytä"
"Incoming Message","Saapuva viesti"
"Individual Item","Yksittäinen tuote"
"Install","Asenna"
"Install Package File","Asenna paketin tiedosto"
"Installed As","Asennettuna"
"Installed Extension Info","Asennetun laajennuksen tiedot"
"Installed Version","Asennettu versio"
"Installing $pkg, please wait...","Asennetaan pakettia $pkg, ole hyvä ja odota..."
"Installing selected packages, please wait...","Asennetaan valittuja paketteja, ole hyvä ja odota..."
"Instant Payment Notification (IPN)","Välitön makstutiedon siirto - Instant Payment Notification (IPN)"
"Interactive","Interaktiivinen"
"Interface Locale: %s","Käyttöliittymän kieli: %s"
"Invalid Form Key. Please refresh the page.","Virheellinen lomakkeen tunniste. Lataa sivu uudelleen."
"Invalid Import Service Specified","Virheellinen tuomispalvelu määritetty"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","Virheellinen POST data (tarkista post_max_size ja upload_max_filesize -asetukset php.ini-tiedostosta)"
"Invalid Secret Key. Please refresh the page.","Virheellinen salainen avain. Lataa sivu uudelleen."
"Invalid URL","Virheellinen osoite"
"Invalid Username or Password.","Virheellinen käyttäjänimi tai salasana"
"Invalid directory: %s","Virheellinen kansio: %s"
"Invalid file: %s","Virheellinen tiedosto: %s"
"Invalid input data for %s => %s rate","Virheellinen syöttötieto %s => %s valuuttakurssi"
"Invalid input:","Virheellinen syöttö:"
"Invalid parrent block for this block","Virheellinen ylälohko tälle lohkolle"
"Invalid section value","Virheellinen osa-alueen arvo"
"Invalid store value","Virheellinen kaupan arvo"
"Invalid website value","Virheellinen sivuston arvo"
"Inventory Stock Status","Tuotteiden tila varastossa"
"Invoice #%s comment added","Laskuun #%s lisätty kommentti"
"Invoice #%s created","Lasku #%s luotu"
"Invoice History","Laskutushistoria"
"Invoice Totals","Laskun kokonaissumma"
"Invoice and shipment was successfully created.","Lasku ja lähetys muodostettu."
"Invoice cancel error.","Virhe laskun peruutuksessa."
"Invoice capture error","Virhe laskun päivityksessä"
"Invoice void error","Virhe laskun mitätöinnissä"
"Invoice was successfully canceled.","Lasku on peruutettu."
"Invoice was successfully captured","Lasku on päivitetty."
"Invoice was successfully created.","Lasku on muodostettu."
"Invoice was successfully voided","Lasku on mitätöity"
"Issue Number","Tapausnumero"
"Issuer: %s","Myöntäjä: %s"
"Items","Tuotteet"
"Items to merge","Yhdistettävät kohteet"
"Kb","Kb"
"Last 24 hours","Viimeisimmät 24 tuntia"
"Last 5 Orders","Viimeisimmät 5 tilausta"
"Last 5 Search Terms","Viimeisimmät 5 hakusanaa"
"Last 7 days","Viimeisimmät 7 päivää"
"Last Logged In (%s):","Viimeksi kirjautunut sisään (%s):"
"Last Logged In:","Viimeksi kirjauduttu:"
"Last Month","Viimeisin kuukausi"
"Last Name","Sukunimi"
"Last Name:","Sukunimi:"
"Lastname","Sukunimi"
"Latest Message:","Uusin viesti:"
"Layered Navigation Indices","Kerroksittaisen navigaation indeksit"
"Layered Navigation Indices was refreshed successfully","Kerroksittaisen navigaation uudelleenindeksointi on valmis"
"Layered Navigation Indices were refreshed successfully","Kerroksittaisen navigaation uudelleenindeksointi on valmis"
"Layered Navigation indexing queue cancelled","Kerroksittaisen navigaation indeksointijono on keskeytetty"
"Layered Navigation indexing queued","Kerroksittaisen navigaation indeksointi on jonossa"
"Layered Navigation process queued to be killed","Kerroksittaisen navigaation prosessin keskeytys on jonossa"
"Leave empty to use tax identifier","Jätä tyhjäksi käyttääksesi veron tunnistetta"
"Level","Taso"
"License","Lisenssi"
"License URI","Lisenssin osoite"
"License:","Lisenssi:"
"Lifetime Sales","Kaikki myynnit"
"Links","Linkit"
"List (default) / Grid","Lista (oletus) / Taulukko"
"List only","Vain lista"
"Load Template","Lataa pohja"
"Load default template","Lataa oletuspohja"
"Load local Package","Lataa paikallinen paketti"
"Loading...","Ladataan..."
"Local Server","Lähiverkon palvelin"
"Local/Remote Server","Lähiverkon/ulkopuolinen palvelin"
"Locale","Kieli"
"Log Out","Kirjaudu ulos"
"Log in to Admin Panel","Kirjaudu hallinnointipaneeliin"
"Log into Magento Admin Page","Kirjaudu sisään Magenton hallinnointisivulle"
"Logged in as %s","Kirjauduttu sisään käyttäjänä %s"
"Login","Kirjaudu sisään"
"MAJOR","KORKEA"
"MINOR","ALHAINEN"
"MS Excel XML","MS Excel XML"
"Magento Admin","Magenton hallinnointi"
"Magento Commerce - Administrative Panel","Magento Commerce – Hallinnointipaneeli"
"Magento Connect","Magento Connect"
