"(eg: domain.com/identifier)","(eg: domain.com/identifier)"
"Action","Toiminto"
"Add New Block","Lisää uusi sisältölohko"
"Add New Page","Lisää uusi sivu"
"All countries","Kaikki maat"
"Block Information","Sisältölohkon tiedot"
"Block Title","Sisältölohkon otsikko"
"Block was successfully deleted","Sisältölohko poistettu"
"Block was successfully saved","Sisältölohko tallennettu"
"CMS","CMS"
"CMS Home Page","CMS Kotisivu"
"CMS No Route Page","CMS No Route Page"
"Content","Sisältö"
"Custom Design","Mukailtu ulkomuoto"
"Custom Theme","Mukailtu teema"
"Custom Theme From","Mukailtu teema kohteesta"
"Custom Theme To","Mukailtu teema kohteeseen"
"Customer Tax Class Information","Asiakkaan veroluokan tiedot"
"Date Created","Luotu"
"Delete Block","Poista sisältölohko"
"Delete Page","Poista sivu"
"Description","Kuvaus"
"Disabled","Ei käytössä"
"Edit Block","Muokkaa sisältölohkoa"
"Edit Block '%s'","Muokkaa sisältölohkoja '%s'"
"Edit Page","Muokkaa sivua"
"Edit Page '%s'","Muokkaa sivua '%s'"
"Enabled","Käytössä"
"General Information","Perustiedot"
"Go to Home Page","Mene etusivulle"
"Home","Etusivu"
"Identifier","Tunniste"
"Keywords","Avainsanat"
"Last Modified","Viimeisin muokkaus"
"Layout","Sommittelu"
"Layout Update XML","Sommitelun päivitys XML"
"Manage Pages","Sivujen hallinta"
"Meta Data","Metatiedot"
"Meta Description","Metatiedon kuvaus"
"Meta Keywords","Metatietojen avainsanat"
"New Block","Uusi sisältölohko"
"New Page","Uusi sivu"
"Page Identifier cannot consist only of numbers.","Sivun tunniste ei voi sisältää pelkkiä numeroita."
"Page Identifier for specified store already exist.","Sivun tunniste on jo käytössä."
"Page Information","Sivun tiedot"
"Page Status","Sivun tila"
"Page Title","Sivun otsikko"
"Page was successfully deleted","Sivu poistettu"
"Page was successfully saved","Sivu tallennettu"
"Poll Manager","Kyselyjen hallinta"
"Product Tax Class Information","Tuotteen veroluokkatiedot"
"SEF URL Identifier","Hakukoneystävällisen osoitteen tunniste"
"Save Block","Tallenna sisältölohko"
"Save Page","Tallenna sivu"
"Show breadcrumbs for CMS pages","Näytä selauspolku CMS-hallintasivuilla"
"Static Blocks","Muuttumattomat sisältölohkot"
"Status","Tila"
"Store View","Kauppanäkymä"
"Such a block identifier in selected store already exist.","Sisältölohkon tunniste on jo käytössä."
"The page you are trying to save no longer exists","Tallenttavaa sivua ei enää löydy"
"This block no longer exists","Sisältölohkoa ei enää löydy"
"This page no longer exists","Sivua ei enää löydy"
"Title","Otsikko"
"Unable to find a block to delete","Poistettavaa sisältölohkoa ei löydy"
"Unable to find a page to delete","Poistettavaa sivua ei löydy"
