"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","Päivittäin"
"Failure history lifetime","Virhehistoria"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"History cleanup every","History cleanup every"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","Ohitetaan jollei ajeta"
"Monthly","Kuukausittain"
"No callbacks found","No callbacks found"
"Schedule ahead for","Aikatauluta eteenpäin"
"Success history lifetime","Onnistumishistoria"
"Too late for the schedule","Too late for the schedule"
"Unable to save Cron expression","Cron-lauseketta ei voida tallentaa"
"Unknown error","Unknown error"
"Weekly","Viikoittain"
