"API Login ID","API Kirjautumistunniste"
"Authorize Only","Varmenna pelkästään"
"Authorize and Capture","Varmenna ja vastaanota suoritus"
"Authorize.net","Authorize.net"
"Credit Card Types","Luottokorttityypit"
"Credit Card Verification","Luottokortin varmennus"
"Debug","Korjaus"
"Email customer","Postita asiakkaalle"
"Enabled","Käytössä"
"Error in authorizing the payment","Maksun varmentamisessa tapahtui virhe"
"Error in capturing the payment","Maksun vastaanotossa tapahtui virhe"
"Error in payment gateway","Virhe maksuyhteydessä"
"Error in refunding the payment","Virhe maksun palautuksessa"
"Error in refunding the payment.","Virhe maksun palautuksessa."
"Error in retrieving the transaction","Virhe haettaessa maksutapahtumaa"
"Fraud order status","Virhe tilauksen tilassa"
"Gateway request error: %s","Virhe maksuyhteydessä: %s"
"Invalid amount for authorization","Virheellinen summa"
"Invalid amount for authorization.","Virheellinen summa."
"Invalid transaction id","Virheellinen maksutapahtuman tunniste"
"Maximum Order Total","Maximum Order Total"
"Merchant Login","Kauppiaan käyttäjätunnus"
"Merchant's email","Kauppiaan sähköposti"
"Minimum Order Total","Minimum Order Total"
"New order status","Uuden tilauksen tila"
"Partner","Kumppani"
"Password","Salasana"
"Payflow Pro","Payflow Pro"
"Payment Action","Maksutoiminto"
"Payment authorization error.","Virhe maksun varmentamisessa."
"Payment authorization transaction has been declined.","Maksutapahtuma on evätty."
"Payment from Specific countries","Maksu tietyistä maista"
"Payment from applicable countries","Maksu sallituista maista"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Järjestys"
"TENDER","TENDER"
"Test mode","Testitila"
"Title","Otsikko"
"Transaction key","Maksutapahtuman avain"
"URL","osoite"
"Use Proxy","Use Proxy"
"User","Käyttäjä"
"VERBOSITY","VERBOSITY"
"Voided transaction","Mitätöity maksutapahtuma"
