"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text."
"API Password","API:n salasana"
"API Signature","API:n allekirjoitus"
"API User Name","API:n käyttäjätunnus"
"Amex","American Express"
"Authorization","Varmennus"
"Authorize and Capture","Varmenna ja vastaanota suoritus"
"Billing Information","Laskutustiedot"
"Business Account","Laskutustili"
"Business Name","Yrityksen nimi"
"Card Verification Number","Kortin varmennusnumero"
"Change Payment Method","Muuta maksutapaa"
"Change Shipping Address","Muuta toimitusosoitetta"
"Credit Card Number","Luottokortin numero"
"Credit Card Number: xxxx-%s","Luottokortin numeron tunniste: xxxx-%s"
"Credit Card Type","Luottokorttityyppi"
"Credit Card Type: %s","Luottokorttityyppi: %s"
"Credit Card Types","Luottokorttityypit"
"Customer returned from PayPal site.","Customer returned from PayPal site."
"Debug Flag","Korjaa"
"Discover","Etsi"
"Edit Shopping Cart","Muokkaa ostoskoria"
"Enabled","Käytössä"
"Error in creating an invoice","Virhe laskun luonnissa"
"Error in refunding the payment","Virhe annettaessa palautus"
"Expiration Date","Erääntymispäivä"
"Expiration Date: %s/%s","Erääntymispäivä: %s/%s"
"Incl. Tax","Verollinen"
"Invalid transaction id","Virheellinen maksutapahtuman tunniste"
"Invoice #%s created","Invoice #%s created"
"Issue Number","Tapahtumanumero"
"Items in Your Shopping Cart","Kohdetta ostoskorissasi"
"MasterCard","MasterCard"
"Maximum image size is 750x90 px.","Maximum image size is 750x90 px."
"N/A","ei vastattu"
"Name on Card","Kortinhaltija"
"Name on the Card: %s","Kortinhaltija: %s"
"New order status","Uuden tilauksen tila"
"No shipping method required.","No shipping method required."
"Order","Tilaus"
"Order total amount does not match paypal gross total amount","Tilauksen loppusumma ei täsmää paypal-maksun summaan"
"Page Style","Page Style"
"PayPal Accounts","PayPal-tilit"
"PayPal Email","PayPal-sähköposti"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Uk Account","PayPal Uk-tili"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro - Direct Payments"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"Payment Action","Maksutoimenpide"
"Payment Method","Maksutapa"
"Payment from Specific countries","Maksu tietyistä maista"
"Payment from applicable countries","Maksu sallituista maista"
"Paypal Checkout","Paypal-maksu"
"Paypal IPN Invalid %s.","Paypal IPN Invalid %s."
"Paypal Logo Image URL","Paypal Logo Image URL"
"Paypal URL","Paypal URL"
"Place an Order","Tee tilaus"
"Please select a shipping method...","Valitse toimitustapa..."
"Please select a valid shipping method","Valitse voimassaoleva toimitustapa"
"Price","Hinta"
"Problem during communication with PayPal","Virhe yhteydessä PayPal:iin"
"Product Name","Tuotenimi"
"Proxy Host","Proxy-palvelin"
"Proxy Port","Proxy-palvelin"
"Qty","Kpl"
"Received IPN verification","Vastaanotettu IPN-varmennus"
"Review Order","Esikatsele tilausta"
"Sale","Myynti"
"Sandbox Flag","Testiympäristön ilmaisin"
"Selected currency code (","Valittu valuutan tunnus ("
"Shipping Address","Toimitusosoite"
"Shipping Information","Vastaanottajan tiedot"
"Shipping Method","Toimitustapa"
"Sorry, no quotes are available for this order at this time.","Tilaustietoja ei tällä hetkellä ole saatavilla."
"Sort order","Järjestys"
"Start Date","Aloituspäivä"
"Submitting order information...","Lähetetään tilauksen tietoja..."
"Subtotal","Välisumma"
"Switch/Solo Only","Switch/Solo pelkästään"
"Switch/Solo card issue number: %s","Switch/Solo-kortin numero (ei käytössä Suomessa): %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo-kortin pvm: %s/%s"
"There has been an error processing your payment. Please try later or contact us for help.","Maksusi käsittelyssä tapahtui virhe. Yritä myöhemmin uudelleen tai ota yhteyttä."
"There was an error connecting to the Paypal server: %s","PayPal-yhteydessä virhe: %s"
"There was an error during communication with Paypal: %s - %s","PayPal-yhteydessä virhe: %s - %s"
"Title","Otsikko"
"Transaction Type","Maksutapahtumatyyppi"
"Type","Tyyppi"
"Unknown PayPal API error: %s","Tuntematon PayPal API-virhe: %s"
"Update Shipping Method","Päivitä toimitustapa"
"Use Proxy","Käytä välityspalvelinta"
"Visa","Visa"
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro and Express Checkout (API Signature)"
"Website Payments Standard","Website Payments Standard"
"What is this?","Mikä tämä on?"
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Laskutusosoitteesi ohitetaan ja sinut ohjataan PayPal UK-sivustolle."
