" for more information or email us at "," for more information or email us at "
"# of Items (and above)","# tuotetta (tai enemmän)"
"# of Items vs. Destination","# tuotetta verrattuna määränpäähän"
"Allow Shipping to multiple addresses","Salli lähettäminen useampaan osoitteeseen"
"Calculate Handling Fee","Laske käsittelymaksu"
"Carrier:","Kuljettaja:"
"City","Kaupunki"
"Close Window","Sulje ikkuna"
"Condition","Ehto"
"Country","Maa"
"Date","Päivämäärä"
"Delivered on:","Toimitettu (milloin):"
"Delivered to:","Toimitettu (kenelle):"
"Description","Kuvaus"
"Displayed Error Message","Näytetty virheviesti"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")","Kopio rivistä #%s (maa ""%s"", alue/osavaltio ""%s"", postinumero ""%s"" ja arvo ""%s"")"
"Enabled","Käytössä"""
"Error:","Virhe:"
"Export","Vie"
"Fixed","Kiinteä"
"Flat Rate","Kiinteä hinta"
"Free Shipping","Ilmainen toimitus"
"Handling Fee","Käsittelymaksu"
"Import","Tuo"
"Info:","Tiedot:"
"Invalid %s ""%s"" in the Row #%s","Virheellinen %s ""%s"" rivillä #%s"
"Invalid Country ""%s"" in the Row #%s","Virheellinen maa ""%s"" rivillä #%s"
"Invalid Region/State ""%s"" in the Row #%s","Virheellinen alue / osavaltio ""%s"" rivillä #%s"
"Invalid Shipping Price ""%s"" in the Row #%s","Virheellinen lähetyshinta ""%s"" rivillä #%s"
"Invalid Table Rate code for type %s: %s","Virheellinen taulukkohinnan koodi tyypille %s: %s"
"Invalid Table Rate code type: %s","Virheellinen taulukkohinnan koodin tyyppi: %s"
"Invalid Table Rates File Format","Virheellinen taulukkoarvojen tiedostoformaatti"
"Local Time","Paikallinen aika"
"Location","Sijainti"
"Maximum qty allowed for Shipping to multiple addresses","Suurin sallittu määrä lähetettäessä useampaan osoitteeseen"
"Method name","Tavan nimi"
"Minimum order amount","Pienin tilauksen summa"
"N/A","ei saatavilla"
"None","Ei mitään"
"Options","Asetukset"
"Order Subtotal (and above)","Tilauksen välisumma (tai enemmän)"
"Origin","Alkuperä"
"Per Order","/ tilaus"
"Per Package","/ paketti"
"Percent","Prosenttia hinnasta"
"Price","Hinta"
"Price vs. Destination","Hinta vastaan määränpää"
"Region/State","Alue/osavaltio"
"Service Type:","Palvelutyyppi:"
"Ship to Specific countries","Lähetä tiettyihin maihin"
"Ship to applicable countries","Lähetä saatavilla oleviin maihin"
"Shipment #","Lähetys #"
"Shipped or billed on:","Lähetetty tai laskutettu (milloin):"
"Shipping Methods","Lähetystavat"
"Shipping Methods Section","Shipping Methods Section"
"Shipping Settings","Lähetysasetukset"
"Shipping Settings Section","Shipping Settings Section"
"Show method if not applicable","Näytä tapa jos ei ole saatavilla"
"Signed by:","Allekirjoittanut:"
"Sort order","Järjestys"
"Status:","Tila:"
"Store Pickup","Nouto kaupasta"
"Table rates","Lasketut hinnat"
"The shipping module is not available for selected delivery country","Toimitusmodulia ei voida käyttää toimitettaessa maahan"
"There is no tracking available for this shipment.","Tälle lähetykselle ei ole saatavilla seurantaa."
"There is no tracking available.","Seurantaa ei ole saatavilla."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Lähetystapa ei tällä hetkellä ole käytettävissä. Jos haluat meidän lähettävän tilauksen tällä lähetystavalla, ole hyvä ja ota meihin yhteyttä."
"Title","Otsikko"
"Track:","Seuraa:"
"Tracking Number:","Seurantakoodi:"
"Tracking information is currently not available. Please ","Seurantatietoja ei ole saatavilla."
"Tracking information is currently unavailable.","Seurantatietoja ei ole saatavilla."
"Type","Tyyppi"
"Weight (and above)","Paino (tai enemmän)"
"Weight vs. Destination","Painon suhde määränpäähän"
"Weight:","Paino:"
"ZIP/Postal Code","Postinumero"
"contact us","ota meihin yhteyttä"
