"Action","Action"
"Add Sitemap","Lisää sivukartta"
"Always","Aina"
"CMS Pages Options","Sisällönhallintajärjestelmän sivujen vaihtoehdot"
"Categories Options","Kategorioiden vaihtoehdot"
"Daily","Päivittäin"
"Edit Sitemap","Muokkaa sivukarttaa"
"Enabled","Käytössä"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin pohja"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server."
"Filename","Tiedostonimi"
"Frequency","Tiheys"
"Generate","Generate"
"Generation Settings","Muodostusasetukset"
"Google Sitemap","Google-sivukartta"
"Google Sitemap Section","Google Sitemap Section"
"Hourly","Tunneittain"
"ID","Tunniste"
"Last Time Generated","Muodostettu viimeksi"
"Link for Google","Linkki Googlea varten"
"Monthly","Kuukausittain"
"Never","Ei koskaan"
"New Sitemap","Uusi sivukartta"
"Path","Polku"
"Please create the specified folder ""%s"" before saving the sitemap.","Please create the specified folder ""%s"" before saving the sitemap."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","Prioriteetti"
"Priority must be between 0 and 1","Prioriteetin täytyy olla välillä 0-1"
"Products Options","Tuotteiden asetukset"
"Sitemap","Sivukartta"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" has been successfully generated"
"Sitemap generate Warnings","Sivukartan luomat varoitukset"
"Sitemap was successfully deleted","Sivukartta poistettu"
"Sitemap was successfully saved","Sivukartta tallennettu"
"Start Time","Aloitusaika"
"Store View","Kauppanäkymä"
"This sitemap no longer exists","Tätä sivukarttaa ei enää ole olemassa"
"Unable to find a sitemap to delete","Poistettavaa sivukarttaa ei löydetty"
"Unable to find a sitemap to generate","Unable to find a sitemap to generate"
"Unable to generate a sitemap","Unable to generate a sitemap"
"Valid values range from 0.0 to 1.0","Arvo väliltä 0.0-1.0"
"Weekly","Viikoittain"
"Yearly","Vuosittain"
