"# of Uses","Käyttökerrat"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Toiminto"
"Actions","Toiminnot"
"Add New Tag","Lisää uusi asiasana"
"Add Tags","Lisää asiasanat"
"Add Your Tags:","Lisää asiasanasi:"
"Add to Cart","Laita ostoskoriin"
"Add to Wishlist","Lisää toivelistaan"
"All Tags","Kaikki asiasanat"
"Approved","Hyväksytty"
"Are you sure that you want to delete this tag?","Haluatko varmasti poistaa tämän asiasanan?"
"Are you sure you want to delete this tag?","Haluatko varmasti poistaa tämän asiasanan?"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Are you sure?","Oletko varma?"
"Back","Takaisin"
"Back to Tags List","Takaisin asiasanojen listaan"
"Back to view Tag","Takaisin asiasanojen näkymään"
"Block Information","Sisältölohkon tiedot"
"CSV","CSV"
"Change status","Muuta tilaa"
"Click on a tag to view your corresponding products.","Klikkaa asiasanaa katsoaksesi merkitsemäsi tuotteet."
"Country","Maa"
"Customer Since","Asiakas alkaen"
"Customers","Asiakkaiden antamat"
"Customers Tagged '%s'","Asiakkaat antoivat asiasanan '%s'"
"Delete","Poista"
"Delete Tag","Poista asiasana"
"Disabled","Ei käytössä"
"Edit Tag","Muokkaa asiasanaa"
"Edit Tag '%s'","Muokkaa asiasanaa '%s'"
"Email","Sähköposti"
"First Name","Etunimi"
"General Information","Yleiset tiedot"
"Grid","Taulukko"
"ID","Tunniste"
"Last Name","Sukunimi"
"List","Lista"
"My Recent Tags","Viimeaikaiset asiasanani"
"My Tags","Asiasanani"
"Name","Nimi"
"New Tag","Uusi asiasana"
"No matches found.","Ei löydettyjä osumia."
"Other people marked this product with these tags:","Toiset asiakkaat merkitsivät tämän tuotteen näillä asiasanoilla:"
"Pending","Odottaa"
"Pending Tags","Odotustilassa olevat asiasanat"
"Popular","Suositut"
"Popular Tags","Suositut asiasanat"
"Popularity","Suosio"
"Price","Hinta"
"Product Name","Tuotenimi"
"Product SKU","Tuotteen tuotetunnus"
"Product Tags","Tuotteen asiasanat"
"Products","Tuotteiden"
"Products Tagged with '%s'","Tuotteet jotka merkitty asiasanalla '%s'"
"Products tagged with '%s'","Tuotteet jotka merkitty asiasanalla '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Tuotteet jotka merkitty asiasanalla '%s' (<a href='%s'>RSS</a>)"
"SKU","Tuotetunnus"
"Save Tag","Tallenna asiasana"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Hakutulokset asiasanalle '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Tila"
"Tag","Asiasana"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Asiasanan tiedot"
"Tag Name","Asiasanan nimi"
"Tag Name: %s","Asiasanan nimi: %s"
"Tag can't be empty.","Asiasana ei voi olla tyhjä."
"Tagged in","Asiasana merkitty (mihin, missä?)"
"Tags","Asiasanat"
"Tags Aren't Available","Asiasanat eivät ole saatavilla"
"Tags:","Asiasanat:"
"Telephone","Puhelin"
"Thank you. Your tag has been accepted for moderation.","Kiitoksia. Asiasanasi on hyväksytty tarkistettavaksi."
"Unable to find any products tagged with '%s' in the current store","Asiasanalla '%s' merkittyjä tuotteita ei löydy tästä kaupasta."
"Unable to remove tag. Please, try again later.","Asiasanaa ei voida poistaa. Yritä myöhemmin uudestaan."
"Unable to save tag(s)","Asiasanaa ei voida tallentaa"
"Unable to save your tag. Please, try again later.","Asiasanaasi ei voida tallentaa. Yritä myöhemmin uudestaan."
"Use spaces to separate tags. Use single quotes (') for phrases.","Käytä välilyöntejä erottaaksesi asiasanat. Käytä puolilainausmerkkejä (') lauseille."
"Uses","Käytöt"
"View All","Kaikki"
"View All Tags","Katso kaikki asiasanat"
"View Customers","Katso asiakkaita"
"View Products","Katso tuotteita"
"Visible In","Näkyvillä"
"XML","XML"
"You have not tagged any products yet.","Et ole vielä lisännyt asiasanoja tuotteisiin."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Postinumero"
"You have not tagged any products yet.","You have not tagged any products yet."
