"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - all the times are in minutes"
"Daily","Quotidien"
"Failure history lifetime","Durée de l'historique des échecs"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set."
"Generate schedules every","Generate schedules every"
"History cleanup every","History cleanup every"
"Invalid callback: %s::%s does not exist","Invalid callback: %s::%s does not exist"
"Invalid model/method definition, expecting ""model/class::method"".","Invalid model/method definition, expecting ""model/class::method""."
"Missed if not run within","Manqué si non exécuté dans les"
"Monthly","Mensuel"
"No callbacks found","No callbacks found"
"Schedule ahead for","Planifié en avance de"
"Success history lifetime","Durée de l'historique des réussites"
"Too late for the schedule","Too late for the schedule"
"Unable to save Cron expression","Impossible de sauvegarder l'expression Cron"
"Unknown error","Unknown error"
"Weekly","Hebdomadaire"
